location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,source,connection_distance_km,available_capacity_mw,is_tent,tent_tier,nearest_substation_id,estimated_demand_kw,fixed_cost_eur,candidate_id
STAV2_0001,41.72394771786105,0.5599781126767925,A-14,2,Congested,Endesa,high_imd,5.581654719976888,0.0,False,none,SEGRIA,300,300000.0,CAND_01443
STAV2_0002,41.80089253895865,0.5583947328513343,A-14-R2,2,Congested,Endesa,high_imd,5.714192438016192,0.0,False,none,ALFARRAS,300,300000.0,CAND_01444
STAV2_0003,41.47038,-2.530493,A-15,4,Congested,Endesa,upgrade,3.0399824257451584,0.0,True,comprehensive,ALMAZAN,600,50000.0,CAND_00792
STAV2_0004,41.87396572423545,-1.9148054037095896,A-15,4,Congested,Endesa,high_imd,3.0379582402460095,0.0,True,comprehensive,AGREDA,600,200000.0,CAND_01448
STAV2_0005,41.309645775648825,-2.0942052309419807,A-2,4,Congested,Endesa,high_imd,4.1588562614237565,0.0,True,none,ARIZA,600,200000.0,CAND_01453
STAV2_0006,41.67683,-0.890236,A-2,7,Congested,Endesa,upgrade,0.7673602774521494,0.0,True,none,EXPO,1050,50000.0,CAND_00890
STAV2_0007,41.902885,2.8037,A-2,4,Congested,Endesa,upgrade,4.327009565758124,0.0,True,none,FORNELLS,600,50000.0,CAND_00806
STAV2_0008,42.61181811349445,-0.9889508689206175,A-21,4,Congested,Endesa,high_imd,10.270427353788605,0.0,True,comprehensive,BERDUN,600,300000.0,CAND_01459
STAV2_0009,41.82803,0.31121,A-22,4,Congested,Endesa,upgrade,3.0940243009873147,0.0,True,comprehensive,SOSAL,600,50000.0,CAND_00798
STAV2_0010,42.0249,0.053188,A-22,4,Congested,Endesa,upgrade,5.529236311188325,0.0,True,comprehensive,BRILEN,600,150000.0,CAND_00567
STAV2_0011,41.712898229931454,0.445844975328866,A-22-R1,2,Congested,Endesa,high_imd,3.9840601028306213,0.0,False,none,RAIMAT,300,200000.0,CAND_01462
STAV2_0012,41.73975186175184,0.41843402030072224,A-22-R2,2,Congested,Endesa,high_imd,5.089908700363199,0.0,False,none,ALTORRICON,300,300000.0,CAND_01463
STAV2_0013,40.874518180944435,-1.3070793418597122,A-23,4,Congested,Endesa,high_imd,4.952452580922632,0.0,True,comprehensive,CALAMOCHA,600,200000.0,CAND_01468
STAV2_0014,42.495129154495956,-0.36463438110180535,A-23,4,Congested,Endesa,high_imd,1.7165573791030946,0.0,True,comprehensive,SEC_SABIÑA,600,200000.0,CAND_01471
STAV2_0015,42.19335,2.504356,A-26,2,Sufficient,Endesa,upgrade,1.1389239722196138,92.56,False,none,OLOT,300,50000.0,CAND_00786
STAV2_0016,37.05176,-4.658064,A-384,4,Congested,Endesa,upgrade,4.607068690392895,0.0,True,none,PTO_SECO,600,50000.0,CAND_00748
STAV2_0017,36.611473,-6.19633,A-4,4,Congested,Endesa,upgrade,1.2367714651771615,0.0,True,none,SALINAS,600,50000.0,CAND_00493
STAV2_0018,37.41245,-5.9514,A-4,4,Congested,Endesa,upgrade,0.8477530132626108,0.0,True,none,CALONGE,600,50000.0,CAND_00872
STAV2_0019,36.99913,-3.577,A-44,4,Congested,Endesa,upgrade,2.122634466651072,0.0,True,comprehensive,DURCAL,600,50000.0,CAND_00451
STAV2_0020,37.973404,-3.802544,A-44,4,Congested,Endesa,upgrade,1.6083516158354352,0.0,True,comprehensive,MENGIBAR,600,50000.0,CAND_01244
STAV2_0021,36.898254,-4.429885,A-45,4,Sufficient,Endesa,upgrade,0.8272424921836116,31.54,True,comprehensive,CBERMEJA,600,50000.0,CAND_00362
STAV2_0022,37.30626,-6.87324,A-49,4,Congested,Endesa,upgrade,1.4849848621133475,0.0,True,core,ALQUERIA,600,50000.0,CAND_00193
