segment_id,route_segment,unmet_chargers,demand_chargers
57,A-55,2.0,4.0
58,A-55,4.0,4.0
59,A-56,2.0,2.0
77,A-6,4.0,4.0
91,A-63,2.0,2.0
141,A-73,4.0,4.0
142,A-73,2.0,2.0
144,A-75,4.0,4.0
145,A-75,4.0,4.0
146,A-77,5.0,5.0
148,A-79,3.0,3.0
161,AP-9,4.0,4.0
164,AP-9,7.0,7.0
165,AP-9,4.0,4.0
166,AP-9,2.0,2.0
168,AP-9V,5.0,8.0
189,N-110A,2.0,2.0
191,N-111,2.0,2.0
196,N-111A,2.0,2.0
197,N-111R,2.0,2.0
227,N-154,2.0,2.0
228,N-154,2.0,2.0
230,N-156,2.0,2.0
244,N-211A,2.0,2.0
253,N-225A,2.0,2.0
264,N-232,2.0,2.0
313,N-2A,2.0,2.0
330,N-310,2.0,2.0
373,N-332A,2.0,2.0
375,N-332R,2.0,2.0
405,N-347GR,2.0,2.0
406,N-349,1.0,4.0
410,N-357,2.0,2.0
411,N-357,4.0,4.0
412,N-357,4.0,4.0
435,N-430A,2.0,2.0
457,N-433,2.0,2.0
469,N-501,1.0,4.0
494,N-525,2.0,2.0
503,N-542,3.0,3.0
504,N-544,2.0,2.0
508,N-550,3.0,3.0
509,N-550,2.0,2.0
510,N-550,2.0,2.0
512,N-550,2.0,2.0
514,N-550A,2.0,2.0
515,N-550A,2.0,2.0
516,N-550R,2.0,2.0
517,N-551,2.0,2.0
518,N-552,2.0,2.0
520,N-555,2.0,2.0
521,N-556,2.0,2.0
522,N-559,2.0,2.0
541,N-620A,3.0,3.0
549,N-622,2.0,2.0
563,N-633,2.0,2.0
590,N-634,2.0,2.0
593,N-6A,2.0,2.0
594,N-6A,2.0,2.0
597,N-352,2.0,2.0
598,N-554R,2.0,2.0
599,A-57,2.0,2.0
600,A-92M,1.0,4.0
610,AP-15-R,2.0,2.0
622,N-4,2.0,2.0
732,A-32,1.0,4.0
757,A-40,2.0,2.0
762,A-43,1.0,4.0
780,A-4A,2.0,2.0
799,A-52,2.0,2.0
800,A-52,1.0,4.0
802,A-52,1.0,4.0
804,A-52,2.0,2.0
807,A-54,4.0,4.0
812,A-55,5.0,6.0
826,A-91,4.0,4.0
829,A-92,1.0,4.0
850,AP-4A,7.0,7.0
871,AP-7N,7.0,7.0
897,N-120,2.0,2.0
898,N-120,2.0,2.0
899,N-120,2.0,2.0
901,N-120A,2.0,2.0
902,N-120A,2.0,2.0
904,N-120A,2.0,2.0
905,N-120A,2.0,2.0
929,N-122A,2.0,2.0
939,N-2,2.0,2.0
962,N-211,2.0,2.0
969,N-232B,2.0,2.0
985,N-235,2.0,2.0
1054,N-337A,2.0,2.0
1057,N-339,2.0,2.0
1096,N-340R,2.0,2.0
1108,N-420,2.0,2.0
1115,N-420A,2.0,2.0
1116,N-420A,2.0,2.0
1118,N-420A,2.0,2.0
1136,N-430,2.0,2.0
1146,N-430C,2.0,2.0
1157,N-432A,2.0,2.0
1183,N-525,2.0,2.0
1185,N-6,2.0,2.0
1252,N-630A,2.0,2.0
1262,N-634A,2.0,2.0
1275,N-640,2.0,2.0
1276,N-640,2.0,2.0
1282,N-643,2.0,2.0
1283,N-651,2.0,2.0
1284,N-651,2.0,2.0
1285,N-651,2.0,2.0
