parameter,value,total_chargers,mean_chargers_per_segment,is_baseline
charging_probability_b1,0.06,3587.0,2.77,False
charging_probability_b1,0.07,3653.0,2.821,False
charging_probability_b1,0.08,3748.0,2.894,False
charging_probability_b1,0.09,3826.0,2.954,False
charging_probability_b1,0.1,3903.0,3.014,False
charging_probability_b1,0.11,3986.0,3.078,False
charging_probability_b1,0.12,4053.0,3.13,True
charging_probability_b1,0.13,4140.0,3.197,False
charging_probability_b1,0.14,4197.0,3.241,False
charging_probability_b1,0.15,4277.0,3.303,False
charging_probability_b1,0.16,4351.0,3.36,False
charging_probability_b1,0.17,4417.0,3.411,False
charging_probability_b1,0.18,4495.0,3.471,False
mediterranean_peak_multiplier,1.0,3686.0,2.846,False
mediterranean_peak_multiplier,1.25,3758.0,2.902,False
mediterranean_peak_multiplier,1.5,3823.0,2.952,False
mediterranean_peak_multiplier,1.75,3900.0,3.012,False
mediterranean_peak_multiplier,2.0,3958.0,3.056,False
mediterranean_peak_multiplier,2.25,4013.0,3.099,False
mediterranean_peak_multiplier,2.5,4053.0,3.13,True
mediterranean_peak_multiplier,2.75,4106.0,3.171,False
mediterranean_peak_multiplier,3.0,4142.0,3.198,False
theoretical_p_charge,0.128135,,,True
