segment_id,route_segment,imd_total,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_deterministic,is_tent,tent_tier
0,A-7S,102470.0,4388.3,1.0,10,True,Comprehensive
1,A-7S,35364.8,1514.5,1.0,4,True,Comprehensive
2,A-7S,62093.2,2659.2,1.0,6,False,None
3,A-7S,39802.0,1704.5,1.0,4,True,Comprehensive
4,A-7S,25038.5,1072.3,1.0,4,True,Comprehensive
5,A-7S,54861.2,2349.5,1.0,6,True,Comprehensive
6,A-7S,35364.8,1514.5,1.0,4,True,Comprehensive
7,A-7S,67813.0,2904.1,1.0,7,True,Core
8,A-7S,35364.8,1514.5,1.0,4,True,Core
9,A-7S,45253.0,1938.0,1.0,5,True,Core
10,N-3,4061.0,173.9,1.0,2,False,None
11,N-3,1374.8,58.9,1.0,2,False,None
12,N-3,8056.2,345.0,1.0,2,False,None
13,N-3,478.5,20.5,1.0,2,False,None
14,A-1,23408.9,1002.5,1.0,3,False,None
15,A-1,82398.6,3528.8,1.0,8,True,Core
16,A-1,63356.8,2713.3,1.0,7,True,Core
17,A-1,23122.1,990.2,1.0,4,True,Core
18,A-1,16850.2,721.6,1.0,4,True,Core
19,A-1,23695.7,1014.8,1.0,4,True,Core
20,A-1,23408.9,1002.5,1.0,4,True,Comprehensive
21,A-1,11521.8,493.4,1.0,4,True,Comprehensive
22,A-1,8380.0,358.9,1.0,2,False,None
23,A-23,22326.0,956.1,1.0,4,True,Comprehensive
24,A-23,16353.5,700.3,1.0,4,True,Core
25,A-23,10213.1,437.4,1.0,4,True,Core
26,A-23,8867.4,379.8,1.0,4,True,Core
27,A-23,12828.4,549.4,1.0,4,True,Core
28,A-23,19014.0,814.3,1.0,2,False,None
29,A-23,18935.2,810.9,1.0,4,True,Comprehensive
30,A-23,19066.6,816.5,1.0,4,True,Comprehensive
31,A-23,8993.8,385.2,1.0,4,True,Comprehensive
32,A-23,11520.8,493.4,1.0,2,False,None
33,A-23,11520.8,493.4,1.0,4,True,Comprehensive
34,A-23,11520.8,493.4,1.0,4,True,Comprehensive
35,A-23,11520.8,493.4,1.0,4,True,Comprehensive
36,A-23,8007.0,342.9,1.0,4,True,Comprehensive
37,A-23,7183.5,307.6,1.0,4,True,Comprehensive
38,A-23,11520.8,493.4,1.0,2,False,None
39,A-23,7707.5,330.1,1.0,4,True,Comprehensive
40,A-23,11520.8,493.4,1.0,2,False,None
41,A-26,14400.8,616.7,1.0,2,False,None
42,A-26,14400.8,616.7,1.0,2,False,None
43,A-27,25707.8,1101.0,1.0,4,True,Core
44,A-27,21133.8,905.1,1.0,4,True,Core
45,A-3,44162.3,1891.3,1.0,5,False,None
46,A-3,65651.6,2811.6,1.0,7,True,Core
47,A-3,31633.2,1354.7,1.0,4,True,Core
48,A-3,28484.2,1219.9,1.0,4,True,Core
49,A-3,24079.0,1031.2,1.0,4,True,Core
50,A-3,24586.3,1052.9,1.0,4,True,Core
51,A-3,62115.5,2660.1,1.0,6,True,Core
52,A-3,61221.5,2621.8,1.0,6,True,Core
53,A-3,37897.8,1623.0,1.0,4,False,None
54,A-30,14681.0,628.7,1.0,4,True,Comprehensive
55,A-30,46830.1,2005.5,1.0,5,True,Comprehensive
56,A-30,54109.7,2317.3,1.0,6,False,None
57,A-55,21221.8,908.8,1.0,4,True,Core
58,A-55,36506.3,1563.4,1.0,4,False,None
59,A-56,922.7,39.5,1.0,2,False,None
60,A-58,4945.1,211.8,1.0,2,False,None
61,A-5R,121782.2,5215.4,1.0,12,False,None
62,A-6,17205.8,736.8,1.0,2,False,None
63,A-6,66504.0,2848.1,1.0,7,True,Comprehensive
64,A-6,57399.9,2458.2,1.0,6,True,Comprehensive
65,A-6,17205.8,736.8,1.0,2,False,None
66,A-6,19871.7,851.0,1.0,4,True,Comprehensive
67,A-6,17205.8,736.8,1.0,4,True,Comprehensive
68,A-6,17205.8,736.8,1.0,4,True,Core
69,A-6,16907.1,724.1,1.0,4,True,Comprehensive
70,A-6,17205.8,736.8,1.0,4,True,Comprehensive
71,A-6,20716.2,887.2,1.0,4,True,Comprehensive
72,A-6,7338.5,314.3,1.0,4,True,Comprehensive
73,A-6,13365.4,572.4,1.0,4,True,Comprehensive
74,A-6,9270.8,397.0,1.0,4,True,Comprehensive
75,A-6,18134.5,776.6,1.0,4,True,Comprehensive
76,A-6,17182.2,735.8,1.0,4,True,Core
77,A-6,17997.5,770.8,1.0,4,True,Comprehensive
78,A-6,12487.5,534.8,1.0,2,False,None
79,A-60,9084.0,389.0,1.0,2,False,None
80,A-60,10717.5,459.0,1.0,2,False,None
81,A-62,13926.4,596.4,1.0,4,True,Core
82,A-62,28764.6,1231.9,1.0,4,True,Core
83,A-62,27673.2,1185.1,1.0,4,True,Core
84,A-62,39567.4,1694.5,1.0,4,True,Core
85,A-62,19825.2,849.0,1.0,4,True,Core
86,A-62,13113.3,561.6,1.0,4,True,Core
87,A-62,26745.2,1145.4,1.0,4,True,Core
88,A-62,8017.0,343.3,1.0,4,True,Core
89,A-62,19825.2,849.0,1.0,2,False,None
90,A-62,5353.0,229.2,1.0,4,True,Core
91,A-63,12148.9,520.3,1.0,2,False,None
92,A-63R,5740.9,245.9,1.0,2,False,None
93,A-64,25337.5,1085.1,1.0,4,True,Comprehensive
94,A-65,7984.0,341.9,1.0,4,True,Comprehensive
95,A-66,52440.5,2245.8,1.0,5,True,Comprehensive
96,A-66,43787.2,1875.2,1.0,5,True,Comprehensive
97,A-66,25299.7,1083.5,1.0,4,True,Comprehensive
98,A-66,18215.0,780.1,1.0,4,True,Comprehensive
99,A-66,13543.3,580.0,1.0,2,False,None
100,A-66,10966.5,469.6,1.0,4,True,Comprehensive
101,A-66,11197.9,479.6,1.0,4,True,Comprehensive
102,A-66,13543.3,580.0,1.0,4,True,Comprehensive
103,A-66,6660.7,285.2,1.0,4,True,Comprehensive
104,A-66,7160.2,306.6,1.0,4,True,Comprehensive
105,A-66,7929.7,339.6,1.0,4,True,Comprehensive
106,A-66,21576.8,924.0,1.0,4,True,Comprehensive
107,A-66,11010.1,471.5,1.0,4,True,Comprehensive
108,A-66,12287.3,526.2,1.0,4,True,Comprehensive
109,A-66,11468.4,491.1,1.0,4,True,Comprehensive
110,A-66,16720.7,716.1,1.0,4,True,Comprehensive
111,A-66,14799.4,633.8,1.0,4,True,Comprehensive
112,A-66,27837.8,1192.2,1.0,4,True,Comprehensive
113,A-67,17076.0,731.3,1.0,4,True,Comprehensive
114,A-67,7365.7,315.4,1.0,2,False,None
115,A-67,18234.7,780.9,1.0,4,True,Comprehensive
116,A-67,52646.8,2254.6,1.0,6,True,Comprehensive
117,A-67,17655.4,756.1,1.0,2,False,None
118,A-68,26040.8,1115.2,1.0,3,False,None
119,A-68,19587.6,838.9,1.0,2,False,None
120,A-68,26040.8,1115.2,1.0,3,False,None
121,A-68,47906.0,2051.6,1.0,5,False,None
122,A-68,31823.5,1362.9,1.0,4,False,None
123,A-68,25790.2,1104.5,1.0,3,False,None
124,A-7,32682.6,1399.7,1.0,4,False,None
125,A-7,43249.9,1852.2,1.0,5,False,None
126,A-7,83265.4,3565.9,1.0,8,True,Core
127,A-7,67142.0,2875.4,1.0,7,True,Core
128,A-7,74727.0,3200.2,1.0,8,True,Core
129,A-7,60115.8,2574.5,1.0,6,True,Comprehensive
130,A-7,19914.9,852.9,1.0,2,False,None
131,A-7,43249.9,1852.2,1.0,5,False,None
132,A-7,2451.0,105.0,1.0,4,True,Comprehensive
133,A-7,52912.5,2266.0,1.0,6,True,Core
134,A-7,48182.0,2063.4,1.0,5,True,Core
135,A-7,38317.8,1641.0,1.0,4,True,Core
136,A-7,14360.5,615.0,1.0,4,True,Core
137,A-7,32391.0,1387.2,1.0,4,False,None
138,A-70,75561.2,3236.0,1.0,8,True,Core
139,A-70,68688.8,2941.6,1.0,7,True,Core
140,A-70,55379.0,2371.6,1.0,6,True,Core
141,A-73,5178.0,221.8,1.0,4,True,Comprehensive
142,A-73,5178.0,221.8,1.0,2,False,None
143,A-73R,3124.0,133.8,1.0,2,False,None
144,A-75,3455.6,148.0,1.0,4,True,Comprehensive
145,A-75,3455.6,148.0,1.0,4,True,Comprehensive
146,A-77,19208.0,822.6,1.0,2,False,None
147,A-77A,34006.2,1456.3,1.0,4,False,None
148,A-79,9915.0,424.6,1.0,2,False,None
149,A-8,19712.4,844.2,1.0,4,True,Core
150,A-8,19712.4,844.2,1.0,2,False,None
151,A-8,19712.4,844.2,1.0,4,True,Core
152,A-8,36589.0,1566.9,1.0,4,True,Core
153,A-8,20879.9,894.2,1.0,4,True,Core
154,A-8,43017.5,1842.2,1.0,5,True,Core
155,A-8,27924.2,1195.9,1.0,4,True,Core
156,A-8,11662.4,499.4,1.0,4,True,Core
157,A-8,15577.8,667.1,1.0,4,True,Core
158,A-8,20668.9,885.2,1.0,4,True,Core
159,AP-7R,28815.3,1234.0,1.0,3,False,None
160,AP-9,29918.2,1281.3,1.0,4,True,Core
161,AP-9,22177.8,949.8,1.0,4,True,Core
162,AP-9,16090.0,689.1,1.0,4,True,Core
163,AP-9,26663.8,1141.9,1.0,4,True,Core
164,AP-9,42467.0,1818.7,1.0,5,True,Core
165,AP-9,21969.2,940.8,1.0,4,True,Comprehensive
166,AP-9,6317.1,270.5,1.0,2,False,None
167,AP-9F,19375.5,829.8,1.0,4,True,Comprehensive
168,AP-9V,51292.5,2196.6,1.0,5,False,None
169,N-1,4282.0,183.4,1.0,2,False,None
170,N-1,2513.0,107.6,1.0,2,False,None
171,N-1,2513.0,107.6,1.0,2,False,None
172,N-1,2513.0,107.6,1.0,2,False,None
173,N-1,3256.9,139.5,1.0,2,False,None
174,N-1,2513.0,107.6,1.0,2,False,None
175,N-1,498.0,21.3,1.0,2,False,None
176,N-1,2513.0,107.6,1.0,2,False,None
177,N-110,1339.4,57.4,1.0,2,False,None
178,N-110,3523.3,150.9,1.0,2,False,None
179,N-110,1988.6,85.2,1.0,2,False,None
180,N-110,3189.1,136.6,1.0,2,False,None
181,N-110,5853.8,250.7,1.0,2,False,None
182,N-110,3857.6,165.2,1.0,2,False,None
183,N-110,4024.6,172.4,1.0,2,False,None
184,N-110A,1261.8,54.0,1.0,2,False,None
185,N-110A,41.0,1.8,1.0,2,False,None
186,N-110A,159.5,6.8,1.0,2,False,None
187,N-110A,147.5,6.3,1.0,2,False,None
188,N-110A,9.5,0.4,1.0,2,False,None
189,N-110A,147.5,6.3,1.0,2,False,None
190,N-111,4412.4,189.0,1.0,2,False,None
191,N-111,322.8,13.8,1.0,2,False,None
192,N-111,243.4,10.4,1.0,2,False,None
193,N-111,6734.2,288.4,1.0,2,False,None
194,N-111,4412.4,189.0,1.0,2,False,None
195,N-111,22094.8,946.2,1.0,3,False,None
196,N-111A,27.0,1.2,1.0,2,False,None
197,N-111R,199.2,8.5,1.0,2,False,None
198,N-113,5227.6,223.9,1.0,4,True,Comprehensive
199,N-113,4300.8,184.2,1.0,2,False,None
200,N-113,4300.8,184.2,1.0,4,True,Comprehensive
201,N-113,3373.9,144.5,1.0,4,True,Comprehensive
202,N-113,4300.8,184.2,1.0,4,True,Comprehensive
203,N-120,2532.0,108.4,1.0,2,False,None
204,N-120,1768.8,75.7,1.0,2,False,None
205,N-120,4703.8,201.4,1.0,2,False,None
206,N-120,4754.3,203.6,1.0,2,False,None
207,N-120,1965.2,84.2,1.0,2,False,None
208,N-120,376.8,16.1,1.0,2,False,None
209,N-120,4754.3,203.6,1.0,2,False,None
210,N-120,4754.3,203.6,1.0,4,True,Comprehensive
211,N-120,12319.5,527.6,1.0,4,True,Comprehensive
212,N-120,8672.2,371.4,1.0,4,True,Comprehensive
213,N-120,4754.3,203.6,1.0,4,True,Comprehensive
214,N-120,9829.9,421.0,1.0,2,False,None
215,N-120,4804.8,205.8,1.0,2,False,None
216,N-120,4754.3,203.6,1.0,2,False,None
217,N-120,5051.8,216.3,1.0,2,False,None
218,N-120,4754.3,203.6,1.0,2,False,None
219,N-120,6218.8,266.3,1.0,2,False,None
220,N-120,4754.3,203.6,1.0,2,False,None
221,N-125,8748.2,374.6,1.0,4,True,Comprehensive
222,N-125,8748.2,374.6,1.0,4,True,Comprehensive
223,N-126,6616.5,283.4,1.0,2,False,None
224,N-141,419.8,18.0,1.0,2,False,None
225,N-145,13888.6,594.8,1.0,2,False,None
226,N-152,7859.8,336.6,1.0,4,True,Comprehensive
227,N-154,7164.2,306.8,1.0,2,False,None
228,N-154,6762.8,289.6,1.0,2,False,None
229,N-155,1952.5,83.6,1.0,2,False,None
230,N-156,7462.0,319.6,1.0,2,False,None
231,N-156,5060.8,216.7,1.0,2,False,None
232,N-1A,12290.0,526.3,1.0,2,False,None
233,N-1A,15031.0,643.7,1.0,2,False,None
234,N-1A,4566.2,195.6,1.0,2,False,None
235,N-1A,3035.0,130.0,1.0,2,False,None
236,N-1A,3481.6,149.1,1.0,2,False,None
237,N-1A,473.2,20.3,1.0,2,False,None
238,N-1A,3481.6,149.1,1.0,2,False,None
239,N-1A,235.0,10.1,1.0,2,False,None
240,N-1A,3481.6,149.1,1.0,2,False,None
241,N-1A,3928.2,168.2,1.0,2,False,None
242,N-1A,5264.0,225.4,1.0,2,False,None
243,N-211A,131.2,5.6,1.0,2,False,None
244,N-211A,131.2,5.6,1.0,2,False,None
245,N-220,36286.2,1554.0,1.0,4,False,None
246,N-223,4187.8,179.3,1.0,2,False,None
247,N-223,11402.5,488.3,1.0,2,False,None
248,N-223,7795.1,333.8,1.0,2,False,None
249,N-225,5383.6,230.6,1.0,2,False,None
250,N-225,7333.8,314.1,1.0,2,False,None
251,N-225,6615.8,283.3,1.0,2,False,None
252,N-225,3637.5,155.8,1.0,2,False,None
253,N-225A,70.2,3.0,1.0,2,False,None
254,N-230,3689.6,158.0,1.0,2,False,None
255,N-230,3924.0,168.0,1.0,4,True,Comprehensive
256,N-230,3455.3,148.0,1.0,4,True,Comprehensive
257,N-232,4619.7,197.8,1.0,2,False,None
258,N-232,3966.0,169.8,1.0,2,False,None
259,N-232,4761.1,203.9,1.0,2,False,None
260,N-232,15689.1,671.9,1.0,2,False,None
261,N-232,4619.7,197.8,1.0,2,False,None
262,N-232,4619.7,197.8,1.0,2,False,None
263,N-232,7426.3,318.0,1.0,2,False,None
264,N-232,4478.4,191.8,1.0,2,False,None
265,N-232,1319.1,56.5,1.0,2,False,None
266,N-232A,183.5,7.9,1.0,2,False,None
267,N-232A,183.5,7.9,1.0,2,False,None
268,N-232A,77.0,3.3,1.0,2,False,None
269,N-232A,8.0,0.3,1.0,2,False,None
270,N-232A,183.5,7.9,1.0,2,False,None
271,N-232A,290.0,12.4,1.0,2,False,None
272,N-232A,183.5,7.9,1.0,2,False,None
273,N-232A,6.5,0.3,1.0,2,False,None
274,N-232A,183.5,7.9,1.0,2,False,None
275,N-232A,67.5,2.9,1.0,2,False,None
276,N-232A,183.5,7.9,1.0,2,False,None
277,N-232A,17.5,0.7,1.0,2,False,None
278,N-232A,569.5,24.4,1.0,2,False,None
279,N-232A,183.5,7.9,1.0,2,False,None
280,N-232A,4713.2,201.8,1.0,2,False,None
281,N-232A,2255.5,96.6,1.0,2,False,None
282,N-232A,183.5,7.9,1.0,2,False,None
283,N-232A,589.0,25.2,1.0,2,False,None
284,N-240,2176.6,93.2,1.0,2,False,None
285,N-240,3616.2,154.9,1.0,2,False,None
286,N-240,12070.0,516.9,1.0,4,True,Comprehensive
287,N-240,1574.9,67.4,1.0,2,False,None
288,N-240,5838.2,250.0,1.0,2,False,None
289,N-240,5838.2,250.0,1.0,2,False,None
290,N-240A,83.5,3.6,1.0,2,False,None
291,N-240A,6878.0,294.6,1.0,2,False,None
292,N-240R,5740.9,245.9,1.0,2,False,None
293,N-240R,5740.9,245.9,1.0,2,False,None
294,N-240R,5740.9,245.9,1.0,2,False,None
295,N-240R,5740.9,245.9,1.0,2,False,None
296,N-240R,5740.9,245.9,1.0,2,False,None
297,N-260,6935.6,297.0,1.0,2,False,None
298,N-260,7898.6,338.3,1.0,2,False,None
