segment_id,route_segment,corridor,is_tent,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_det,n_chargers_abm,n_chargers_stoch,delta_seasonal,delta_mc_noise,simulated_charging_rate,capacity_kw_abm
0,A-7S,Mediterranean,True,4388.3,2.5,10,12,12,2,0,0.131,1800
1,A-7S,Mediterranean,True,1514.5,2.5,4,9,10,5,1,0.132,1350
2,A-7S,Mediterranean,False,2659.2,2.5,6,12,12,6,0,0.1285,1800
3,A-7S,Mediterranean,True,1704.5,2.5,4,10,10,6,0,0.122,1500
4,A-7S,Mediterranean,True,1072.3,2.5,4,6,7,2,1,0.1315,900
5,A-7S,Mediterranean,True,2349.5,2.5,6,12,12,6,0,0.1065,1800
6,A-7S,Mediterranean,True,1514.5,2.5,4,9,10,5,1,0.1325,1350
7,A-7S,Mediterranean,True,2904.1,2.5,7,12,12,5,0,0.1345,1800
8,A-7S,Mediterranean,True,1514.5,2.5,4,9,8,5,-1,0.107,1350
9,A-7S,Mediterranean,True,1938.0,2.5,5,11,12,6,1,0.1255,1650
10,N-3,Standard,False,173.9,1.0,2,2,2,0,0,0.123,300
11,N-3,Standard,False,58.9,1.0,2,2,2,0,0,0.1095,300
12,N-3,Standard,False,345.0,1.0,2,2,2,0,0,0.127,300
13,N-3,Standard,False,20.5,1.0,2,2,2,0,0,0.1265,300
14,A-1,Standard,False,1002.5,1.0,3,3,3,0,0,0.119,450
15,A-1,Standard,True,3528.8,1.0,8,8,9,0,1,0.1255,1200
16,A-1,Standard,True,2713.3,1.0,7,7,7,0,0,0.139,1050
17,A-1,Standard,True,990.2,1.0,4,4,4,0,0,0.131,600
18,A-1,Standard,True,721.6,1.0,4,4,4,0,0,0.1245,600
19,A-1,Standard,True,1014.8,1.0,4,4,4,0,0,0.1155,600
20,A-1,Standard,True,1002.5,1.0,4,4,4,0,0,0.1355,600
21,A-1,Standard,True,493.4,1.0,4,4,4,0,0,0.1275,600
22,A-1,Standard,False,358.9,1.0,2,2,2,0,0,0.135,300
23,A-23,Standard,True,956.1,1.0,4,4,4,0,0,0.122,600
24,A-23,Standard,True,700.3,1.0,4,4,4,0,0,0.124,600
25,A-23,Standard,True,437.4,1.0,4,4,4,0,0,0.1165,600
26,A-23,Standard,True,379.8,1.0,4,4,4,0,0,0.127,600
27,A-23,Standard,True,549.4,1.0,4,4,4,0,0,0.1235,600
28,A-23,Standard,False,814.3,1.0,2,2,3,0,1,0.1365,300
29,A-23,Standard,True,810.9,1.0,4,4,4,0,0,0.135,600
30,A-23,Standard,True,816.5,1.0,4,4,4,0,0,0.132,600
31,A-23,Standard,True,385.2,1.0,4,4,4,0,0,0.133,600
32,A-23,Standard,False,493.4,1.0,2,2,2,0,0,0.1345,300
33,A-23,Standard,True,493.4,1.0,4,4,4,0,0,0.1255,600
34,A-23,Standard,True,493.4,1.0,4,4,4,0,0,0.129,600
35,A-23,Standard,True,493.4,1.0,4,4,4,0,0,0.1325,600
36,A-23,Standard,True,342.9,1.0,4,4,4,0,0,0.1245,600
37,A-23,Standard,True,307.6,1.0,4,4,4,0,0,0.1205,600
38,A-23,Standard,False,493.4,1.0,2,2,2,0,0,0.1225,300
39,A-23,Standard,True,330.1,1.0,4,4,4,0,0,0.1135,600
40,A-23,Standard,False,493.4,1.0,2,2,2,0,0,0.122,300
41,A-26,Standard,False,616.7,1.0,2,2,2,0,0,0.133,300
42,A-26,Standard,False,616.7,1.0,2,2,2,0,0,0.1325,300
43,A-27,Standard,True,1101.0,1.0,4,4,4,0,0,0.1205,600
44,A-27,Standard,True,905.1,1.0,4,4,4,0,0,0.122,600
45,A-3,Mediterranean,False,1891.3,2.5,5,11,11,6,0,0.1225,1650
46,A-3,Mediterranean,True,2811.6,2.5,7,12,12,5,0,0.1295,1800
47,A-3,Mediterranean,True,1354.7,2.5,4,8,8,4,0,0.127,1200
48,A-3,Mediterranean,True,1219.9,2.5,4,7,8,3,1,0.126,1050
49,A-3,Mediterranean,True,1031.2,2.5,4,6,6,2,0,0.125,900
50,A-3,Mediterranean,True,1052.9,2.5,4,6,6,2,0,0.119,900
51,A-3,Mediterranean,True,2660.1,2.5,6,12,12,6,0,0.1385,1800
52,A-3,Mediterranean,True,2621.8,2.5,6,12,12,6,0,0.118,1800
53,A-3,Mediterranean,False,1623.0,2.5,4,10,9,6,-1,0.1185,1500
54,A-30,Mediterranean,True,628.7,2.5,4,4,4,0,0,0.12,600
55,A-30,Mediterranean,True,2005.5,2.5,5,12,11,7,-1,0.1175,1800
56,A-30,Mediterranean,False,2317.3,2.5,6,12,12,6,0,0.1265,1800
57,A-55,Standard,True,908.8,1.0,4,4,4,0,0,0.1275,600
58,A-55,Standard,False,1563.4,1.0,4,4,4,0,0,0.128,600
59,A-56,Standard,False,39.5,1.0,2,2,2,0,0,0.133,300
60,A-58,Standard,False,211.8,1.0,2,2,2,0,0,0.129,300
61,A-5R,Standard,False,5215.4,1.0,12,12,12,0,0,0.127,1800
62,A-6,Atlantic,False,736.8,1.5,2,3,3,1,0,0.137,450
63,A-6,Atlantic,True,2848.1,1.5,7,10,10,3,0,0.1245,1500
64,A-6,Atlantic,True,2458.2,1.5,6,9,10,3,1,0.1355,1350
65,A-6,Atlantic,False,736.8,1.5,2,3,3,1,0,0.132,450
66,A-6,Atlantic,True,851.0,1.5,4,4,4,0,0,0.131,600
67,A-6,Atlantic,True,736.8,1.5,4,4,4,0,0,0.1155,600
68,A-6,Atlantic,True,736.8,1.5,4,4,4,0,0,0.1255,600
69,A-6,Atlantic,True,724.1,1.5,4,4,4,0,0,0.1365,600
70,A-6,Atlantic,True,736.8,1.5,4,4,4,0,0,0.1285,600
71,A-6,Atlantic,True,887.2,1.5,4,4,4,0,0,0.118,600
72,A-6,Atlantic,True,314.3,1.5,4,4,4,0,0,0.108,600
73,A-6,Atlantic,True,572.4,1.5,4,4,4,0,0,0.13,600
74,A-6,Atlantic,True,397.0,1.5,4,4,4,0,0,0.133,600
75,A-6,Atlantic,True,776.6,1.5,4,4,4,0,0,0.1345,600
76,A-6,Atlantic,True,735.8,1.5,4,4,4,0,0,0.133,600
77,A-6,Atlantic,True,770.8,1.5,4,4,4,0,0,0.1085,600
78,A-6,Atlantic,False,534.8,1.5,2,2,2,0,0,0.122,300
79,A-60,Atlantic,False,389.0,1.5,2,2,2,0,0,0.133,300
80,A-60,Atlantic,False,459.0,1.5,2,2,2,0,0,0.123,300
81,A-62,Atlantic,True,596.4,1.5,4,4,4,0,0,0.13,600
82,A-62,Atlantic,True,1231.9,1.5,4,5,5,1,0,0.1265,750
83,A-62,Atlantic,True,1185.1,1.5,4,4,4,0,0,0.116,600
84,A-62,Atlantic,True,1694.5,1.5,4,6,6,2,0,0.1255,900
85,A-62,Atlantic,True,849.0,1.5,4,4,4,0,0,0.1255,600
86,A-62,Atlantic,True,561.6,1.5,4,4,4,0,0,0.129,600
87,A-62,Atlantic,True,1145.4,1.5,4,4,4,0,0,0.123,600
88,A-62,Atlantic,True,343.3,1.5,4,4,4,0,0,0.13,600
89,A-62,Atlantic,False,849.0,1.5,2,3,3,1,0,0.1185,450
90,A-62,Atlantic,True,229.2,1.5,4,4,4,0,0,0.139,600
91,A-63,Atlantic,False,520.3,1.5,2,2,2,0,0,0.13,300
92,A-63R,Atlantic,False,245.9,1.5,2,2,2,0,0,0.1295,300
93,A-64,Atlantic,True,1085.1,1.5,4,4,4,0,0,0.1325,600
94,A-65,Atlantic,True,341.9,1.5,4,4,4,0,0,0.141,600
