location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
STAV2_0001,41.47038,-2.530493,A-15,4,Congested
STAV2_0002,41.87396572423545,-1.9148054037095896,A-15,4,Congested
STAV2_0003,41.309645775648825,-2.0942052309419807,A-2,4,Congested
STAV2_0004,41.67683,-0.890236,A-2,7,Congested
STAV2_0005,42.61181811349445,-0.9889508689206175,A-21,4,Congested
STAV2_0006,41.82803,0.31121,A-22,4,Congested
STAV2_0007,42.0249,0.053188,A-22,4,Congested
STAV2_0008,40.874518180944435,-1.3070793418597122,A-23,4,Congested
STAV2_0009,42.495129154495956,-0.36463438110180535,A-23,4,Congested
STAV2_0010,42.19335,2.504356,A-26,2,Sufficient
STAV2_0011,37.05176,-4.658064,A-384,4,Congested
STAV2_0012,36.611473,-6.19633,A-4,4,Congested
STAV2_0013,37.41245,-5.9514,A-4,4,Congested
STAV2_0014,36.99913,-3.577,A-44,4,Congested
STAV2_0015,37.973404,-3.802544,A-44,4,Congested
STAV2_0016,36.898254,-4.429885,A-45,4,Sufficient
STAV2_0017,37.30626,-6.87324,A-49,4,Congested
STAV2_0018,38.839523,-6.646957,A-5,4,Congested
STAV2_0019,38.85955,-6.36511,A-66,4,Congested
STAV2_0020,41.761143,-1.149449,A-68,5,Congested
STAV2_0021,36.21056,-5.39799,A-7S,12,Congested
STAV2_0022,36.54043,-4.634351,A-7S,9,Congested
STAV2_0023,36.71674543643848,-3.457990465241936,A-7S,9,Congested
STAV2_0024,36.75928,-2.80678,A-7S,7,Congested
STAV2_0025,41.52443570939843,-0.393013484562197,AP-2,4,Congested
STAV2_0026,39.723812169407566,-3.133609309291407,AP-36,2,Moderate
STAV2_0027,36.540028,-6.173239,AP-4,7,Congested
STAV2_0028,41.834261479935485,-1.323325085083378,AP-68,4,Sufficient
STAV2_0029,41.134686,1.16877,AP-7N,4,Sufficient
STAV2_0030,41.32109,1.722205,AP-7N,9,Sufficient
STAV2_0031,36.494915,-4.991673,AP-7S,4,Congested
STAV2_0032,41.85387,-1.92631,N-122,4,Congested
STAV2_0033,41.66367987635938,-0.9667138716394909,N-125,4,Congested
STAV2_0034,41.261421850666,-2.1823905085574546,N-2,4,Congested
STAV2_0035,42.230286,2.963316,N-2,4,Congested
STAV2_0036,40.82963388255695,-1.1793512410277849,N-211A,2,Congested
STAV2_0037,40.33816,-1.10103,N-223,2,Congested
STAV2_0038,40.515218633253646,0.25477454809516487,N-232,2,Congested
STAV2_0039,40.51278154360412,0.11949525638417963,N-232A,2,Congested
STAV2_0040,41.51486,-0.636486,N-232A,2,Congested
STAV2_0041,40.36329,-1.145989,N-234,2,Congested
STAV2_0042,41.266937,1.248363,N-240,4,Congested
STAV2_0043,42.03354,0.104773,N-240,4,Congested
STAV2_0044,42.141106164761325,-0.37414846926385814,N-240A,2,Congested
STAV2_0045,42.611598157982804,-0.9099316615188695,N-240R,2,Congested
STAV2_0046,42.21382,2.208035,N-260,4,Sufficient
STAV2_0047,42.22225877077022,2.8059372173120174,N-260A,2,Congested
STAV2_0048,42.36297889991612,1.8048127877752609,N-260R,4,Congested
STAV2_0049,41.510451117753426,0.2847233941544442,N-2A,2,Congested
STAV2_0050,41.32614333624359,-1.7917243633057707,N-2R,2,Congested
STAV2_0051,38.01387,-3.383437,N-322,4,Congested
STAV2_0052,38.154325597334164,-3.0167042152196246,N-322A,2,Congested
STAV2_0053,36.837849928175594,-3.5184620855889177,N-323,4,Congested
STAV2_0054,36.8933527729625,-3.509273037092431,N-323A,2,Congested
STAV2_0055,37.285664,-3.675543,N-323A,2,Congested
STAV2_0056,41.33516,-1.22134,N-330,4,Congested
STAV2_0057,42.22500668648688,-0.4413760665639473,N-330,4,Congested
STAV2_0058,40.0965071207502,-1.2732937578811732,N-330A,2,Congested
STAV2_0059,42.327736846714345,-0.4089967092480236,N-330A,2,Congested
STAV2_0060,37.03285,-4.530882,N-331,2,Congested
STAV2_0061,37.57366,-4.650703,N-331,2,Congested
STAV2_0062,37.462911129518645,-4.568680866101379,N-331R,2,Congested
STAV2_0063,36.2564658780221,-5.33780952331509,N-340,4,Congested
STAV2_0064,36.771137,-2.8267684,N-340A,4,Congested
STAV2_0065,37.36955644396135,-1.9631231831505374,N-340A,4,Congested
STAV2_0066,36.966331380344336,-1.987998390136652,N-341,4,Congested
STAV2_0067,36.7515099152563,-6.070390358053221,N-346,4,Congested
STAV2_0068,36.867458635136494,-2.377355276558308,N-347AL,4,Congested
STAV2_0069,36.165764,-5.360959,N-351,2,Congested
STAV2_0070,37.28337,-5.932176,N-4,2,Congested
STAV2_0071,37.93162036196326,-4.651899209489412,N-4,2,Congested
STAV2_0072,40.02904075951177,-2.1661595797326982,N-420,2,Sufficient
STAV2_0073,40.121244642586156,-1.3913231641084405,N-420A,2,Congested
STAV2_0074,41.111794902239495,0.7013965954031061,N-420A,2,Congested
STAV2_0075,39.13896794765962,-5.186272382574811,N-430A,2,Congested
STAV2_0076,37.24739,-7.19851,N-431,2,Sufficient
STAV2_0077,37.55201731957217,-4.045061451648945,N-432A,2,Congested
STAV2_0078,38.13942934931493,-4.935629099158727,N-432A,2,Congested
STAV2_0079,38.292553376367,-5.231312480479327,N-432A,2,Congested
STAV2_0080,38.612698065738925,-6.623417549527818,N-432A,2,Congested
STAV2_0081,37.900207,-6.644477,N-433,4,Congested
STAV2_0082,38.320087,-6.77897,N-435,2,Congested
STAV2_0083,37.93400888269142,-6.734962609213896,N-435A,2,Congested
STAV2_0084,38.61262270273299,-6.822359675410567,N-435A,2,Congested
STAV2_0085,37.18274210623369,-6.913655713344836,N-442,2,Sufficient
STAV2_0086,37.25325252889134,-7.305714535534287,N-446,2,Sufficient
STAV2_0087,38.88283154367612,-6.829830557431908,N-5,4,Congested
STAV2_0088,39.17104,-5.047223,N-502,2,Congested
STAV2_0089,38.201427372857864,-5.009139192926052,N-502A,2,Congested
STAV2_0090,38.97965133649686,-4.860406548520457,N-502A,2,Sufficient
STAV2_0091,37.45534,-6.05513,N-630,2,Congested
STAV2_0092,42.9617,-7.564019,A-54,4,Sufficient
STAV2_0093,43.405964,-5.789971,A-66,4,Congested
STAV2_0094,43.31885,-4.068469,A-67,4,Congested
STAV2_0095,43.33336044771351,-4.327272285875591,A-8,7,Congested
STAV2_0096,43.379726,-7.426508,A-8,4,Sufficient
STAV2_0097,43.522278,-5.715472,A-8,4,Congested
