bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRICV2_0001,41.47038,-2.530493,A-15,Endesa,600,Congested
FRICV2_0002,41.87396572423545,-1.9148054037095896,A-15,Endesa,600,Congested
FRICV2_0003,41.309645775648825,-2.0942052309419807,A-2,Endesa,600,Congested
FRICV2_0004,41.67683,-0.890236,A-2,Endesa,1050,Congested
FRICV2_0005,42.61181811349445,-0.9889508689206175,A-21,Endesa,600,Congested
FRICV2_0006,41.82803,0.31121,A-22,Endesa,600,Congested
FRICV2_0007,42.0249,0.053188,A-22,Endesa,600,Congested
FRICV2_0008,40.874518180944435,-1.3070793418597122,A-23,Endesa,600,Congested
FRICV2_0009,42.495129154495956,-0.36463438110180535,A-23,Endesa,600,Congested
FRICV2_0010,37.05176,-4.658064,A-384,Endesa,600,Congested
FRICV2_0011,36.611473,-6.19633,A-4,Endesa,600,Congested
FRICV2_0012,37.41245,-5.9514,A-4,Endesa,600,Congested
FRICV2_0013,36.99913,-3.577,A-44,Endesa,600,Congested
FRICV2_0014,37.973404,-3.802544,A-44,Endesa,600,Congested
FRICV2_0015,37.30626,-6.87324,A-49,Endesa,600,Congested
FRICV2_0016,38.839523,-6.646957,A-5,Endesa,600,Congested
FRICV2_0017,38.85955,-6.36511,A-66,Endesa,600,Congested
FRICV2_0018,41.761143,-1.149449,A-68,Endesa,750,Congested
FRICV2_0019,36.21056,-5.39799,A-7S,Endesa,1800,Congested
FRICV2_0020,36.54043,-4.634351,A-7S,Endesa,1350,Congested
FRICV2_0021,36.71674543643848,-3.457990465241936,A-7S,Endesa,1350,Congested
FRICV2_0022,36.75928,-2.80678,A-7S,Endesa,1050,Congested
FRICV2_0023,41.52443570939843,-0.393013484562197,AP-2,Endesa,600,Congested
FRICV2_0024,39.723812169407566,-3.133609309291407,AP-36,Endesa,300,Moderate
FRICV2_0025,36.540028,-6.173239,AP-4,Endesa,1050,Congested
FRICV2_0026,36.494915,-4.991673,AP-7S,Endesa,600,Congested
FRICV2_0027,41.83176,-1.523313,N-122,Endesa,600,Congested
FRICV2_0028,41.66367987635938,-0.9667138716394909,N-125,Endesa,600,Congested
FRICV2_0029,41.261421850666,-2.1823905085574546,N-2,Endesa,600,Congested
FRICV2_0030,42.26654,2.997957,N-2,Endesa,600,Congested
FRICV2_0031,40.82963388255695,-1.1793512410277849,N-211A,Endesa,300,Congested
FRICV2_0032,40.33816,-1.10103,N-223,Endesa,300,Congested
FRICV2_0033,40.515218633253646,0.25477454809516487,N-232,Endesa,300,Congested
FRICV2_0034,40.51278154360412,0.11949525638417963,N-232A,Endesa,300,Congested
FRICV2_0035,41.51486,-0.636486,N-232A,Endesa,300,Congested
FRICV2_0036,40.36329,-1.145989,N-234,Endesa,300,Congested
FRICV2_0037,41.266937,1.248363,N-240,Endesa,600,Congested
FRICV2_0038,42.03354,0.104773,N-240,Endesa,600,Congested
FRICV2_0039,42.141106164761325,-0.37414846926385814,N-240A,Endesa,300,Congested
FRICV2_0040,42.611598157982804,-0.9099316615188695,N-240R,Endesa,300,Congested
FRICV2_0041,42.22225877077022,2.8059372173120174,N-260A,Endesa,300,Congested
FRICV2_0042,42.36297889991612,1.8048127877752609,N-260R,Endesa,600,Congested
FRICV2_0043,41.510451117753426,0.2847233941544442,N-2A,Endesa,300,Congested
FRICV2_0044,41.32614333624359,-1.7917243633057707,N-2R,Endesa,300,Congested
FRICV2_0045,38.01387,-3.383437,N-322,Endesa,600,Congested
FRICV2_0046,38.154325597334164,-3.0167042152196246,N-322A,Endesa,300,Congested
FRICV2_0047,36.837849928175594,-3.5184620855889177,N-323,Endesa,600,Congested
FRICV2_0048,36.8933527729625,-3.509273037092431,N-323A,Endesa,300,Congested
FRICV2_0049,37.285664,-3.675543,N-323A,Endesa,300,Congested
FRICV2_0050,41.33516,-1.22134,N-330,Endesa,600,Congested
FRICV2_0051,42.22500668648688,-0.4413760665639473,N-330,Endesa,600,Congested
FRICV2_0052,40.0965071207502,-1.2732937578811732,N-330A,Endesa,300,Congested
FRICV2_0053,42.327736846714345,-0.4089967092480236,N-330A,Endesa,300,Congested
FRICV2_0054,37.03285,-4.530882,N-331,Endesa,300,Congested
FRICV2_0055,37.57366,-4.650703,N-331,Endesa,300,Congested
FRICV2_0056,37.462911129518645,-4.568680866101379,N-331R,Endesa,300,Congested
FRICV2_0057,36.2564658780221,-5.33780952331509,N-340,Endesa,600,Congested
FRICV2_0058,36.771137,-2.8267684,N-340A,Endesa,600,Congested
FRICV2_0059,37.36955644396135,-1.9631231831505374,N-340A,Endesa,600,Congested
FRICV2_0060,36.966331380344336,-1.987998390136652,N-341,Endesa,600,Congested
FRICV2_0061,36.7515099152563,-6.070390358053221,N-346,Endesa,600,Congested
FRICV2_0062,36.867458635136494,-2.377355276558308,N-347AL,Endesa,600,Congested
FRICV2_0063,36.165764,-5.360959,N-351,Endesa,300,Congested
FRICV2_0064,37.28337,-5.932176,N-4,Endesa,300,Congested
FRICV2_0065,37.93162036196326,-4.651899209489412,N-4,Endesa,300,Congested
FRICV2_0066,40.121244642586156,-1.3913231641084405,N-420A,Endesa,300,Congested
FRICV2_0067,41.111794902239495,0.7013965954031061,N-420A,Endesa,300,Congested
FRICV2_0068,39.13896794765962,-5.186272382574811,N-430A,Endesa,300,Congested
FRICV2_0069,37.283684,-7.178576,N-431,Endesa,300,Moderate
FRICV2_0070,37.55201731957217,-4.045061451648945,N-432A,Endesa,300,Congested
FRICV2_0071,38.13942934931493,-4.935629099158727,N-432A,Endesa,300,Congested
FRICV2_0072,38.292553376367,-5.231312480479327,N-432A,Endesa,300,Congested
FRICV2_0073,38.612698065738925,-6.623417549527818,N-432A,Endesa,300,Congested
FRICV2_0074,37.900207,-6.644477,N-433,Endesa,600,Congested
FRICV2_0075,38.320087,-6.77897,N-435,Endesa,300,Congested
FRICV2_0076,37.93400888269142,-6.734962609213896,N-435A,Endesa,300,Congested
FRICV2_0077,38.61262270273299,-6.822359675410567,N-435A,Endesa,300,Congested
FRICV2_0078,38.88283154367612,-6.829830557431908,N-5,Endesa,600,Congested
FRICV2_0079,38.201427372857864,-5.009139192926052,N-502A,Endesa,300,Congested
FRICV2_0080,37.45534,-6.05513,N-630,Endesa,300,Congested
FRICV2_0081,43.182007,-5.811178,A-66,Viesgo,600,Moderate
FRICV2_0082,43.31885,-4.068469,A-67,Viesgo,600,Congested
FRICV2_0083,43.33336044771351,-4.327272285875591,A-8,Viesgo,1050,Congested
FRICV2_0084,43.522278,-5.715472,A-8,Viesgo,600,Congested
FRICV2_0085,42.681726,-8.634557,AP-9,Viesgo,600,Congested
FRICV2_0086,42.86685,-4.154992,N-611,Viesgo,300,Congested
FRICV2_0087,42.95059732929247,-4.138150466428296,N-611A,Viesgo,300,Congested
FRICV2_0088,43.35523134018538,-4.526377657274634,N-621A,Viesgo,300,Moderate
FRICV2_0089,43.35925,-3.924742,N-623,Viesgo,600,Congested
FRICV2_0090,43.26092229412246,-3.4662534902575746,N-629,Viesgo,300,Congested
FRICV2_0091,43.2832094808891,-3.434277871725404,N-629A,Viesgo,300,Congested
FRICV2_0092,43.106342,-5.817404,N-630,Viesgo,300,Congested
FRICV2_0093,43.38865,-5.18632,N-634,Viesgo,600,Moderate
FRICV2_0094,43.4214696699233,-3.5112059687930572,N-634,Viesgo,600,Congested
FRICV2_0095,42.340267,-3.6953535,A-1,i-DE,600,Congested
FRICV2_0096,42.863613,-2.660541,A-1,i-DE,600,Congested
FRICV2_0097,41.596442942233466,-3.3546181072164334,A-11,i-DE,600,Congested
FRICV2_0098,42.42743156744022,-2.7450586933933154,A-12,i-DE,300,Congested
FRICV2_0099,43.259827,-1.966318,A-15,i-DE,600,Congested
FRICV2_0100,39.46963,-0.7078082,A-3,i-DE,600,Congested
FRICV2_0101,39.946594,-2.8946514,A-3,i-DE,1050,Congested
FRICV2_0102,37.885376,-1.136602,A-30,i-DE,1800,Congested
FRICV2_0103,38.93846045856489,-1.8916543648034796,A-32,i-DE,600,Congested
FRICV2_0104,39.978848,-4.268037,A-40,i-DE,300,Congested
FRICV2_0105,39.392600348852966,-2.41080667023409,A-43,i-DE,600,Congested
FRICV2_0106,39.88855,-5.467399,A-5,i-DE,600,Congested
FRICV2_0107,40.82720266782806,-4.935825912655078,A-50,i-DE,600,Congested
FRICV2_0108,41.18201,-4.807545,A-6,i-DE,600,Congested
FRICV2_0109,41.27575,-4.887979,A-6,i-DE,600,Congested
FRICV2_0110,41.8658,-5.4207,A-6,i-DE,600,Congested
FRICV2_0111,40.60678,-6.824496,A-62,i-DE,600,Congested
FRICV2_0112,41.1888534905475,-5.697153263002667,A-66,i-DE,600,Congested
FRICV2_0113,41.79842261423094,-5.756283738862351,A-66,i-DE,600,Congested
FRICV2_0114,42.41139494241778,-5.588548526345261,A-66,i-DE,600,Congested
FRICV2_0115,42.50473254028296,-5.588289700067774,A-66R,i-DE,300,Congested
FRICV2_0116,38.14595,-0.88898,A-7,i-DE,1650,Congested
FRICV2_0117,39.420467,-0.503541,A-7,i-DE,1650,Congested
FRICV2_0118,38.30772,-0.60557,A-70,i-DE,1500,Congested
FRICV2_0119,42.91003,-2.663482,AP-1,i-DE,600,Congested
FRICV2_0120,42.834183,-1.666381,AP-15,i-DE,600,Congested
FRICV2_0121,40.06231755712379,-3.859392676034929,AP-41,i-DE,300,Congested
FRICV2_0122,40.72284294733156,-4.527654192230606,AP-51,i-DE,600,Congested
FRICV2_0123,40.77142761296735,-4.398188014383041,AP-6,i-DE,600,Congested
FRICV2_0124,42.56834,-2.861139,AP-68,i-DE,600,Congested
FRICV2_0125,42.542329693450576,-5.716524443734891,AP-71,i-DE,300,Congested
FRICV2_0126,38.559322,-0.134794,AP-7N,i-DE,1200,Congested
FRICV2_0127,39.77346295439903,-0.19327550313743216,AP-7N,i-DE,1800,Congested
FRICV2_0128,37.661213608385374,-0.8999686524756721,AP-7R,i-DE,1050,Congested
FRICV2_0129,43.22526,-2.743108,AP-8,i-DE,600,Congested
FRICV2_0130,42.024418,-3.752409,N-1,i-DE,300,Congested
FRICV2_0131,42.6376,-3.110572,N-1,i-DE,300,Congested
FRICV2_0132,41.48559152809808,-3.3149305360046015,N-110,i-DE,300,Congested
FRICV2_0133,40.87398735889022,-4.230126544399446,N-110A,i-DE,300,Congested
FRICV2_0134,41.1772989226192,-3.6358133621666218,N-110A,i-DE,300,Congested
FRICV2_0135,41.75564460759367,-2.473891577477864,N-111,i-DE,300,Congested
FRICV2_0136,42.45322,-2.464703,N-111,i-DE,300,Congested
FRICV2_0137,42.43218309178522,-2.777637465996418,N-120,i-DE,600,Congested
FRICV2_0138,42.52561,-7.527315,N-120,i-DE,600,Congested
FRICV2_0139,42.572495,-5.583343,N-120,i-DE,600,Congested
FRICV2_0140,41.527275,-5.699888,N-122,i-DE,600,Congested
FRICV2_0141,41.63162189698914,-3.5239541251788977,N-122,i-DE,600,Congested
FRICV2_0142,40.56683,-3.60891,N-1A,i-DE,300,Congested
FRICV2_0143,41.18812,-3.583655,N-1A,i-DE,300,Congested
