od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
SEV→MAD,1366,1366,1.1273575017010529,2.9560761346998534,100.0
MAD→SEV,1326,1326,4.27384986922421,3.3559577677224737,100.0
MAD→BIL,1237,660,99.45661550810021,1.1932093775262733,53.4
BIL→MAD,1181,1181,0.14705190670916682,1.2252328535139712,100.0
MAD→BCN,1130,1072,0.27786855204729854,4.047787610619469,94.9
BCN→MAD,1059,161,457.34570778976956,0.8687440982058546,15.2
MUR→BCN,987,987,0.012465091815027736,3.729483282674772,100.0
BIL→ZAR,983,983,394.1047413187173,2.0528992878942014,100.0
BCN→MUR,946,946,14.104963330191442,3.7621564482029597,100.0
VLD→MAD,925,695,95.23590803309695,0.9178378378378378,75.1
ZAR→BIL,906,723,130.84356065989854,1.804635761589404,79.8
MAD→VLD,878,877,1.4301668296018248,1.644646924829157,99.9
MUR→MAL,856,315,145.77411525935557,1.3668224299065421,36.8
MAL→MUR,801,801,4.5883829542554215,2.2172284644194757,100.0
MAD→VAL,762,620,115.81105733024039,2.841207349081365,81.4
VAL→MAD,702,701,55.40610150023388,3.2507122507122506,99.9
VIG→ACO,574,574,2.8888703871190757,0.9128919860627178,100.0
ACO→VIG,504,504,34.486312093996084,0.9742063492063492,100.0
MAL→COR,487,393,233.86524335136662,0.3860369609856263,80.7
PAL→STD,478,478,59.87734684976041,0.9205020920502092,100.0
BIL→PMP,477,477,35.68489191981877,1.1572327044025157,100.0
STD→PAL,473,473,43.75400562234053,0.8498942917547568,100.0
PMP→BIL,471,469,0.9309743505159944,1.2399150743099787,99.6
COR→MAL,467,398,106.69461991304955,0.4004282655246253,85.2
VLD→SEV,423,419,1.529286436265453,3.817966903073286,99.1
MAD→BUR,394,394,0.0,0.9238578680203046,100.0
SEV→VLD,383,383,17.49781150151183,3.3211488250652743,100.0
BUR→MAD,368,368,0.0,0.8695652173913043,100.0
MAL→GRN,351,229,390.82522700551743,1.6666666666666667,65.2
GRN→MAL,337,176,226.35423497079287,0.4094955489614243,52.2
ZAR→VAL,331,207,276.30661289240055,1.3262839879154078,62.5
VAL→ZAR,330,328,153.48798586996523,1.3545454545454545,99.4
SEV→MUR,298,294,62.32231662580175,3.271812080536913,98.7
MUR→SEV,297,288,8.585754119885623,2.4276094276094278,97.0
MAL→ALI,245,245,0.0,1.8571428571428572,100.0
ALI→MAL,223,223,0.0,2.0896860986547083,100.0
PMP→ZAR,145,145,470.9682345729724,3.179310344827586,100.0
BIL→SSB,127,127,0.006725801768557784,0.7322834645669292,100.0
SSB→BIL,122,122,0.21217700058141287,0.8278688524590164,100.0
ZAR→PMP,119,118,7.6004932531653475,0.9663865546218487,99.2
HUE→SEV,102,102,23.16148994431224,0.4019607843137255,100.0
SEV→HUE,92,92,23.43942391649826,0.40217391304347827,100.0
ALB→COR,71,70,0.0,3.183098591549296,98.6
SEV→BAD,68,68,0.18603975203349338,1.6911764705882353,100.0
BAD→SEV,61,61,0.05099575929534135,1.9344262295081966,100.0
COR→ALB,52,52,0.0,1.2692307692307692,100.0
AVL→COR,46,46,44.67163841106899,1.608695652173913,100.0
COR→AVL,39,39,225.1388948827004,1.205128205128205,100.0
