station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_000,AP-2_EC000,AP-2 existing cluster 0,15.0,3,0.4,10,276.2317336224269,0.0,1112.4753215864819,0,0.12875871777621317
EC_AP-2_001,AP-2_EC001,AP-2 existing cluster 1,22.0,2,0.4,9,309.7685842855152,0.0,856.1826881952071,0,0.1486428278116679
EC_AP-2_002,AP-2_EC002,AP-2 existing cluster 2,60.0,2,0.4,14,546.7561607573899,30.922144025196758,552.0438624822341,1,0.09584094834761009
EC_AP-2_003,AP-2_EC003,AP-2 existing cluster 3,60.0,2,0.4,27,926.976616790519,60.514237832936146,926.976616790519,1,0.16093344041502064
EC_AP-2_004,AP-2_EC004,AP-2 existing cluster 4,22.0,2,0.4,17,435.62023436370134,31.371344075520256,1198.3484397602413,1,0.2080466041250419
EC_AP-2_005,AP-2_EC005,AP-2 existing cluster 5,22.0,2,0.4,8,287.77175057468514,30.298834247198783,799.8300536663868,1,0.13885938431708103
EC_AP-2_006,AP-2_EC006,AP-2 existing cluster 6,22.0,2,0.4,7,231.58947922331762,0.0,642.6664662544102,0,0.11157403928027955
EC_AP-2_007,AP-2_EC007,AP-2 existing cluster 7,22.0,2,0.4,17,576.5014119226075,156.56705690509818,1636.2256519675873,2,0.284066953466595
EC_AP-2_008,AP-2_EC008,AP-2 existing cluster 8,50.0,3,0.4,53,1720.9261360165099,121.41313515064667,2081.5657552463904,2,0.24092196241277666
EC_AP-2_009,AP-2_EC009,AP-2 existing cluster 9,50.0,3,0.4,36,1043.1160095130108,0.0,1262.4661446224961,0,0.14611876673871482
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,6,0.4,104,3218.438068227609,0.0,1413.9519387857617,0,0.08182592238343529
EC_A-2_000,A-2_EC000,A-2 existing cluster 0,350.0,37,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_001,A-2_EC001,A-2 existing cluster 1,150.0,46,0.4,18,520.0747315811357,0.0,232.01350546873735,0,0.0017513096729222324
EC_A-2_002,A-2_EC002,A-2 existing cluster 2,50.0,27,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_003,A-2_EC003,A-2 existing cluster 3,150.0,34,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_004,A-2_EC004,A-2 existing cluster 4,50.0,67,0.4,5,190.71673140876823,0.0,231.0897551098767,0,0.0011976044522692614
EC_A-2_005,A-2_EC005,A-2 existing cluster 5,150.0,22,0.4,1,31.524496898394116,0.0,15.762248449197058,0,0.00024877286062495354
EC_A-2_006,A-2_EC006,A-2 existing cluster 6,150.0,24,0.4,1,36.2230591004067,0.0,14.48922364016268,0,0.00020962418460883505
EC_A-2_007,A-2_EC007,A-2 existing cluster 7,50.0,22,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_008,A-2_EC008,A-2 existing cluster 8,150.0,35,0.4,1,27.791928598326056,0.0,12.351968265922691,0,0.000122539367717487
EC_A-2_009,A-2_EC009,A-2 existing cluster 9,150.0,64,0.4,3,99.16642763186904,0.0,46.01399843473254,0,0.0002496419185912139
EC_A-2_010,A-2_EC010,A-2 existing cluster 10,172.0,37,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_011,A-2_EC011,A-2 existing cluster 11,150.0,17,0.4,25,634.7602521060461,0.0,288.84750447532,0,0.005899663081603759
EC_A-2_012,A-2_EC012,A-2 existing cluster 12,150.0,17,0.4,7,264.7764251417934,0.0,111.50665555824854,0,0.0022775052197354685
EC_A-2_013,A-2_EC013,A-2 existing cluster 13,300.0,21,0.4,14,511.7492715005847,0.0,178.27488408646488,0,0.002947666734233877
EC_A-2_014,A-2_EC014,A-2 existing cluster 14,150.0,40,0.4,6,214.3465079731512,0.0,93.18967208016613,0,0.0008089381256958866
EC_A-2_015,A-2_EC015,A-2 existing cluster 15,200.0,32,0.4,7,262.71293416260534,0.0,104.22695376897165,0,0.0011309348282223487
EC_A-2_016,A-2_EC016,A-2 existing cluster 16,320.0,49,0.4,8,273.6468754124697,0.0,128.6809627219831,0,0.0009118548945718757
EC_A-2_017,A-2_EC017,A-2 existing cluster 17,120.0,34,0.4,1,38.45542319615923,0.0,19.227711598079615,0,0.00019636143380391763
EC_A-2_018,A-2_EC018,A-2 existing cluster 18,360.0,34,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_019,A-2_EC019,A-2 existing cluster 19,50.0,31,0.4,2,101.85885439414433,0.0,122.2306252729732,0,0.0013690706235772088
EC_A-2_020,A-2_EC020,A-2 existing cluster 20,150.0,45,0.4,0,0.0,0.0,0.0,0,0.0
