agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_02096,CDZ,JER,300.1187696909356,315.3328153386559,completed,0,0.0,0.0,0.0,35.49943984468075,5,49.097953184235074,40.80835245143808,0.0,
TRIP_03493,GIJ,OVI,318.3309816963093,332.7398499952901,completed,0,0.0,0.0,0.0,28.817736597961584,11,30.218272365432053,25.110195238389316,0.0,
TRIP_04171,BIL,VIT,307.11837406936496,332.8326597836507,completed,0,0.0,0.0,0.0,60.0,6,44.81511607394448,30.466496985061408,0.0,
TRIP_02014,JER,CDZ,301.3909244318742,334.3262944107313,completed,1,0.0,15.43536997885708,38.5884249471427,35.0,3,17.033383204845943,48.24888880892499,0.0,
TRIP_06882,JER,CDZ,319.93238592323235,335.14643157095264,completed,0,0.0,0.0,0.0,35.49943984468075,5,41.796176118348484,33.869685060128624,0.0,
TRIP_02102,CDZ,JER,321.00132600586835,336.21537165358865,completed,0,0.0,0.0,0.0,35.49943984468075,5,42.28578313512879,34.524667350825375,0.0,
TRIP_02062,JER,CDZ,319.0122533229495,336.5122533229495,completed,0,0.0,0.0,0.0,35.0,2,15.41520494713605,8.281438559953447,0.0,
TRIP_03498,GIJ,OVI,324.79194227959005,339.20081057857084,completed,0,0.0,0.0,0.0,28.817736597961584,11,47.22116414137608,41.33874231195696,0.0,
TRIP_07930,ACO,SCQ,312.6046637716853,341.1869824653992,completed,0,0.0,0.0,0.0,66.69207695199914,10,44.64482740697006,30.10578608305231,0.0,
TRIP_05517,OVI,GIJ,321.19761405187944,347.62502894877537,completed,1,0.0,12.018546597915108,24.037093195830217,28.817736597961584,11,25.3477351381338,43.51391519487281,0.0,
TRIP_08483,CAR,MUR,310.9428605754836,347.9879951591325,completed,1,0.0,15.47297881685857,15.472978816858571,50.335030122510716,6,40.34703970019173,44.32984276675408,0.0,
TRIP_04063,VIT,BIL,313.84188917139403,349.9138537337855,completed,1,0.0,9.37412426737152,9.37412426737152,62.29496068837983,12,39.21735165127328,35.419654783097805,0.0,
TRIP_00502,MAD,GUA,312.2060114359185,350.52927858149366,completed,1,0.0,9.639267784144813,19.278535568289627,57.36799872286067,23,38.929653924396035,46.79213776687135,0.0,
TRIP_00100,BUR,VIT,303.9492069099442,351.26284837205117,completed,0,0.0,0.0,0.0,110.3984967449162,8,47.85375633108234,21.532010290665717,0.0,
TRIP_02057,JER,CDZ,336.46958700563493,351.68363265335523,completed,0,0.0,0.0,0.0,35.49943984468075,5,41.26312971670406,33.142822298939336,0.0,
TRIP_08737,GIJ,OVI,338.6652864144164,353.0741547133972,completed,0,0.0,0.0,0.0,28.817736597961584,11,42.023527261541226,36.75120543237431,0.0,
TRIP_05638,GIJ,OVI,339.36906247002395,353.77793076900474,completed,0,0.0,0.0,0.0,28.817736597961584,11,40.91796152488714,35.59920810554373,0.0,
TRIP_08214,VIG,SCQ,315.5736145290132,354.42636320497996,completed,0,0.0,0.0,0.0,90.65641357725583,10,54.599806021686895,36.16824013151822,0.0,
TRIP_00152,VIT,BUR,307.44084102143006,354.754482483537,completed,0,0.0,0.0,0.0,110.3984967449162,8,48.11253070382191,21.994731355447595,0.0,
TRIP_05604,GIJ,OVI,341.2533505931211,355.6622188921019,completed,0,0.0,0.0,0.0,28.817736597961584,11,53.47636438826432,47.25218723222784,0.0,
TRIP_07940,SCQ,ACO,327.6795529458898,356.26187163960367,completed,0,0.0,0.0,0.0,66.69207695199914,10,45.85139744830275,31.794154731775997,0.0,
TRIP_00424,BIL,VIT,330.9442862382212,356.6585719525069,completed,0,0.0,0.0,0.0,60.0,6,36.72140467696106,23.010550412675506,0.0,
TRIP_00323,VIT,BIL,330.4589482021597,357.15678849717966,completed,0,0.0,0.0,0.0,62.29496068837983,12,42.06348591456142,28.044403003477818,0.0,
TRIP_05170,ALI,MUR,314.8260265349499,357.3260265349499,completed,0,0.0,0.0,0.0,85.0,5,38.67799196842658,23.46932642850362,0.0,
TRIP_00074,MAD,BIL,361.4746642181516,361.4746642181516,stranded,0,0.0,0.0,0.0,412.69345743329603,20,68.25,68.25,0.0,no_reachable_station
TRIP_02047,JER,CDZ,346.4532945394335,361.6673401871538,completed,0,0.0,0.0,0.0,35.49943984468075,5,48.89434204115798,40.756107678984435,0.0,
TRIP_04104,BIL,VIT,330.4114402788812,363.8276884813979,completed,1,0.0,7.70196248823102,17.329415598519795,60.0,6,37.49966511165026,42.255830946240174,0.0,
TRIP_09727,PMP,SSB,309.8660765247845,365.29251862398826,completed,1,0.0,15.039378067348789,25.065630112247984,80.77412806371004,11,33.51496716987106,43.712591564150124,0.0,
TRIP_01774,CRE,CDZ,366.44569889001644,366.44569889001644,stranded,0,0.0,0.0,0.0,491.01883690969817,19,45.9,45.9,0.0,no_reachable_station
TRIP_00778,LLE,TAR,310.2586951507266,366.44870584920943,completed,1,0.0,8.482699532688422,19.08607394854895,95.41462233158882,5,33.372324082678375,35.35762910216268,0.0,
TRIP_00895,BCN,TAR,326.5915440318666,367.3058297461523,completed,0,0.0,0.0,0.0,95.0,3,43.55842631753226,22.90977723634913,0.0,
TRIP_05589,OVI,GIJ,353.2455738804446,367.6544421794254,completed,0,0.0,0.0,0.0,28.817736597961584,11,40.10400339633895,34.307217558699655,0.0,
TRIP_08467,CAR,MUR,350.955701841639,372.5278576084293,completed,0,0.0,0.0,0.0,50.335030122510716,6,44.42486012123654,33.285571090183396,0.0,
TRIP_02939,PON,LEO,310.8415773454866,373.438593686735,completed,1,0.0,7.597016341248375,16.460202072704814,110.0,4,44.44991433318265,39.383864970409924,0.0,
TRIP_06581,BCN,TAR,307.48427797013335,374.2248012332078,completed,1,0.0,26.026237548788743,21.688531290657288,95.0,3,49.7251502636582,47.37609681048127,0.0,
