iteration,location_id,route,is_tent,cap,n_before,peak_queue,sessions,n_after
0,STA_0001,N-322,True,8,4,0,13,4
0,STA_0002,N-433,True,8,4,0,0,4
0,STA_0003,AP-2,True,8,4,703,462,8
0,STA_0004,A-23,True,8,4,136,402,8
0,STA_0005,N-435,False,8,2,0,0,2
0,STA_0006,N-621,False,8,2,0,3,2
0,STA_0007,N-502,False,8,2,1,47,2
0,STA_0008,AP-9,True,12,4,0,10,4
1,STA_0001,N-322,True,8,4,0,13,4
1,STA_0002,N-433,True,8,4,0,0,4
1,STA_0003,AP-2,True,8,8,552,801,8
1,STA_0004,A-23,True,8,8,53,677,8
1,STA_0005,N-435,False,8,2,0,0,2
1,STA_0006,N-621,False,8,2,0,3,2
1,STA_0007,N-502,False,8,2,1,47,2
1,STA_0008,AP-9,True,12,4,0,10,4
