od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
SEV→MAD,1366,89,0.0,0.06515373352855051,6.5
MAD→SEV,1326,0,0.0,0.0,0.0
MAD→BIL,1237,242,93.1890738281607,0.41875505254648343,19.6
BIL→MAD,1181,1181,0.026783343059722766,1.2260795935647757,100.0
MAD→BCN,1130,1039,0.0,3.8566371681415927,91.9
BCN→MAD,1059,238,640.0306154410353,1.1671388101983002,22.5
MUR→BCN,987,987,0.0010258739819164475,3.5329280648429586,100.0
BIL→ZAR,983,970,254.36956159339874,2.1119023397761953,98.7
BCN→MUR,946,935,29.88871207611957,3.6818181818181817,98.8
VLD→MAD,925,486,103.92332182650175,0.29081081081081084,52.5
ZAR→BIL,906,780,143.60052250352132,1.423841059602649,86.1
MAD→VLD,878,726,358.79218744661154,0.49544419134396356,82.7
MUR→MAL,856,278,156.76559808256897,1.2406542056074767,32.5
MAL→MUR,801,750,108.76913391323455,1.2284644194756553,93.6
MAD→VAL,762,762,0.0,2.248031496062992,100.0
VAL→MAD,702,702,0.37067269107530215,2.319088319088319,100.0
VIG→ACO,574,574,4.49112206330274,0.9407665505226481,100.0
ACO→VIG,504,504,48.69793019087399,1.0257936507936507,100.0
MAL→COR,487,431,211.63347477702644,0.7946611909650924,88.5
PAL→STD,478,478,74.13352199571554,1.0376569037656904,100.0
BIL→PMP,477,477,0.0,0.8930817610062893,100.0
STD→PAL,473,473,248.0537149720283,1.06553911205074,100.0
PMP→BIL,471,467,0.0,1.2123142250530785,99.2
COR→MAL,467,408,274.5590198683213,0.6745182012847966,87.4
VLD→SEV,423,419,1.5094655377001251,3.801418439716312,99.1
MAD→BUR,394,140,0.0,0.0,35.5
SEV→VLD,383,383,17.49318859726448,3.3159268929503916,100.0
BUR→MAD,368,144,0.0,0.0,39.1
MAL→GRN,351,272,467.7078885421032,0.5641025641025641,77.5
GRN→MAL,337,163,279.8335970090857,0.3264094955489614,48.4
ZAR→VAL,331,287,463.91517260869665,1.906344410876133,86.7
VAL→ZAR,330,330,84.26316274078918,1.9242424242424243,100.0
SEV→MUR,298,298,2.882026635715488,2.1946308724832213,100.0
MUR→SEV,297,287,8.894468868548527,2.367003367003367,96.6
MAL→ALI,245,245,0.0,1.8571428571428572,100.0
ALI→MAL,223,223,0.0,2.0896860986547083,100.0
PMP→ZAR,145,145,243.43285851459268,0.9793103448275862,100.0
BIL→SSB,127,127,0.0,0.7007874015748031,100.0
SSB→BIL,122,122,0.0,0.8278688524590164,100.0
ZAR→PMP,119,116,54.742226664469776,0.9159663865546218,97.5
HUE→SEV,102,102,23.16148994431224,0.4019607843137255,100.0
SEV→HUE,92,92,23.43942391649826,0.40217391304347827,100.0
ALB→COR,71,71,0.0,1.1549295774647887,100.0
SEV→BAD,68,68,0.16817633946630442,1.6911764705882353,100.0
BAD→SEV,61,61,0.05099575929534135,1.9344262295081966,100.0
COR→ALB,52,52,0.0,1.2692307692307692,100.0
AVL→COR,46,46,44.67163841106899,1.608695652173913,100.0
COR→AVL,39,39,225.1388948827004,1.205128205128205,100.0
