agent_id,station_id,node_id,sim_time_min,wait_time_min,charge_time_min,energy_kwh,soc_before_kwh,soc_after_kwh,price_per_kwh
TRIP_45155,STA_0008,STA_0008,209.8813115182948,0.0,21.010619823639686,52.52654955909922,8.994735507831681,61.5212850669309,0.4
TRIP_13084,EC_A-3_03,A-3_EC03,282.3477866612461,0.0,6.148043098219185,11.047283017504789,59.02271698249522,70.07000000000001,0.4
TRIP_12768,EC_A-3_03,A-3_EC03,282.5537785782368,0.0,10.657826918367723,16.311431960720398,28.688568039279602,45.0,0.4
TRIP_13655,EC_A-3_03,A-3_EC03,285.2792101902188,0.0,10.21776393915024,18.548431104106932,39.95156889589307,58.5,0.4
TRIP_13784,EC_A-3_03,A-3_EC03,287.4441524646543,0.0,12.879447755843342,25.561223204072178,45.278776795927826,70.84,0.4
TRIP_13290,EC_A-3_03,A-3_EC03,290.11041517414986,0.0,10.001116069216922,21.855292333549162,24.044707666450837,45.9,0.4
TRIP_25699,EC_A-67_02,A-67_EC02,300.8295637800534,0.0,7.807009137687306,15.614018275374612,29.76176639195792,45.37578466733253,0.4
TRIP_13115,EC_A-3_03,A-3_EC03,302.01633314334435,0.0,12.748621986333708,26.110152893908378,27.24984710609162,53.36,0.4
TRIP_13064,EC_A-3_03,A-3_EC03,309.3143515892806,0.0,0.5350531401175296,0.7266761238374002,45.1733238761626,45.9,0.4
TRIP_32986,EC_AP-46_00,AP-46_EC00,311.959163503084,0.0,29.86474172232508,23.406639607313913,22.493360392686085,45.9,0.4
TRIP_12909,EC_A-3_03,A-3_EC03,313.019838342781,0.0,3.9982497792682166,13.945918930782575,54.304081069217425,68.25,0.4
TRIP_02654,EC_AP-1_00,AP-1_EC00,315.3037864437043,0.0,5.491581772029587,22.669525363212273,39.88528544427278,62.554810807485055,0.4
TRIP_38697,EC_A-8_00,A-8_EC00,317.21512691906344,0.0,5.402337379106676,22.50973907961115,36.628144335490056,59.13788341510121,0.4
TRIP_47560,EC_A-7S_02,A-7S_EC02,318.24378404652816,0.0,13.806393630173337,29.997054752183395,21.14168132828936,51.13873608047275,0.4
TRIP_12123,EC_A-3_01,A-3_EC01,318.5746638485179,0.0,19.658733199833375,46.433377850081776,21.816622149918224,68.25,0.4
TRIP_02107,EC_AP-1_00,AP-1_EC00,319.093653787653,0.0,5.815630344993003,24.140517459604816,37.5587241681896,61.699241627794414,0.4
TRIP_11865,EC_A-3_02,A-3_EC02,320.0975730615828,0.0,4.777869211250844,19.419944988496077,44.37605214951337,63.79599713800945,0.4
TRIP_13103,EC_A-3_03,A-3_EC03,320.90773216788045,0.0,0.7380463601108342,0.8555666148390628,57.64443338516094,58.5,0.4
TRIP_25647,EC_A-67_02,A-67_EC02,320.9676324997397,0.0,8.445065447746167,16.890130895492334,28.652263967888118,45.54239486338045,0.4
TRIP_13163,EC_A-3_03,A-3_EC03,321.4531934277489,0.0,0.5223251479890325,0.7084074680947055,45.19159253190529,45.9,0.4
TRIP_11330,STA_0004,STA_0004,321.58123034623964,0.0,6.237802205001307,14.554871811669717,20.746440682885062,35.30131249455478,0.4
TRIP_33142,EC_A-92_03,A-92_EC03,321.7042734967059,0.0,10.069586101466902,16.782643502444834,25.813961559933652,42.59660506237849,0.4
TRIP_12834,EC_A-3_03,A-3_EC03,322.6507366161467,0.0,12.445627063615996,23.004157353038444,35.495842646961556,58.5,0.4
TRIP_03501,EC_AP-1_00,AP-1_EC00,325.4885090045074,0.0,6.006788843345534,24.891221503265832,37.17882982527223,62.070051328538064,0.4
TRIP_32985,EC_AP-46_00,AP-46_EC00,325.7885140139014,0.0,41.94490577026879,33.06699136769711,25.433008632302887,58.5,0.4
TRIP_13495,EC_A-3_03,A-3_EC03,326.1535692245099,0.0,7.509871922263198,16.042389323990474,29.857610676009525,45.9,0.4
TRIP_13304,EC_A-3_03,A-3_EC03,327.1178165895386,0.0,6.35343302857348,12.966612550542422,44.63338744945758,57.6,0.4
TRIP_26992,EC_AP-68_00,AP-68_EC00,327.88273466014687,0.0,15.243608592482595,33.339168220783094,33.530037365242265,66.86920558602536,0.4
TRIP_12989,EC_A-3_03,A-3_EC03,328.92337948530866,0.0,5.96818913108433,16.70747724809977,59.65252275190023,76.36,0.4
TRIP_10281,EC_A-23_01,A-23_EC01,329.0783483180833,0.0,32.0923874006666,31.682131712726196,22.734957934347975,54.41708964707417,0.4
TRIP_38092,EC_A-8_00,A-8_EC00,329.4389753675597,0.0,4.706317641483486,19.60965683951453,35.35279974470564,54.96245658422017,0.4
TRIP_47500,EC_A-7S_01,A-7S_EC01,329.94896088252386,0.0,20.19285791158262,40.38571582316524,5.850000000000001,46.23571582316524,0.4
TRIP_45415,STA_0008,STA_0008,330.5138418056085,0.0,13.845478363831308,27.690956727662616,15.839067943626574,43.53002467128919,0.4
TRIP_38331,EC_A-8_00,A-8_EC00,330.6175723119057,0.0,7.506333298648202,31.276388744367505,24.8961874462894,56.172576190656905,0.4
TRIP_38641,EC_A-8_00,A-8_EC00,331.019065746917,0.0,5.577864798205472,23.241103325856137,36.09028178154996,59.3313851074061,0.4
TRIP_38431,EC_A-8_00,A-8_EC00,331.13920169510425,0.0,3.42359177330937,7.98838080438853,27.607636294035625,35.596017098424156,0.4
TRIP_39677,EC_A-8_00,A-8_EC00,331.73811148721074,0.0,2.1430960602327667,5.000557473876455,31.132443241052307,36.13300071492876,0.4
TRIP_39026,EC_A-8_00,A-8_EC00,331.9856876620523,0.0,12.366348458035617,24.732696916071234,23.38890618062827,48.1216030966995,0.4
TRIP_31830,EC_AP-46_00,AP-46_EC00,335.24665634263863,0.0,31.205398788356213,24.552886087071037,20.447113912928963,45.0,0.4
TRIP_12821,EC_A-3_03,A-3_EC03,335.4609440306338,0.0,1.194984018269507,1.3190727446753954,53.88092725532461,55.2,0.4
TRIP_13479,EC_A-3_03,A-3_EC03,336.34039323900583,0.0,0.7594353277216008,0.8817373402930571,57.61826265970694,58.5,0.4
TRIP_13890,EC_A-3_03,A-3_EC03,336.4886949023705,0.0,0.7429722201657554,0.8615864675349698,57.63841353246503,58.5,0.4
TRIP_02519,EC_AP-1_00,AP-1_EC00,337.3362977748103,0.0,7.491785557834075,17.480832968279508,32.959461402290074,50.44029437056958,0.4
TRIP_12852,EC_A-3_03,A-3_EC03,337.76481093915265,0.0,8.046051828998815,15.317802661758954,54.752197338241054,70.07000000000001,0.4
TRIP_12925,EC_A-3_03,A-3_EC03,338.18896748281844,0.0,11.110774819835308,37.95369371924109,32.11630628075892,70.07000000000001,0.4
TRIP_13168,EC_A-3_03,A-3_EC03,338.4845570969775,0.0,12.475693582088574,24.65277631312395,46.18722368687605,70.84,0.4
TRIP_48297,EC_A-7S_01,A-7S_EC01,338.6323879987485,0.0,6.917540500084946,26.863115608663207,32.635479995089035,59.49859560375224,0.4
TRIP_13984,EC_A-3_03,A-3_EC03,338.74862713524334,0.0,13.07225150489185,24.257406235590153,34.24259376440985,58.5,0.4
TRIP_13448,EC_A-3_03,A-3_EC03,339.1903945187414,0.0,0.9290923542649036,1.3184325271517636,44.581567472848235,45.9,0.4
TRIP_38869,EC_A-8_00,A-8_EC00,340.5852456693163,0.0,9.487222132949857,21.346249799137176,24.80005940045678,46.14630919959396,0.4
