od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
MAD→BCN,3308,0,0.0,0.0,0.0
SEV→MAD,2345,0,0.0,0.0,0.0
MAD→SEV,2313,0,0.0,0.0,0.0
BCN→MUR,2130,0,0.0,0.0,0.0
MUR→BCN,2100,0,0.0,0.0,0.0
MAD→BIL,2029,880,67.9205448810675,0.43371118777723017,43.4
MUR→MAL,1911,1805,241.7969378246163,0.9351125065410779,94.5
MAL→MUR,1889,1889,211.98482195503317,1.0164107993647433,100.0
VLD→SEV,1707,44,0.0,0.025776215582893967,2.6
PMP→BIL,1665,1601,0.0,0.0948948948948949,96.2
BIL→PMP,1657,1657,0.0,0.13095956547978274,100.0
SEV→VLD,1389,1325,0.1429737880513059,0.9539236861051116,95.4
BIL→MAD,1296,1296,119.5772460856351,1.0740740740740742,100.0
VAL→MAD,1262,1262,0.0,1.0309033280507132,100.0
VLD→MAD,1239,1174,0.0,0.0,94.8
MAD→VLD,1237,1173,0.0,0.0,94.8
MAD→VAL,1212,1212,0.0,1.0552805280528053,100.0
ALI→MAL,1172,1128,0.0,0.7158703071672355,96.2
MAL→ALI,1133,1133,0.0,0.7784642541924095,100.0
ZAR→BIL,1086,1081,0.5139073703933114,1.1086556169429098,99.5
BIL→ZAR,1011,1011,0.695142309708833,1.1137487636003955,100.0
BUR→MAD,733,557,0.0,0.0,76.0
MAD→BUR,678,515,0.0,0.0,76.0
ZAR→VAL,677,677,58.630705396644956,0.8286558345642541,100.0
ACO→VIG,609,609,0.8032652429507365,0.180623973727422,100.0
VIG→ACO,591,589,0.014904946243294095,0.15228426395939088,99.7
VAL→ZAR,528,528,100.47020453019174,0.6893939393939394,100.0
COR→MAL,437,437,0.004534042690004096,0.16247139588100687,100.0
STD→PAL,431,431,0.0,0.22273781902552203,100.0
PAL→STD,420,420,0.0,0.2,100.0
MAL→COR,415,415,0.15396981148236213,0.1614457831325301,100.0
MUR→SEV,246,237,36.76093316547925,1.0853658536585367,96.3
SEV→MUR,156,156,313.6382741392874,1.2307692307692308,100.0
COR→ALB,131,128,0.8908144337622032,0.7099236641221374,97.7
ALB→COR,127,127,0.0,0.7165354330708661,100.0
GRN→MAL,52,49,27.025068245685667,0.057692307692307696,94.2
MAL→GRN,48,48,1.3956003804718204,0.020833333333333332,100.0
BCN→MAD,43,15,3.971525633112032,0.3488372093023256,34.9
SEV→BAD,38,38,0.06807911621571723,0.5789473684210527,100.0
BAD→SEV,31,30,0.0,0.5161290322580645,96.8
AVL→COR,18,18,0.0005739386247114453,0.8888888888888888,100.0
HUE→SEV,18,18,0.0,0.0,100.0
COR→AVL,16,15,33.54202902902433,0.9375,93.8
SEV→HUE,12,12,0.0,0.0,100.0
