station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_00,AP-2_EC00,AP-2 existing cluster 0,60.0,7,0.4,133,6762.180242570129,30914.706063957216,7066.640493449879,75,0.7010556045089166
EC_AP-2_01,AP-2_EC01,AP-2 existing cluster 1,60.0,4,0.4,90,3924.425038930814,39524.16864410569,4122.356936993393,630,0.7156869682280196
EC_AP-2_02,AP-2_EC02,AP-2 existing cluster 2,22.0,6,0.4,40,2092.433378329388,13806.39842881488,5943.420169807096,85,0.6878958529869323
EC_AP-2_03,AP-2_EC03,AP-2 existing cluster 3,50.0,6,0.4,81,4272.245341274509,6649.955251591435,5345.980305204896,19,0.6187477205098258
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,186,9011.375557097916,80309.43427191727,4055.64553529315,2243,0.7041051276550607
EC_A-2_00,A-2_EC00,A-2 existing cluster 0,350.0,411,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_01,A-2_EC01,A-2 existing cluster 1,360.0,320,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_02,A-2_EC02,A-2 existing cluster 2,350.0,358,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_03,A-2_EC03,A-2 existing cluster 3,350.0,365,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_00,A-7_EC00,A-7 existing cluster 0,250.0,167,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_01,A-7_EC01,A-7 existing cluster 1,150.0,137,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_02,A-7_EC02,A-7 existing cluster 2,1000.0,193,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_03,A-7_EC03,A-7 existing cluster 3,350.0,213,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7S_00,A-7S_EC00,A-7S existing cluster 0,320.0,155,0.4,12,566.3284002037135,0.0,184.91703690320665,0,0.0008284813481326462
EC_A-7S_01,A-7S_EC01,A-7S existing cluster 1,350.0,174,0.4,1274,31847.19059581933,0.0,12349.965507943603,0,0.0492894536555859
EC_A-7S_02,A-7S_EC02,A-7S existing cluster 2,250.0,165,0.4,446,18693.620341854054,0.0,7245.809464990223,0,0.030495831081608683
