agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur
TRIP_29302,MUR,BCN,208.88767225295143,208.88767225295143,stranded,0,0.0,0.0,0.0,570.0,6,58.5,58.5,0.0
TRIP_24830,VLD,SEV,224.46122654515221,224.46122654515221,stranded,0,0.0,0.0,0.0,595.0,4,58.5,58.5,0.0
TRIP_28335,BCN,MUR,225.47777831695473,225.47777831695473,stranded,0,0.0,0.0,0.0,570.0,6,76.36,76.36,0.0
TRIP_16015,MAD,SEV,228.43511950407208,228.43511950407208,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0
TRIP_49517,VLD,SEV,229.72734317133055,229.72734317133055,stranded,0,0.0,0.0,0.0,595.0,4,58.5,58.5,0.0
TRIP_31023,MUR,BCN,237.08956258881062,237.08956258881062,stranded,0,0.0,0.0,0.0,570.0,6,58.5,58.5,0.0
TRIP_43467,MAD,SEV,240.28802050593558,240.28802050593558,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0
TRIP_45155,ACO,VIG,141.7584651022339,240.4668595393668,completed,1,0.0,21.010619823639686,52.52654955909922,155.39554922698647,8,28.070144844153038,49.13741169739,0.0
TRIP_15797,MAD,SEV,245.08501230735678,245.08501230735678,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0
TRIP_05214,MAD,BCN,246.55786571525445,246.55786571525445,stranded,0,0.0,0.0,0.0,655.0,10,58.5,58.5,0.0
TRIP_16220,SEV,MAD,247.87935060470926,247.87935060470926,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0
TRIP_30866,MUR,BCN,249.68508615049643,249.68508615049643,stranded,0,0.0,0.0,0.0,570.0,6,57.6,57.6,0.0
TRIP_15805,MAD,SEV,250.92983239825992,250.92983239825992,stranded,0,0.0,0.0,0.0,540.0,3,45.9,45.9,0.0
TRIP_14719,MAD,SEV,252.30171267897916,252.30171267897916,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0
TRIP_05698,MAD,BCN,252.36521899299063,252.36521899299063,stranded,0,0.0,0.0,0.0,655.0,10,58.5,58.5,0.0
TRIP_30830,MUR,BCN,252.70596087200877,252.70596087200877,stranded,0,0.0,0.0,0.0,570.0,6,58.5,58.5,0.0
TRIP_36751,MUR,MAL,255.89571067113587,255.89571067113587,stranded,0,0.0,0.0,0.0,355.3814786779781,6,36.68797994909165,36.68797994909165,0.0
