edge_id,from_node,to_node,distance_km,travel_time_min,road_type,speed_limit_kmh,slope_grade
E000,MAD,WPT_A2_CTR,150.0,82.0,AP,109.7560975609756,0.2
E000_rev,WPT_A2_CTR,MAD,150.0,82.0,AP,109.7560975609756,-0.2
E001,WPT_A2_CTR,ZAR,150.0,83.0,AP,108.43373493975903,0.1
E001_rev,ZAR,WPT_A2_CTR,150.0,83.0,AP,108.43373493975903,-0.1
E002,ZAR,LLE,150.0,85.0,AP,105.88235294117646,0.1
E002_rev,LLE,ZAR,150.0,85.0,AP,105.88235294117646,-0.1
E003,LLE,TAR,95.0,55.0,AP,103.63636363636364,-0.1
E003_rev,TAR,LLE,95.0,55.0,AP,103.63636363636364,0.1
E004,TAR,BCN,95.0,55.0,AP,103.63636363636364,-0.2
E004_rev,BCN,TAR,95.0,55.0,AP,103.63636363636364,0.2
E005,BCN,TAR,95.0,55.0,AP,103.63636363636364,0.0
E005_rev,TAR,BCN,95.0,55.0,AP,103.63636363636364,-0.0
E006,TAR,CAS,150.0,90.0,AP,100.0,-0.1
E006_rev,CAS,TAR,150.0,90.0,AP,100.0,0.1
E007,CAS,VAL,75.0,45.0,AP,100.0,-0.1
E007_rev,VAL,CAS,75.0,45.0,AP,100.0,0.1
E008,VAL,ALI,165.0,95.0,AP,104.21052631578948,-0.1
E008_rev,ALI,VAL,165.0,95.0,AP,104.21052631578948,0.1
E009,ALI,MUR,85.0,50.0,AP,102.0,0.0
E009_rev,MUR,ALI,85.0,50.0,AP,102.0,-0.0
E010,MAD,WPT_A3_MID,100.0,60.0,A,100.0,0.1
E010_rev,WPT_A3_MID,MAD,100.0,60.0,A,100.0,-0.1
E011,WPT_A3_MID,WPT_MAD_VAL,100.0,60.0,A,100.0,0.0
E011_rev,WPT_MAD_VAL,WPT_A3_MID,100.0,60.0,A,100.0,-0.0
E012,WPT_MAD_VAL,ALB,100.0,65.0,A,92.30769230769232,0.0
E012_rev,ALB,WPT_MAD_VAL,100.0,65.0,A,92.30769230769232,-0.0
E013,ALB,VAL,180.0,105.0,A,102.85714285714286,-0.1
E013_rev,VAL,ALB,180.0,105.0,A,102.85714285714286,0.1
E014,MAD,WPT_A4_CTR,160.0,97.0,AP,98.96907216494846,0.0
E014_rev,WPT_A4_CTR,MAD,160.0,97.0,AP,98.96907216494846,-0.0
E015,WPT_A4_CTR,WPT_MAD_SEV,160.0,98.0,AP,97.95918367346938,0.0
E015_rev,WPT_MAD_SEV,WPT_A4_CTR,160.0,98.0,AP,97.95918367346938,-0.0
E016,WPT_MAD_SEV,COR,150.0,90.0,AP,100.0,-0.1
E016_rev,COR,WPT_MAD_SEV,150.0,90.0,AP,100.0,0.1
E017,COR,SEV,140.0,80.0,AP,105.0,-0.2
E017_rev,SEV,COR,140.0,80.0,AP,105.0,0.2
E018,SEV,WPT_SEV_MAL,100.0,65.0,AP,92.30769230769232,0.2
E018_rev,WPT_SEV_MAL,SEV,100.0,65.0,AP,92.30769230769232,-0.2
E019,WPT_SEV_MAL,MAL,100.0,65.0,AP,92.30769230769232,0.3
E019_rev,MAL,WPT_SEV_MAL,100.0,65.0,AP,92.30769230769232,-0.3
E020,MAL,GRN,130.0,85.0,A,91.76470588235294,0.5
E020_rev,GRN,MAL,130.0,85.0,A,91.76470588235294,-0.5
E021,MUR,GRN,225.0,140.0,A,96.42857142857142,0.3
E021_rev,GRN,MUR,225.0,140.0,A,96.42857142857142,-0.3
E022,MAD,WPT_A1_MID,100.0,58.0,AP,103.44827586206897,0.3
E022_rev,WPT_A1_MID,MAD,100.0,58.0,AP,103.44827586206897,-0.3
E023,WPT_A1_MID,WPT_MAD_BIL,100.0,57.0,AP,105.26315789473685,0.2
E023_rev,WPT_MAD_BIL,WPT_A1_MID,100.0,57.0,AP,105.26315789473685,-0.2
E024,WPT_MAD_BIL,BUR,140.0,80.0,AP,105.0,0.1
E024_rev,BUR,WPT_MAD_BIL,140.0,80.0,AP,105.0,-0.1
E025,BUR,VIT,110.0,65.0,AP,101.53846153846155,0.0
E025_rev,VIT,BUR,110.0,65.0,AP,101.53846153846155,-0.0
E026,VIT,BIL,60.0,40.0,AP,90.0,-0.1
E026_rev,BIL,VIT,60.0,40.0,AP,90.0,0.1
E027,BIL,SAN,95.0,65.0,AP,87.6923076923077,0.1
E027_rev,SAN,BIL,95.0,65.0,AP,87.6923076923077,-0.1
E028,MAD,VLD,190.0,110.0,A,103.63636363636364,0.1
E028_rev,VLD,MAD,190.0,110.0,A,103.63636363636364,-0.1
E029,VLD,BUR,120.0,75.0,A,96.0,0.1
E029_rev,BUR,VLD,120.0,75.0,A,96.0,-0.1
E030,VIT,PMP,95.0,60.0,A,95.0,0.1
E030_rev,PMP,VIT,95.0,60.0,A,95.0,-0.1
E031,PMP,SAN,80.0,55.0,A,87.27272727272728,0.2
E031_rev,SAN,PMP,80.0,55.0,A,87.27272727272728,-0.2
E032,ZAR,PMP,170.0,100.0,A,102.0,0.2
E032_rev,PMP,ZAR,170.0,100.0,A,102.0,-0.2
E033,ZAR,BUR,290.0,175.0,A,99.42857142857143,0.1
E033_rev,BUR,ZAR,290.0,175.0,A,99.42857142857143,-0.1
E034,WPT_CAS_ZAR,ZAR,110.0,65.0,AP,101.53846153846155,0.0
E034_rev,ZAR,WPT_CAS_ZAR,110.0,65.0,AP,101.53846153846155,-0.0
E035,TAR,WPT_CAS_ZAR,65.0,40.0,AP,97.5,0.0
E035_rev,WPT_CAS_ZAR,TAR,65.0,40.0,AP,97.5,-0.0
