node_id,name,latitude,longitude,node_type,population
MAD,Madrid,40.42,-3.7,city,3300000
BCN,Barcelona,41.38,2.18,city,1600000
VAL,Valencia,39.47,-0.38,city,800000
SEV,Sevilla,37.39,-5.99,city,690000
BIL,Bilbao,43.26,-2.93,city,350000
ZAR,Zaragoza,41.65,-0.88,city,670000
MAL,Málaga,36.72,-4.42,city,570000
MUR,Murcia,37.98,-1.13,city,450000
VLD,Valladolid,41.65,-4.72,city,300000
ALI,Alicante,38.35,-0.49,city,330000
GRN,Granada,37.18,-3.6,city,230000
COR,Córdoba,37.89,-4.78,city,325000
BUR,Burgos,42.34,-3.7,city,180000
PMP,Pamplona,42.82,-1.64,city,200000
SAN,San Sebastián,43.32,-1.98,city,185000
VIT,Vitoria,42.85,-2.67,city,250000
LLE,Lleida,41.62,0.62,city,140000
TAR,Tarragona,41.12,1.25,city,135000
CAS,Castellón,39.99,-0.05,city,170000
ALB,Albacete,38.99,-1.86,city,175000
WPT_CAS_ZAR,Cambrils–Zaragoza WP,41.2,0.95,junction,0
WPT_MAD_VAL,Madrid–Valencia WP,39.85,-1.8,junction,0
WPT_MAD_SEV,Madrid–Sevilla WP,38.5,-5.0,junction,0
WPT_SEV_MAL,Sevilla–Málaga WP,36.9,-5.0,junction,0
WPT_MAD_BIL,Madrid–Bilbao WP,42.0,-3.5,junction,0
WPT_A2_CTR,A-2 Centro (Guadalajara),40.63,-2.4,junction,0
WPT_A4_CTR,A-4 Centro (Manzanares),39.0,-3.85,junction,0
WPT_A3_MID,A-3 Centro (Tarancón),40.01,-3.01,junction,0
WPT_A1_MID,A-1 Centro (Lerma),41.67,-3.69,junction,0
