origin,destination,daily_bev_trips,purpose
MAD,BCN,400.0,leisure
BCN,MAD,400.0,leisure
MAD,ZAR,250.0,business
ZAR,MAD,250.0,business
ZAR,BCN,200.0,leisure
BCN,ZAR,200.0,leisure
MAD,VAL,300.0,leisure
VAL,MAD,300.0,leisure
BCN,VAL,150.0,leisure
VAL,BCN,150.0,leisure
MAD,SEV,200.0,leisure
SEV,MAD,200.0,leisure
MAD,MAL,150.0,leisure
MAL,MAD,150.0,leisure
SEV,MAL,75.0,leisure
MAL,SEV,75.0,leisure
MAD,BIL,150.0,business
BIL,MAD,150.0,business
MAD,VLD,100.0,business
VLD,MAD,100.0,business
VAL,ALI,120.0,leisure
ALI,VAL,120.0,leisure
VAL,MUR,80.0,leisure
MUR,VAL,80.0,leisure
MAD,COR,100.0,leisure
COR,MAD,100.0,leisure
BCN,ZAR,150.0,business
ZAR,BIL,80.0,business
BIL,ZAR,80.0,business
