station_id,node_id,name,latitude,longitude,max_power_kw,num_connectors,price_per_kwh,reliability
STA_MAD_N,MAD,Madrid Norte HPC,40.42,-3.7,150.0,8,0.39,0.97
STA_MAD_S,MAD,Madrid Sur HPC,40.42,-3.7,150.0,6,0.39,0.97
STA_BCN_S,BCN,Barcelona Sud HPC,41.38,2.18,150.0,8,0.41,0.96
STA_ZAR_E,ZAR,Zaragoza Est HPC,41.65,-0.88,150.0,4,0.38,0.95
STA_ZAR_W,ZAR,Zaragoza Oste HPC,41.65,-0.88,150.0,4,0.38,0.95
STA_VAL_N,VAL,Valencia Nord HPC,39.47,-0.38,150.0,6,0.4,0.96
STA_SEV_N,SEV,Sevilla Norte HPC,37.39,-5.99,150.0,6,0.38,0.95
STA_BIL_W,BIL,Bilbao Oeste HPC,43.26,-2.93,150.0,4,0.43,0.93
STA_MAL_E,MAL,Málaga Este HPC,36.72,-4.42,150.0,4,0.4,0.94
STA_ALI_N,ALI,Alicante Nord HPC,38.35,-0.49,50.0,2,0.42,0.93
STA_MUR_N,MUR,Murcia Norte HPC,37.98,-1.13,50.0,2,0.42,0.93
STA_COR_E,COR,Córdoba Este HPC,37.89,-4.78,150.0,4,0.37,0.95
STA_BUR_S,BUR,Burgos Sur HPC,42.34,-3.7,150.0,4,0.39,0.94
STA_VIT_E,VIT,Vitoria Este HPC,42.85,-2.67,50.0,2,0.43,0.92
STA_PMP_W,PMP,Pamplona Oeste HPC,42.82,-1.64,50.0,2,0.41,0.92
STA_LLE_E,LLE,Lleida Est HPC,41.62,0.62,150.0,4,0.38,0.95
STA_TAR_N,TAR,Tarragona Nord HPC,41.12,1.25,150.0,4,0.38,0.95
STA_CAS_S,CAS,Castellón Sud HPC,39.99,-0.05,50.0,2,0.4,0.93
STA_ALB_W,ALB,Albacete Oeste HPC,38.99,-1.86,50.0,2,0.41,0.93
STA_VLD_S,VLD,Valladolid Sur HPC,41.65,-4.72,50.0,2,0.4,0.93
STA_WP_MS,WPT_MAD_SEV,A-4 Waypoint HPC,38.5,-5.0,150.0,2,0.37,0.94
STA_WP_MB,WPT_MAD_BIL,A-1 Waypoint HPC,42.0,-3.5,150.0,2,0.39,0.93
STA_A2_CTR,WPT_A2_CTR,A-2 Centro HPC,40.63,-2.4,150.0,2,0.39,0.94
STA_A4_CTR,WPT_A4_CTR,A-4 Centro HPC,39.0,-3.85,150.0,2,0.38,0.94
STA_A3_MID,WPT_A3_MID,A-3 Tarancón HPC,40.01,-3.01,150.0,2,0.39,0.93
STA_A3_VAL,WPT_MAD_VAL,A-3 Cuenca HPC,39.85,-1.8,150.0,2,0.39,0.93
STA_A1_MID,WPT_A1_MID,A-1 Lerma HPC,41.67,-3.69,150.0,2,0.4,0.93
STA_SEV_MAL,WPT_SEV_MAL,AP-4 Estepona HPC,36.9,-5.0,150.0,2,0.38,0.93
