station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_00,AP-2_EC00,AP-2 existing cluster 0,350.0,124,0.4,28,1039.4562285717589,0.0,475.897662852878,0,0.001332598742307566
EC_AP-2_01,AP-2_EC01,AP-2 existing cluster 1,360.0,102,0.4,8,305.18903338778637,0.0,128.00605886444717,0,0.0004357504727139405
EC_AP-2_02,AP-2_EC02,AP-2 existing cluster 2,320.0,85,0.4,15,479.17036779092575,0.0,270.6066262270197,0,0.0011054192247835772
EC_AP-2_03,AP-2_EC03,AP-2 existing cluster 3,200.0,91,0.4,1,31.41099504766716,0.0,18.846597028600296,0,7.19116186988717e-05
EC_AP-2_04,AP-2_EC04,AP-2 existing cluster 4,150.0,89,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_05,AP-2_EC05,AP-2 existing cluster 5,300.0,88,0.4,294,6490.151257297985,0.0,2750.014230219441,0,0.010850750592721909
EC_AP-2_06,AP-2_EC06,AP-2 existing cluster 6,180.0,79,0.4,3,135.38227110019193,0.0,54.6254550109917,0,0.00024009078327615903
EC_AP-2_07,AP-2_EC07,AP-2 existing cluster 7,150.0,80,0.4,50,1692.7548995049242,0.0,814.0055394281919,0,0.003533010153768194
EC_AP-2_08,AP-2_EC08,AP-2 existing cluster 8,350.0,90,0.4,1308,33937.513561880674,0.0,13518.468691450107,0,0.05215458600096492
EC_AP-2_09,AP-2_EC09,AP-2 existing cluster 9,300.0,121,0.4,1284,25917.112649189738,0.0,10887.528645850274,0,0.03124290818942342
EC_AP-2_10,AP-2_EC10,AP-2 existing cluster 10,350.0,96,0.4,746,21732.08145816565,0.0,7821.941726440604,0,0.02829116654528575
EC_AP-2_11,AP-2_EC11,AP-2 existing cluster 11,350.0,75,0.4,495,12734.587908230682,0.0,6080.587373712672,0,0.028150867470892002
EC_AP-2_12,AP-2_EC12,AP-2 existing cluster 12,240.0,80,0.4,421,10522.730112690542,0.0,4614.0274562087125,0,0.020026160834239203
EC_AP-2_13,AP-2_EC13,AP-2 existing cluster 13,150.0,83,0.4,71,2734.39517929219,0.0,1292.5627901989292,0,0.005407307522585882
EC_AP-2_14,AP-2_EC14,AP-2 existing cluster 14,350.0,90,0.4,64,2543.174047421845,0.0,1237.183543062343,0,0.004773084656876324
EC_AP-2_15,AP-2_EC15,AP-2 existing cluster 15,300.0,104,0.4,2,77.1120290921505,0.0,38.58890564516297,0,0.00012883582280035714
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,392,7685.273504551403,1454.6062627915878,3707.539978685592,7,0.3218350675942354
EC_A-2_00,A-2_EC00,A-2 existing cluster 0,350.0,124,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_01,A-2_EC01,A-2 existing cluster 1,360.0,102,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_02,A-2_EC02,A-2 existing cluster 2,320.0,85,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_03,A-2_EC03,A-2 existing cluster 3,200.0,91,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_04,A-2_EC04,A-2 existing cluster 4,150.0,89,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_05,A-2_EC05,A-2 existing cluster 5,300.0,88,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_06,A-2_EC06,A-2 existing cluster 6,180.0,79,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_07,A-2_EC07,A-2 existing cluster 7,150.0,80,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_08,A-2_EC08,A-2 existing cluster 8,350.0,90,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_09,A-2_EC09,A-2 existing cluster 9,300.0,121,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_10,A-2_EC10,A-2 existing cluster 10,350.0,96,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_11,A-2_EC11,A-2 existing cluster 11,350.0,75,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_12,A-2_EC12,A-2 existing cluster 12,240.0,80,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_13,A-2_EC13,A-2 existing cluster 13,150.0,83,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_14,A-2_EC14,A-2 existing cluster 14,350.0,90,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_15,A-2_EC15,A-2 existing cluster 15,300.0,104,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_00,AP-7_EC00,AP-7 existing cluster 0,320.0,139,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_01,AP-7_EC01,AP-7 existing cluster 1,350.0,169,0.4,342,7920.66065218652,0.0,3408.118094822906,0,0.007002215020592756
EC_AP-7_02,AP-7_EC02,AP-7 existing cluster 2,150.0,162,0.4,509,12582.055780935578,0.0,5498.848270371876,0,0.011785940222847815
EC_AP-7_03,AP-7_EC03,AP-7 existing cluster 3,1000.0,189,0.4,68,2500.9386453387006,0.0,1061.7835768130683,0,0.0019506605982015511
EC_AP-7_04,AP-7_EC04,AP-7 existing cluster 4,350.0,179,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_05,AP-7_EC05,AP-7 existing cluster 5,300.0,186,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_06,AP-7_EC06,AP-7 existing cluster 6,250.0,156,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_07,AP-7_EC07,AP-7 existing cluster 7,250.0,145,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_08,AP-7_EC08,AP-7 existing cluster 8,150.0,139,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_09,AP-7_EC09,AP-7 existing cluster 9,320.0,144,0.4,0,0.0,0.0,0.0,0,0.0
