agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur
TRIP_03837,MAD,VLD,310.8415773454866,310.8415773454866,stranded,0,0.0,0.0,0.0,190.0,2,37.666256770264155,37.666256770264155,0.0
TRIP_09758,HUE,SEV,323.487859818565,385.73942997461035,completed,0,0.0,0.0,0.0,93.37735523406795,10,39.02153568121584,23.379403913078413,0.0
TRIP_09112,VIG,ACO,315.5736145290132,393.74149244492645,completed,0,0.0,0.0,0.0,156.3357558318265,20,41.39121064208067,10.13465581155868,0.0
TRIP_09119,VIG,ACO,319.4203605630046,397.58823847891784,completed,0,0.0,0.0,0.0,156.3357558318265,20,44.03966401876108,12.385301233395761,0.0
TRIP_07874,BIL,PMP,301.94182002431154,410.18597193131507,completed,0,0.0,0.0,0.0,180.4069198450058,19,41.050939252511654,12.791735246614607,0.0
TRIP_03861,MAD,VLD,414.5072667908361,414.5072667908361,stranded,0,0.0,0.0,0.0,190.0,2,33.670595318939924,33.670595318939924,0.0
TRIP_05069,PAL,STD,307.11837406936496,424.72953657715925,completed,0,0.0,0.0,0.0,196.0186041796571,18,55.43857829456887,24.758934317507826,0.0
TRIP_05118,PAL,STD,307.3856177753838,424.9967802831781,completed,0,0.0,0.0,0.0,196.0186041796571,18,40.09954055689578,7.389572738517245,0.0
TRIP_04323,MAD,BUR,303.4179883349952,428.7911143029492,completed,1,0.0,5.132097877069188,11.547220223405674,240.48205618176968,11,42.920274267643784,11.681855215053304,0.0
TRIP_03685,COR,MAL,319.1367027959406,431.12966712105555,completed,0,0.0,0.0,0.0,186.65494054185825,15,38.317750507519136,10.75008923145593,0.0
TRIP_04226,VLD,MAD,317.28345597481706,431.28345597481706,completed,0,0.0,0.0,0.0,190.0,2,46.36379379121549,13.273778435906245,0.0
TRIP_05192,STD,PAL,318.0047984337733,435.61596094156755,completed,0,0.0,0.0,0.0,196.0186041796571,18,54.44824777565479,18.0906012002334,0.0
