od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
MAD→BCN,3308,3308,3.6168557236483863,3.3851269649334945,100.0
BCN→MAD,3120,3120,9.562435834344551,3.3362179487179486,100.0
MAL→MUR,2887,2887,347.1427780287438,1.027364045722203,100.0
MUR→MAL,2761,2711,623.0683628350989,1.0079681274900398,98.2
MAD→BIL,2365,2365,1.4236350819797146,1.7251585623678647,100.0
SEV→MAD,2345,2345,0.008105483858489384,2.744136460554371,100.0
MAD→SEV,2313,2313,0.0037869937530419476,2.6990920881971467,100.0
BIL→MAD,2223,2223,1.2920949847265923,1.9743589743589745,100.0
BCN→MUR,2130,2130,0.0,2.983568075117371,100.0
MUR→BCN,2100,2100,0.0,3.0895238095238096,100.0
PMP→BIL,1666,1664,0.0,0.14285714285714285,99.9
BIL→PMP,1657,1657,0.0,0.140012070006035,100.0
VLD→SEV,1469,1468,639.8220398681319,1.733151803948264,99.9
VAL→MAD,1345,1345,0.016494086251442937,1.6602230483271376,100.0
MAD→VAL,1312,1312,0.012587242835975189,1.6646341463414633,100.0
VLD→MAD,1239,1176,0.0,0.0,94.9
MAD→VLD,1237,1180,0.0,0.0,95.4
ALI→MAL,1199,1199,0.0,0.8832360300250208,100.0
MAL→ALI,1154,1154,0.0,0.9055459272097054,100.0
ZAR→BIL,1111,1111,6.491476826924929,1.216921692169217,100.0
SEV→VLD,1047,1045,641.0417705530067,1.8471824259789875,99.8
BIL→ZAR,1025,1025,7.5418941155645465,1.1960975609756097,100.0
ZAR→VAL,792,792,20.543458874689943,0.9595959595959596,100.0
BUR→MAD,733,733,0.924723178791295,1.3615279672578444,100.0
VAL→ZAR,725,725,83.4546004624296,0.8386206896551724,100.0
MAD→BUR,678,678,0.9599469341851706,0.9513274336283186,100.0
ACO→VIG,590,590,23.32901971292146,0.14915254237288136,100.0
VIG→ACO,590,590,2.627054621717849,0.15593220338983052,100.0
COR→MAL,437,437,34.194634658183126,0.21052631578947367,100.0
STD→PAL,431,431,1.3383724091209692,0.24129930394431554,100.0
PAL→STD,420,420,0.12052204668297713,0.17857142857142858,100.0
MAL→COR,416,416,4.886632345949088,0.15384615384615385,100.0
MUR→SEV,295,291,93.36967199365183,1.4542372881355932,98.6
SEV→MUR,285,285,190.98427314404844,1.687719298245614,100.0
COR→ALB,138,135,0.02125812855177114,0.717391304347826,97.8
ALB→COR,136,136,0.0,0.7647058823529411,100.0
GRN→MAL,56,54,0.0,0.017857142857142856,96.4
MAL→GRN,47,47,0.0,0.0,100.0
SEV→BAD,38,38,0.3250038027575275,0.5789473684210527,100.0
BAD→SEV,31,31,0.29946134100406463,0.4838709677419355,100.0
AVL→COR,18,17,2.871298110875494,0.9444444444444444,94.4
COR→AVL,18,18,11.843221426462422,1.0555555555555556,100.0
HUE→SEV,18,18,0.0,0.0,100.0
SEV→HUE,12,12,0.0,0.0,100.0
