od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
SEV→MAD,1454,1454,0.07362191359258685,3.1801925722145805,100.0
MAD→SEV,1412,1412,0.0015916196630103567,3.046742209631728,100.0
MAD→BIL,1318,1318,0.0,1.487101669195751,100.0
BIL→MAD,1262,1262,0.0,1.746434231378764,100.0
MAD→BCN,1219,1219,0.031027472961032698,3.605414273995078,100.0
BCN→MAD,1128,1128,1.953840522659372,4.4370567375886525,100.0
MUR→BCN,1052,1052,0.0,3.193916349809886,100.0
BCN→MUR,1010,1010,0.1485435600167021,2.874257425742574,100.0
BIL→ZAR,971,971,0.0,1.3511843460350155,100.0
ZAR→BIL,957,957,0.0,1.2173458725182864,100.0
MUR→MAL,913,858,41.80557543953058,1.1347207009857612,94.0
MAD→VAL,814,814,0.0,1.8599508599508598,100.0
MAL→MUR,809,809,141.1065346741382,1.1977750309023485,100.0
VAL→MAD,750,750,0.0,1.832,100.0
ACO→VIG,582,582,0.5683269896123324,0.32646048109965636,100.0
VIG→ACO,573,571,0.2748206157031458,0.3368237347294939,99.7
MAL→COR,521,521,3.004011065429858,0.4510556621880998,100.0
BIL→PMP,508,508,0.0,0.3956692913385827,100.0
PAL→STD,504,504,0.0,0.49404761904761907,100.0
PMP→BIL,502,500,0.0,0.3784860557768924,99.6
COR→MAL,500,496,2.5986156003851018,0.406,99.2
STD→PAL,495,495,0.0,0.501010101010101,100.0
VLD→SEV,445,442,0.0,1.5191011235955056,99.3
MAD→VLD,423,312,0.0,0.0,73.8
SEV→VLD,421,421,0.0,1.477434679334917,100.0
MAD→BUR,420,420,0.0,1.0476190476190477,100.0
VLD→MAD,414,307,0.0,0.0,74.2
BUR→MAD,393,393,0.0,1.2340966921119594,100.0
MAL→GRN,366,366,91.37716913162454,0.12021857923497267,100.0
ZAR→VAL,353,353,423.3275621989945,1.2889518413597734,100.0
VAL→ZAR,352,352,404.8305802500619,1.2727272727272727,100.0
GRN→MAL,349,340,55.79208769799016,0.10315186246418338,97.4
SEV→MUR,318,318,0.7748675013792137,2.1761006289308176,100.0
MUR→SEV,317,298,5.117026545011974,1.9652996845425867,94.0
ALI→MAL,254,254,0.0,1.2086614173228347,100.0
MAL→ALI,249,249,0.0,1.1967871485943775,100.0
SEV→HUE,93,93,0.0,0.010752688172043012,100.0
COR→ALB,92,90,0.0,0.7282608695652174,97.8
BAD→SEV,83,83,0.0,0.8795180722891566,100.0
HUE→SEV,81,81,0.0,0.012345679012345678,100.0
ALB→COR,69,69,0.0,0.8260869565217391,100.0
AVL→COR,68,66,39.73495900362801,0.9264705882352942,97.1
SEV→BAD,67,67,0.0,1.0298507462686568,100.0
COR→AVL,60,60,450.8850830697213,1.1333333333333333,100.0
