od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
SEV→MAD,1454,1454,0.07501285155534478,3.8844566712517192,100.0
MAD→SEV,1412,1412,0.011194975337597677,3.8491501416430594,100.0
MAD→BIL,1318,1318,0.0,2.0030349013657056,100.0
BIL→MAD,1262,1262,0.0,1.8597464342313788,100.0
MAD→BCN,1219,1219,0.031027472961032698,4.367514356029532,100.0
BCN→MAD,1128,1128,1.953840522659372,4.933510638297872,100.0
MUR→BCN,1052,1052,0.0,3.79467680608365,100.0
BCN→MUR,1010,1010,0.1485435600167021,3.5435643564356436,100.0
BIL→ZAR,971,971,0.004326933027978139,2.2451081359423273,100.0
ZAR→BIL,957,957,0.0,1.9947753396029257,100.0
MAD→VAL,814,814,0.0,2.2604422604422605,100.0
MAL→MUR,779,779,121.90531867098542,1.4274711168164314,100.0
VAL→MAD,750,750,1.8939429594740729,2.3346666666666667,100.0
ACO→VIG,582,582,185.513040343524,0.9553264604810997,100.0
VIG→ACO,573,571,22.71507309164922,0.9336823734729494,99.7
MAL→COR,521,521,73.78140926492048,0.9788867562380038,100.0
BIL→PMP,508,508,0.0,0.984251968503937,100.0
PAL→STD,504,504,0.0,1.1428571428571428,100.0
PMP→BIL,502,500,0.0,1.2768924302788844,99.6
COR→MAL,500,496,20.36710688483747,0.954,99.2
STD→PAL,495,495,0.0,1.3151515151515152,100.0
VLD→SEV,445,442,0.0,1.7123595505617977,99.3
MAD→VLD,423,312,0.0,0.0,73.8
SEV→VLD,421,421,0.0,1.6912114014251782,100.0
MAD→BUR,420,420,0.0,1.438095238095238,100.0
VLD→MAD,414,307,0.0,0.0,74.2
BUR→MAD,393,393,0.0,1.3435114503816794,100.0
MUR→MAL,363,308,314.80265914138346,1.2534435261707988,84.8
ZAR→VAL,353,353,264.59901011735207,1.9008498583569404,100.0
VAL→ZAR,352,352,316.1344832648158,2.09375,100.0
SEV→MUR,318,318,0.21071564535979578,2.4779874213836477,100.0
MUR→SEV,317,298,2.596790404123166,2.4258675078864353,94.0
MAL→GRN,272,272,643.4723684714455,0.7095588235294118,100.0
ALI→MAL,254,254,0.0,2.0196850393700787,100.0
MAL→ALI,249,249,0.0,1.8674698795180722,100.0
GRN→MAL,173,164,447.7249540140169,0.5549132947976878,94.8
SEV→HUE,93,93,56.67778304932518,0.43010752688172044,100.0
COR→ALB,92,90,0.0,1.358695652173913,97.8
BAD→SEV,83,83,0.0,1.8313253012048192,100.0
HUE→SEV,81,81,8.842906048137019,0.41975308641975306,100.0
ALB→COR,69,69,0.0,1.0869565217391304,100.0
AVL→COR,68,66,44.492769920553215,1.411764705882353,97.1
SEV→BAD,67,67,0.0,1.1791044776119404,100.0
COR→AVL,60,60,517.4538044289316,1.2,100.0
