agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur
TRIP_07865,MAD,VLD,301.94182002431154,301.94182002431154,stranded,0,0.0,0.0,0.0,190.0,2,41.41200605619625,41.41200605619625,0.0
TRIP_17823,MUR,SEV,310.7360254558703,310.7360254558703,stranded,0,0.0,0.0,0.0,480.1303627984803,13,36.1664858247696,36.1664858247696,0.0
TRIP_16041,MUR,MAL,334.47137096048885,334.47137096048885,stranded,0,0.0,0.0,0.0,355.3814786779781,7,33.25768906762138,33.25768906762138,0.0
TRIP_08021,MAD,VLD,340.25196709311894,340.25196709311894,stranded,0,0.0,0.0,0.0,190.0,2,43.44890456588675,43.44890456588675,0.0
TRIP_08179,MAD,VLD,340.98801986087625,340.98801986087625,stranded,0,0.0,0.0,0.0,190.0,2,39.45946516511156,39.45946516511156,0.0
TRIP_21215,MAL,GRN,303.4123583988106,360.3529243700239,completed,1,0.0,1.0627893949369394,0.8856578291141162,130.3814786779781,4,46.476275605267226,19.451312394939592,0.0
TRIP_07932,MAD,VLD,362.03214950438434,362.03214950438434,stranded,0,0.0,0.0,0.0,190.0,2,39.081557997613004,39.081557997613004,0.0
TRIP_21313,MAL,GRN,304.22981673622684,366.93458418241465,completed,1,0.0,6.826990869911467,5.6891590582595555,130.3814786779781,4,42.2372703556655,19.502937553910307,0.0
TRIP_21837,GRN,MAL,311.51730585713983,367.3950824334162,completed,0,0.0,0.0,0.0,130.3814786779781,4,39.87304918631628,10.531530394777711,0.0
TRIP_21511,MAL,GRN,310.16703119741413,370.87539382287883,completed,1,0.889776408724174,3.9408096404641615,3.2840080337201343,130.3814786779781,4,47.72293872093019,23.525360106282243,0.0
TRIP_07837,MAD,VLD,373.29792270396143,373.29792270396143,stranded,0,0.0,0.0,0.0,190.0,2,38.576796743309494,38.576796743309494,0.0
TRIP_08389,VLD,MAD,373.6170296295295,373.6170296295295,stranded,0,0.0,0.0,0.0,190.0,2,39.28951948831645,39.28951948831645,0.0
TRIP_22800,ACO,VIG,307.4380435288149,373.92269737237984,completed,0,0.0,0.0,0.0,155.13085896831822,8,44.90361249870851,10.265224629875966,0.0
TRIP_22696,ACO,VIG,309.65101094597964,376.1356647895446,completed,0,0.0,0.0,0.0,155.13085896831822,8,44.9053108713579,9.486216024536667,0.0
TRIP_21301,MAL,GRN,305.6197439087181,377.6423607320118,completed,1,0.0,16.144840247017374,13.454033539181147,130.3814786779781,4,34.549938481979346,19.95438935228018,0.0
TRIP_08216,MAD,VLD,379.4005821279882,379.4005821279882,stranded,0,0.0,0.0,0.0,190.0,2,48.722722766143264,48.722722766143264,0.0
TRIP_21471,MAL,GRN,311.7458418483057,380.3437390480713,completed,1,0.0,12.720120623489294,10.600100519574411,130.3814786779781,4,48.480032258139,31.0253582591559,0.0
TRIP_21223,MAL,GRN,326.5102859954838,382.38806257176014,completed,0,0.0,0.0,0.0,130.3814786779781,4,55.97494940092861,23.839355242473637,0.0
TRIP_23545,VIG,ACO,317.3980585928324,383.88271243639736,completed,0,0.0,0.0,0.0,155.13085896831822,8,44.26206614003826,11.41022087460668,0.0
TRIP_21820,GRN,MAL,328.0505531961837,383.9283297724601,completed,0,0.0,0.0,0.0,130.3814786779781,4,39.33310822273949,9.417608431518737,0.0
TRIP_23559,VIG,ACO,305.27009021682017,387.04096600654253,completed,1,0.0,15.286221946157404,38.21555486539351,155.13085896831822,8,54.88570715174483,58.608099859953384,0.0
TRIP_21510,MAL,GRN,314.6316676628702,387.6516446608453,completed,1,7.132916492865263,10.009283928833488,8.341069940694574,130.3814786779781,4,39.85402357731541,18.48408274070416,0.0
