od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
SEV→MAD,1454,1454,0.07501285155534478,3.8844566712517192,100.0
MAD→SEV,1412,1412,0.011194975337597677,3.8491501416430594,100.0
MAD→BIL,1318,1318,0.03089654716083493,2.0030349013657056,100.0
BIL→MAD,1262,1262,0.0,1.8676703645007924,100.0
MAD→BCN,1219,1219,0.031027472961032698,4.367514356029532,100.0
BCN→MAD,1128,1128,1.953840522659372,4.933510638297872,100.0
MUR→BCN,1052,1052,0.0,3.79467680608365,100.0
BCN→MUR,1010,1010,0.1485435600167021,3.5435643564356436,100.0
BIL→ZAR,971,971,6.716761188365538,2.107106076210093,100.0
ZAR→BIL,957,957,25.823770839271187,1.915360501567398,100.0
MAD→VAL,814,814,0.0,2.2604422604422605,100.0
MAL→MUR,803,803,107.90006379562222,1.2453300124533002,100.0
VAL→MAD,750,750,1.8939429594740729,2.3346666666666667,100.0
ACO→VIG,582,582,27.5676515908713,0.9518900343642611,100.0
VIG→ACO,573,573,1.3683424646717552,0.9109947643979057,100.0
BIL→PMP,508,508,0.0,0.984251968503937,100.0
PAL→STD,504,504,51.557332574745246,0.9722222222222222,100.0
PMP→BIL,502,500,0.0,1.2768924302788844,99.6
STD→PAL,495,495,206.76613904890078,1.0303030303030303,100.0
VLD→SEV,442,439,109.94501842062871,3.513574660633484,99.3
COR→MAL,433,433,219.6437333094958,0.6304849884526559,100.0
MAL→COR,425,425,314.5067371222269,0.9552941176470588,100.0
MAD→VLD,423,312,0.0,0.0,73.8
MAD→BUR,420,420,0.0,1.438095238095238,100.0
VLD→MAD,414,307,0.0,0.0,74.2
BUR→MAD,393,393,0.0,1.3435114503816794,100.0
VAL→ZAR,352,352,72.6959624392151,1.9005681818181819,100.0
MUR→MAL,321,282,390.12430968953316,1.2990654205607477,87.9
SEV→MUR,318,318,0.5286135145388324,2.20125786163522,100.0
SEV→VLD,317,315,522.0285395253103,3.1293375394321767,99.4
MUR→SEV,317,304,6.2742458942776205,2.3470031545741326,95.9
ZAR→VAL,303,303,520.6543366948462,2.0033003300330035,100.0
MAL→GRN,288,288,640.0920112306472,0.7256944444444444,100.0
ALI→MAL,254,254,0.0,2.0196850393700787,100.0
MAL→ALI,249,249,0.0,1.8674698795180722,100.0
GRN→MAL,177,168,442.8846315264857,0.5649717514124294,94.9
SEV→HUE,93,93,56.67778304932518,0.43010752688172044,100.0
COR→ALB,92,91,0.0,1.2391304347826086,98.9
BAD→SEV,83,83,0.0,1.4337349397590362,100.0
HUE→SEV,81,81,8.842906048137019,0.41975308641975306,100.0
ALB→COR,69,69,0.0,1.0869565217391304,100.0
AVL→COR,68,66,44.492769920553215,1.411764705882353,97.1
SEV→BAD,67,67,0.0,1.373134328358209,100.0
COR→AVL,60,60,517.4538044289316,1.2,100.0
