station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_000,AP-2_EC000,AP-2 existing cluster 0,350.0,40,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_001,AP-2_EC001,AP-2 existing cluster 1,150.0,46,0.4,322,5326.401953374296,0.0,2549.6898092044144,0,0.01924584698976762
EC_AP-2_002,AP-2_EC002,AP-2 existing cluster 2,50.0,27,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_003,AP-2_EC003,AP-2 existing cluster 3,150.0,71,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_004,AP-2_EC004,AP-2 existing cluster 4,50.0,31,0.4,4,151.3491385481757,0.0,181.61896625781083,0,0.0020342626148948345
EC_AP-2_005,AP-2_EC005,AP-2 existing cluster 5,150.0,20,0.4,4,151.0452654005339,0.0,62.12998035963632,0,0.0010786454923547972
EC_AP-2_006,AP-2_EC006,AP-2 existing cluster 6,150.0,23,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_007,AP-2_EC007,AP-2 existing cluster 7,150.0,21,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_008,AP-2_EC008,AP-2 existing cluster 8,150.0,34,0.4,39,1519.9041290729172,0.0,642.2429910058371,0,0.0065588540748145125
EC_AP-2_009,AP-2_EC009,AP-2 existing cluster 9,150.0,64,0.4,1,37.331342531212094,0.0,14.932537012484838,0,8.101419820141514e-05
EC_AP-2_010,AP-2_EC010,AP-2 existing cluster 10,172.0,37,0.4,2,76.02070782420259,0.0,26.518851566582295,0,0.0002488630965332423
EC_AP-2_011,AP-2_EC011,AP-2 existing cluster 11,150.0,17,0.4,86,3018.9153840525423,0.0,1288.4235887455252,0,0.026315841273397166
EC_AP-2_012,AP-2_EC012,AP-2 existing cluster 12,150.0,17,0.4,182,6743.04234928001,0.0,2826.665653560916,0,0.0577341841005089
EC_AP-2_013,AP-2_EC013,AP-2 existing cluster 13,300.0,21,0.4,45,1717.7944781942829,0.0,533.859757427202,0,0.008827046253756647
EC_AP-2_014,AP-2_EC014,AP-2 existing cluster 14,150.0,48,0.4,2,80.42456576242367,0.0,32.169826304969476,0,0.00023270997037738337
EC_AP-2_015,AP-2_EC015,AP-2 existing cluster 15,360.0,46,0.4,105,3801.431322884476,0.0,1258.8492654876047,0,0.009502183465335181
EC_AP-2_016,AP-2_EC016,AP-2 existing cluster 16,300.0,35,0.4,40,1583.57547853093,0.0,484.7284690719745,0,0.004808814177301334
EC_AP-2_017,AP-2_EC017,AP-2 existing cluster 17,150.0,26,0.4,23,866.0274786555942,0.0,354.9341109091287,0,0.004740038874320629
EC_AP-2_018,AP-2_EC018,AP-2 existing cluster 18,150.0,32,0.4,8,300.5196880347285,0.0,121.91566273622117,0,0.0013228696043426776
EC_AP-2_019,AP-2_EC019,AP-2 existing cluster 19,320.0,29,0.4,39,1501.5461674938265,0.0,482.9808954500027,0,0.005782817234794094
EC_AP-2_020,AP-2_EC020,AP-2 existing cluster 20,50.0,48,0.4,34,1326.9609025161806,0.0,1592.3530830194163,0,0.011518757834341843
EC_AP-2_021,AP-2_EC021,AP-2 existing cluster 21,350.0,39,0.4,530,14973.759912993346,0.0,6908.456761328237,0,0.06150691561011607
EC_AP-2_022,AP-2_EC022,AP-2 existing cluster 22,350.0,65,0.4,1213,18464.304626936704,0.0,6917.988703507995,0,0.03695506786061963
EC_AP-2_023,AP-2_EC023,AP-2 existing cluster 23,300.0,52,0.4,129,3297.5746965349886,0.0,1157.347471683132,0,0.007728014634636298
EC_AP-2_024,AP-2_EC024,AP-2 existing cluster 24,150.0,24,0.4,458,12813.151326933392,0.0,5736.083128310341,0,0.08298731377763803
EC_AP-2_025,AP-2_EC025,AP-2 existing cluster 25,300.0,32,0.4,488,12673.572661264308,0.0,4720.802957365211,0,0.0512239904227996
EC_AP-2_026,AP-2_EC026,AP-2 existing cluster 26,150.0,33,0.4,110,2487.2979082422403,0.0,1175.2532102153077,0,0.012365879737113929
EC_AP-2_027,AP-2_EC027,AP-2 existing cluster 27,250.0,41,0.4,453,18542.31157896343,0.0,6239.406194078684,0,0.05284049961109997
EC_AP-2_028,AP-2_EC028,AP-2 existing cluster 28,150.0,26,0.4,68,1293.7608474470114,0.0,592.2350602119916,0,0.007909122064796896
EC_AP-2_029,AP-2_EC029,AP-2 existing cluster 29,300.0,21,0.4,1,52.236247623334066,0.0,24.454249589698865,0,0.00040433613739581455
EC_AP-2_030,AP-2_EC030,AP-2 existing cluster 30,350.0,32,0.4,573,18340.566614601896,0.0,8656.228707812461,0,0.09392609274970118
EC_AP-2_031,AP-2_EC031,AP-2 existing cluster 31,180.0,38,0.4,12,557.3016043319277,0.0,231.95194703046567,0,0.0021194439604391964
EC_AP-2_032,AP-2_EC032,AP-2 existing cluster 32,240.0,27,0.4,2,85.38370766183111,0.0,28.792508968030553,0,0.00037027403508269746
EC_AP-2_033,AP-2_EC033,AP-2 existing cluster 33,350.0,30,0.4,352,13059.541629628748,0.0,5291.261039484519,0,0.061241447216256004
EC_AP-2_034,AP-2_EC034,AP-2 existing cluster 34,350.0,38,0.4,50,2178.1714878074886,0.0,865.8130172671151,0,0.007911303154853026
EC_AP-2_035,AP-2_EC035,AP-2 existing cluster 35,350.0,30,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_036,AP-2_EC036,AP-2 existing cluster 36,50.0,34,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_037,AP-2_EC037,AP-2 existing cluster 37,60.0,35,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_038,AP-2_EC038,AP-2 existing cluster 38,300.0,35,0.4,1,41.02618112122077,0.0,20.164243763008113,0,0.00020004210082349318
EC_AP-2_039,AP-2_EC039,AP-2 existing cluster 39,320.0,35,0.4,1,52.90898803643863,0.0,25.034009903561767,0,0.0002483532728527953
EC_AP-2_040,AP-2_EC040,AP-2 existing cluster 40,250.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_041,AP-2_EC041,AP-2 existing cluster 41,60.0,21,0.4,12,492.0164910450023,0.0,515.7232042399351,0,0.008527169382274059
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,352,7131.791313788412,2241.754599099272,3513.614338863185,9,0.3050012446929848
EC_A-2_000,A-2_EC000,A-2 existing cluster 0,350.0,40,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_001,A-2_EC001,A-2 existing cluster 1,150.0,46,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_002,A-2_EC002,A-2 existing cluster 2,50.0,27,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_003,A-2_EC003,A-2 existing cluster 3,150.0,71,0.4,2,92.68349471023684,0.0,44.35268066734919,0,0.00021690473722295184
EC_A-2_004,A-2_EC004,A-2 existing cluster 4,50.0,31,0.4,1,43.12313091907882,0.0,53.97743452224942,0,0.0006045859601506432
EC_A-2_005,A-2_EC005,A-2 existing cluster 5,150.0,20,0.4,1,52.4069102756673,0.0,24.530099657402527,0,0.00042586978571879385
EC_A-2_006,A-2_EC006,A-2 existing cluster 6,150.0,23,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_007,A-2_EC007,A-2 existing cluster 7,150.0,21,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_008,A-2_EC008,A-2 existing cluster 8,150.0,34,0.4,4,188.24972318076442,0.0,84.79753148647822,0,0.0008659878624027596
EC_A-2_009,A-2_EC009,A-2 existing cluster 9,150.0,64,0.4,2,104.99859062920798,0.0,49.142319349415445,0,0.00026661414577590847
EC_A-2_010,A-2_EC010,A-2 existing cluster 10,172.0,37,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_011,A-2_EC011,A-2 existing cluster 11,150.0,17,0.4,39,1656.2166621782749,0.0,776.2917982698833,0,0.01585563313459729
EC_A-2_012,A-2_EC012,A-2 existing cluster 12,150.0,17,0.4,4,171.66973052600707,0.0,88.5175268546767,0,0.0018079560223585927
EC_A-2_013,A-2_EC013,A-2 existing cluster 13,300.0,21,0.4,8,357.1379199142407,0.0,134.87819958769322,0,0.0022301289614367263
EC_A-2_014,A-2_EC014,A-2 existing cluster 14,150.0,48,0.4,8,366.1232740781981,0.0,176.5006336080882,0,0.001276769629688138
EC_A-2_015,A-2_EC015,A-2 existing cluster 15,360.0,46,0.4,4,180.19861142891565,0.0,62.724924386242876,0,0.00047346712248069804
EC_A-2_016,A-2_EC016,A-2 existing cluster 16,300.0,35,0.4,4,179.21064813588492,0.0,63.64721230830769,0,0.0006314207570268619
EC_A-2_017,A-2_EC017,A-2 existing cluster 17,150.0,26,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_018,A-2_EC018,A-2 existing cluster 18,150.0,32,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_019,A-2_EC019,A-2 existing cluster 19,320.0,29,0.4,3,155.96319545544833,0.0,51.669714065168776,0,0.0006186507910101625
EC_A-2_020,A-2_EC020,A-2 existing cluster 20,50.0,48,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_021,A-2_EC021,A-2 existing cluster 21,350.0,39,0.4,402,11774.590659878691,0.0,4976.923665821643,0,0.04431021782248614
EC_A-2_022,A-2_EC022,A-2 existing cluster 22,350.0,65,0.4,919,32905.35655712461,0.0,13721.725556167406,0,0.07329981600516777
EC_A-2_023,A-2_EC023,A-2 existing cluster 23,300.0,52,0.4,146,6072.914026979205,0.0,2121.962928284364,0,0.014169090066001361
EC_A-2_024,A-2_EC024,A-2 existing cluster 24,150.0,24,0.4,57,2681.6617210131235,0.0,1143.132201403559,0,0.016538370969380194
EC_A-2_025,A-2_EC025,A-2 existing cluster 25,300.0,32,0.4,3,119.78953343077335,0.0,37.37985821787606,0,0.0004055974198988288
EC_A-2_026,A-2_EC026,A-2 existing cluster 26,150.0,33,0.4,955,18907.34994916221,0.0,9264.277396690793,0,0.09747766621097215
EC_A-2_027,A-2_EC027,A-2 existing cluster 27,250.0,41,0.4,1383,28278.18156249505,0.0,10835.882079332334,0,0.09176729403228602
EC_A-2_028,A-2_EC028,A-2 existing cluster 28,150.0,26,0.4,310,4441.8767234417,0.0,2032.9777385878779,0,0.027149809543107344
EC_A-2_029,A-2_EC029,A-2 existing cluster 29,300.0,21,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_030,A-2_EC030,A-2 existing cluster 30,350.0,32,0.4,14,430.3072806823686,0.0,125.91998644443535,0,0.0013663192973571545
EC_A-2_031,A-2_EC031,A-2 existing cluster 31,180.0,38,0.4,354,10851.539730038678,0.0,4569.480905730903,0,0.04175329774973413
EC_A-2_032,A-2_EC032,A-2 existing cluster 32,240.0,27,0.4,61,1838.059765632941,0.0,872.2542281076574,0,0.011217261163935923
EC_A-2_033,A-2_EC033,A-2 existing cluster 33,350.0,30,0.4,6,177.25696995379832,0.0,79.81556865120936,0,0.0009237913038334417
EC_A-2_034,A-2_EC034,A-2 existing cluster 34,350.0,38,0.4,10,328.0481328920776,0.0,123.79874136171841,0,0.0011312019495771054
EC_A-2_035,A-2_EC035,A-2 existing cluster 35,350.0,30,0.4,15,485.80319518424494,0.0,215.15932335396266,0,0.0024902699462264195
EC_A-2_036,A-2_EC036,A-2 existing cluster 36,50.0,34,0.4,76,2406.9564548255844,0.0,2888.3477457907006,0,0.02949701537776451
EC_A-2_037,A-2_EC037,A-2 existing cluster 37,60.0,35,0.4,361,10033.555480840896,0.0,10033.555480840896,0,0.0995392408813581
EC_A-2_038,A-2_EC038,A-2 existing cluster 38,300.0,35,0.4,12,395.4316060722334,0.0,161.1532506380328,0,0.0015987425658535
EC_A-2_039,A-2_EC039,A-2 existing cluster 39,320.0,35,0.4,9,299.6435414265815,0.0,113.51359184168555,0,0.001126126903191325
