od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
SEV→MAD,1366,1366,1.1273575017010529,2.9560761346998534,100.0
MAD→SEV,1326,1326,4.277131181506296,3.3559577677224737,100.0
MAD→BIL,1237,660,98.85474925767558,1.1924009700889249,53.4
BIL→MAD,1181,1181,0.14705190670916682,1.2252328535139712,100.0
MAD→BCN,1130,1069,0.5276814978889945,4.046902654867257,94.6
BCN→MAD,1059,193,643.9125571407627,1.0925401322001889,18.2
MUR→BCN,987,987,0.012465091815027736,3.729483282674772,100.0
BIL→ZAR,983,983,351.2184736052875,2.1464903357070195,100.0
BCN→MUR,946,937,31.420248588488054,3.7378435517970403,99.0
VLD→MAD,925,571,89.94507621659957,0.9243243243243243,61.7
ZAR→BIL,906,721,145.18036219966362,1.836644591611479,79.6
MAD→VLD,878,876,1.7084673280417635,1.6457858769931664,99.8
MUR→MAL,856,315,146.08527576470314,1.3726635514018692,36.8
MAL→MUR,801,801,4.960222378950884,2.2222222222222223,100.0
MAD→VAL,762,611,211.93017755400712,3.0183727034120733,80.2
VAL→MAD,702,698,126.85417649063362,3.3205128205128207,99.4
VIG→ACO,574,574,4.49112206330274,0.9407665505226481,100.0
ACO→VIG,504,504,48.69793019087399,1.0257936507936507,100.0
MAL→COR,487,299,309.3426647665267,0.4804928131416838,61.4
PAL→STD,478,478,74.13352199571554,1.0376569037656904,100.0
BIL→PMP,477,477,28.040649928007465,1.1551362683438156,100.0
STD→PAL,473,473,248.0537149720283,1.06553911205074,100.0
PMP→BIL,471,469,0.919211403001381,1.2399150743099787,99.6
COR→MAL,467,391,303.8886632100056,0.5952890792291221,83.7
VLD→SEV,423,419,1.529286436265453,3.817966903073286,99.1
MAD→BUR,394,394,0.0,0.9238578680203046,100.0
SEV→VLD,383,383,17.49781150151183,3.3211488250652743,100.0
BUR→MAD,368,368,0.0,0.8695652173913043,100.0
MAL→GRN,351,228,426.76783365378435,1.7037037037037037,65.0
GRN→MAL,337,175,227.93297897476373,0.4124629080118694,51.9
ZAR→VAL,331,237,517.6775927638346,1.7220543806646527,71.6
VAL→ZAR,330,330,426.92492214005335,1.7969696969696969,100.0
SEV→MUR,298,218,262.2484972631594,2.674496644295302,73.2
MUR→SEV,297,288,8.32593301949645,2.430976430976431,97.0
MAL→ALI,245,245,0.0,1.8571428571428572,100.0
ALI→MAL,223,223,0.0,2.0896860986547083,100.0
PMP→ZAR,145,145,398.88290928437965,3.296551724137931,100.0
BIL→SSB,127,127,0.006725801768557784,0.7322834645669292,100.0
SSB→BIL,122,122,0.21217700058141287,0.8278688524590164,100.0
ZAR→PMP,119,118,24.08001578345516,0.9831932773109243,99.2
HUE→SEV,102,102,23.16148994431224,0.4019607843137255,100.0
SEV→HUE,92,92,23.43942391649826,0.40217391304347827,100.0
ALB→COR,71,70,13.602240370163974,3.183098591549296,98.6
SEV→BAD,68,68,0.18603975203349338,1.6911764705882353,100.0
BAD→SEV,61,61,0.05099575929534135,1.9344262295081966,100.0
COR→ALB,52,52,0.0,1.2692307692307692,100.0
AVL→COR,46,46,44.67163841106899,1.608695652173913,100.0
COR→AVL,39,39,225.1388948827004,1.205128205128205,100.0
