station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_000,AP-2_EC000,AP-2 existing cluster 0,15.0,3,0.4,2,81.82156050040379,0.0,327.28624200161516,0,0.03788035208352027
EC_AP-2_001,AP-2_EC001,AP-2 existing cluster 1,22.0,2,0.4,64,1771.3192344308316,51106.80591405394,4885.214226280939,45,0.8481274698404409
EC_AP-2_002,AP-2_EC002,AP-2 existing cluster 2,60.0,2,0.4,3,113.3409157119435,0.0,115.22801248613703,0,0.020004863278843234
EC_AP-2_003,AP-2_EC003,AP-2 existing cluster 3,60.0,2,0.4,1,41.373504220709066,0.0,44.036517919339204,0,0.007645228805440834
EC_AP-2_004,AP-2_EC004,AP-2 existing cluster 4,22.0,2,0.4,3,122.66141485352554,0.0,356.0773331621681,0,0.061818981451765294
EC_AP-2_005,AP-2_EC005,AP-2 existing cluster 5,22.0,2,0.4,47,1673.4618362664125,38851.00281452678,4621.29400133232,45,0.8023079863424166
EC_AP-2_006,AP-2_EC006,AP-2 existing cluster 6,22.0,2,0.4,1,61.37322101475067,0.0,174.78184408432455,0,0.030344070153528566
EC_AP-2_007,AP-2_EC007,AP-2 existing cluster 7,22.0,2,0.4,37,1647.5617605114742,35112.167336594954,4740.907646008414,147,0.823074244098683
EC_AP-2_008,AP-2_EC008,AP-2 existing cluster 8,50.0,3,0.4,150,5967.087686293777,126682.97841675153,7381.674627380982,118,0.8543604892802062
EC_AP-2_009,AP-2_EC009,AP-2 existing cluster 9,50.0,3,0.4,167,5127.494441376891,92849.46170418101,6185.376832437945,87,0.7159000963469844
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,493,21053.90244682386,367612.4646261844,9510.99587036183,656,0.8256072804133533
EC_A-2_000,A-2_EC000,A-2 existing cluster 0,350.0,37,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_001,A-2_EC001,A-2 existing cluster 1,150.0,46,0.4,53,719.1754156163812,0.0,347.25075870547244,0,0.0026211560892623223
EC_A-2_002,A-2_EC002,A-2 existing cluster 2,50.0,27,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_003,A-2_EC003,A-2 existing cluster 3,150.0,34,0.4,1,50.3579278098526,0.0,21.228553183741703,0,0.0002167948650300419
EC_A-2_004,A-2_EC004,A-2 existing cluster 4,50.0,67,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_005,A-2_EC005,A-2 existing cluster 5,150.0,22,0.4,1,52.398683588986955,0.0,24.526443352211263,0,0.00038709664381646566
EC_A-2_006,A-2_EC006,A-2 existing cluster 6,150.0,24,0.4,1,43.10835889503498,0.0,19.271324319070292,0,0.00027880966896803085
EC_A-2_007,A-2_EC007,A-2 existing cluster 7,50.0,22,0.4,1,43.028642021056896,0.0,53.86404784462311,0,0.0008501270177497334
EC_A-2_008,A-2_EC008,A-2 existing cluster 8,150.0,35,0.4,2,95.04498086063862,0.0,44.43351099469675,0,0.0004408086408204043
EC_A-2_009,A-2_EC009,A-2 existing cluster 9,150.0,64,0.4,1,57.12996508917942,0.0,24.32552028224711,0,0.0001319743938923997
EC_A-2_010,A-2_EC010,A-2 existing cluster 10,172.0,37,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_011,A-2_EC011,A-2 existing cluster 11,150.0,17,0.4,96,3402.275362702987,0.0,1585.5266733806282,0,0.03238412323081348
EC_A-2_012,A-2_EC012,A-2 existing cluster 12,150.0,17,0.4,93,3093.635467645975,0.0,1480.810800991878,0,0.030245318647709928
EC_A-2_013,A-2_EC013,A-2 existing cluster 13,300.0,21,0.4,8,383.12338640938106,0.0,137.90556626260297,0,0.0022801846273578534
EC_A-2_014,A-2_EC014,A-2 existing cluster 14,150.0,40,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_015,A-2_EC015,A-2 existing cluster 15,200.0,32,0.4,5,231.32885466990666,0.0,89.17936535571864,0,0.0009676580442243777
EC_A-2_016,A-2_EC016,A-2 existing cluster 16,320.0,49,0.4,5,228.80410237901475,0.0,76.11843160429797,0,0.0005393879790553995
EC_A-2_017,A-2_EC017,A-2 existing cluster 17,120.0,34,0.4,5,231.3046053757727,0.0,124.93753739093805,0,0.0012759143932898084
EC_A-2_018,A-2_EC018,A-2 existing cluster 18,360.0,34,0.4,5,246.23538514932156,0.0,104.89582698553826,0,0.0010712400631693042
