od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
SEV→MAD,1454,1454,0.0,3.499312242090784,100.0
MAD→SEV,1412,1412,0.0,3.0856940509915014,100.0
MAD→BIL,1318,1318,0.0,1.6555386949924127,100.0
BIL→MAD,1262,1262,0.0,2.0095087163232965,100.0
MAD→BCN,1219,1219,0.08529783985148673,3.6472518457752257,100.0
BCN→MAD,1128,1128,1.1043050539267667,4.170212765957447,100.0
MUR→BCN,1052,1052,0.0,3.216730038022814,100.0
BCN→MUR,1010,1010,0.0,2.879207920792079,100.0
BIL→ZAR,971,971,6.716761188365538,1.364572605561277,100.0
ZAR→BIL,957,957,50.982864365830466,1.2413793103448276,100.0
MUR→MAL,913,874,19.989667920868936,1.0876232201533407,95.7
MAL→MUR,837,837,120.17624764813743,1.2222222222222223,100.0
MAD→VAL,814,814,0.0,2.1216216216216215,100.0
VAL→MAD,750,750,0.0,1.8533333333333333,100.0
ACO→VIG,582,582,23.334318713609562,0.3436426116838488,100.0
VIG→ACO,573,573,1.0680544100260996,0.3472949389179756,100.0
BIL→PMP,508,508,0.0,0.3937007874015748,100.0
PAL→STD,504,504,25.661699495986948,0.501984126984127,100.0
PMP→BIL,502,502,0.0,0.3784860557768924,100.0
STD→PAL,495,495,213.80242801305187,0.5191919191919192,100.0
COR→MAL,485,485,126.09875944954817,0.41237113402061853,100.0
VLD→SEV,445,442,114.99716186272876,2.7932584269662923,99.3
MAD→VLD,423,312,0.0,0.0,73.8
MAL→COR,422,422,146.85814356085103,0.35071090047393366,100.0
SEV→VLD,421,419,204.23308392036944,2.969121140142518,99.5
MAD→BUR,420,420,0.0,1.0071428571428571,100.0
VLD→MAD,414,307,0.0,0.0,74.2
BUR→MAD,393,393,0.0,1.508905852417303,100.0
MAL→GRN,368,368,83.68208407718794,0.125,100.0
GRN→MAL,354,345,55.854731370917435,0.11581920903954802,97.5
ZAR→VAL,353,353,25.245064081559477,1.2832861189801699,100.0
VAL→ZAR,352,352,50.51352198156713,1.1761363636363635,100.0
SEV→MUR,318,318,2.209686653176263,1.9842767295597483,100.0
MUR→SEV,317,304,8.280591506790813,1.6876971608832807,95.9
ALI→MAL,254,254,0.0,1.2834645669291338,100.0
MAL→ALI,249,249,0.0,1.2690763052208835,100.0
SEV→HUE,93,93,0.0,0.010752688172043012,100.0
COR→ALB,92,91,0.0,0.7608695652173914,98.9
BAD→SEV,83,83,0.0,0.8795180722891566,100.0
HUE→SEV,81,81,0.0,0.012345679012345678,100.0
ALB→COR,69,69,0.0,0.8405797101449275,100.0
AVL→COR,68,66,39.73495900362801,0.9264705882352942,97.1
SEV→BAD,67,67,0.0,0.9253731343283582,100.0
COR→AVL,60,60,450.8850830697213,1.1333333333333333,100.0
