station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_00,AP-2_EC00,AP-2 existing cluster 0,350.0,102,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_01,AP-2_EC01,AP-2 existing cluster 1,150.0,119,0.4,13,520.8474916177613,0.0,229.6420157583884,0,0.000670057235522842
EC_AP-2_02,AP-2_EC02,AP-2 existing cluster 2,150.0,56,0.4,217,8485.704010644162,0.0,4096.378015558731,0,0.025399169243295702
EC_AP-2_03,AP-2_EC03,AP-2 existing cluster 3,172.0,118,0.4,8,315.51635821937316,0.0,151.58711982643456,0,0.0004460543780203465
EC_AP-2_04,AP-2_EC04,AP-2 existing cluster 4,150.0,56,0.4,211,6319.068634451793,0.0,2847.373133129349,0,0.017654843335375425
EC_AP-2_05,AP-2_EC05,AP-2 existing cluster 5,360.0,105,0.4,8,260.0883593583948,0.0,112.71019162085801,0,0.00037271888763511246
EC_AP-2_06,AP-2_EC06,AP-2 existing cluster 6,300.0,76,0.4,90,3392.096766003471,0.0,1556.3575642887129,0,0.007110551737430157
EC_AP-2_07,AP-2_EC07,AP-2 existing cluster 7,320.0,101,0.4,51,1892.9970212751882,0.0,871.1485239398372,0,0.0029948725382970202
EC_AP-2_08,AP-2_EC08,AP-2 existing cluster 8,350.0,144,0.4,1221,23996.52107129611,0.0,8985.636610131169,0,0.02166675494341042
EC_AP-2_09,AP-2_EC09,AP-2 existing cluster 9,300.0,72,0.4,1221,30717.9090345843,0.0,12300.302882006228,0,0.05931859028745288
EC_AP-2_10,AP-2_EC10,AP-2 existing cluster 10,250.0,94,0.4,451,18311.660658572488,0.0,6264.773516564797,0,0.023141155129154836
EC_AP-2_11,AP-2_EC11,AP-2 existing cluster 11,350.0,68,0.4,627,19301.82976306359,0.0,9013.790573681465,0,0.046026299906461725
EC_AP-2_12,AP-2_EC12,AP-2 existing cluster 12,350.0,88,0.4,828,21213.657115210866,0.0,9048.097465162688,0,0.03570114214473914
EC_AP-2_13,AP-2_EC13,AP-2 existing cluster 13,350.0,89,0.4,62,2644.044458871698,0.0,1042.2621923794416,0,0.004066253871642641
EC_AP-2_14,AP-2_EC14,AP-2 existing cluster 14,300.0,91,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_15,AP-2_EC15,AP-2 existing cluster 15,320.0,98,0.4,1,41.30930149442559,0.0,20.294914704487258,0,7.190658554594409e-05
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,337,7592.033935453539,1349.634167608355,3748.596263226253,6,0.32539898118283445
EC_A-2_00,A-2_EC00,A-2 existing cluster 0,350.0,102,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_01,A-2_EC01,A-2 existing cluster 1,150.0,119,0.4,4,193.30932637027018,0.0,91.55114382226073,0,0.0002671310218903499
EC_A-2_02,A-2_EC02,A-2 existing cluster 2,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_03,A-2_EC03,A-2 existing cluster 3,172.0,118,0.4,1,42.90202697783093,0.0,19.18289635455427,0,5.6446846617685586e-05
