agent_id,station_id,node_id,sim_time_min,wait_time_min,charge_time_min,energy_kwh,soc_before_kwh,soc_after_kwh,price_per_kwh
TRIP_15368,EC_A-8_000,A-8_EC000,313.83239308962675,0.0,2.9411568005558686,6.862699201297026,38.91873331100646,45.78143251230349,0.4
TRIP_22810,EC_AP-9_001,AP-9_EC001,316.90418858601765,0.0,11.593782060200814,23.18756412040163,26.34581697780013,49.53338109820176,0.4
TRIP_24897,EC_A-66_015,A-66_EC015,317.14486403503884,0.0,12.261842242823587,23.904311160820964,31.29568883917904,55.2,0.4
TRIP_15389,EC_A-8_000,A-8_EC000,326.9005111673699,0.0,0.5694623411354348,2.3727597547309784,56.546184078035175,58.91894383276615,0.4
TRIP_09100,EC_A-66_015,A-66_EC015,326.9092397272167,0.0,8.752837392695863,33.75670065339777,34.49329934660223,68.25,0.4
TRIP_07307,EC_A-45_009,A-45_EC009,329.2669142540861,0.0,7.314393533190537,17.066918244111253,19.532171976590742,36.599090220701996,0.4
TRIP_20142,EC_AP-46_000,AP-46_EC000,330.0468936279367,0.0,10.230146255725668,8.52512187977139,37.77580157710003,46.30092345687142,0.4
TRIP_15351,EC_A-8_000,A-8_EC000,332.42484626814047,0.0,1.8917794596880837,7.882414415367016,47.85332882127389,55.73574323664091,0.4
TRIP_04311,EC_A-3_013,A-3_EC013,334.1755368666665,0.0,15.938086596260776,33.76228952597212,19.017710474027876,52.78,0.4
TRIP_15585,EC_A-8_000,A-8_EC000,334.412588762638,0.0,5.559326634570754,18.994366001450075,42.441844891269454,61.43621089271953,0.4
TRIP_13422,EC_AP-7_035,AP-7_EC035,337.529926304678,0.0,12.083010647124027,26.71304634866574,19.18695365133426,45.9,0.4
TRIP_14196,EC_AP-46_000,AP-46_EC000,339.03734917016953,0.0,31.151723979371706,23.173956029321374,46.89604397067863,70.07000000000001,0.4
TRIP_20143,EC_AP-46_000,AP-46_EC000,344.8870900795337,0.0,12.565116176925248,10.470930147437706,46.04924674002823,56.52017688746594,0.4
TRIP_21212,EC_AP-6_014,AP-6_EC014,348.85317007262523,0.0,7.467897574571775,17.425094340667474,27.509028156892295,44.93412249755977,0.4
TRIP_15429,EC_A-8_000,A-8_EC000,349.2001501391206,0.0,5.341021933034701,12.017299349328077,41.55286253104814,53.57016188037622,0.4
TRIP_02004,EC_A-2_021,A-2_EC021,349.4687586566374,0.0,8.95105441767091,34.58260492412713,33.66739507587287,68.25,0.4
TRIP_10703,EC_A-68_004,A-68_EC004,350.28596333350526,0.0,10.268424797407631,23.10395579416717,36.728842818840484,59.832798613007654,0.4
TRIP_21012,EC_AP-6_010,AP-6_EC010,351.6203105976021,0.0,15.573678737136822,33.742970597129776,9.725399824528258,43.46837042165804,0.4
TRIP_12467,EC_A-7_025,A-7_EC025,352.8634218678337,0.0,5.632153534915984,20.753851245981608,47.49614875401839,68.25,0.4
TRIP_04576,EC_A-3_013,A-3_EC013,352.96983215855033,0.0,19.64700291911386,40.78822232143084,30.051777678569167,70.84,0.4
TRIP_11317,EC_AP-68_012,AP-68_EC012,353.5222018171228,0.0,12.358000806941833,42.22316942371793,19.298115643212974,61.5212850669309,0.4
TRIP_10252,EC_A-67_009,A-67_EC009,354.15432469826476,0.0,19.284921488089843,16.070767906741537,27.540444977996394,43.61121288473793,0.4
TRIP_00722,EC_AP-68_003,AP-68_EC003,355.0103056398633,0.0,17.019925092944867,48.34632012933294,19.90367987066706,68.25,0.4
TRIP_17820,EC_AP-68_003,AP-68_EC003,355.32030475479905,0.0,20.964628750072215,40.042160725950886,18.457839274049114,58.5,0.4
TRIP_17518,EC_A-1_014,A-1_EC014,355.3903808908283,0.0,4.057124539883703,8.32638026110157,58.12727740094308,66.45365766204465,0.4
TRIP_12922,EC_A-7_016,A-7_EC016,355.94233845385264,0.0,19.555957719904594,31.141649963281846,13.858350036718154,45.0,0.4
TRIP_21298,EC_AP-6_014,AP-6_EC014,356.48229375075306,0.0,12.889635742792189,30.075816733181775,15.488256746109847,45.56407347929162,0.4
TRIP_01555,EC_A-2_021,A-2_EC021,356.6116750553444,0.0,15.150660448204011,30.67145176188368,40.16854823811632,70.84,0.4
TRIP_14076,EC_AP-46_000,AP-46_EC000,357.4006493899613,0.0,42.98540026149624,34.84472437925821,32.06829495918734,66.91301933844555,0.4
TRIP_03674,EC_A-3_009,A-3_EC009,357.60832451549805,0.0,13.67730496271354,25.467513151233533,33.03248684876647,58.5,0.4
TRIP_20296,EC_AP-46_000,AP-46_EC000,357.6929815754269,0.0,11.629511092053335,9.691259243377779,46.216997486676874,55.90825673005465,0.4
TRIP_23551,EC_AP-9_002,AP-9_EC002,357.73940964831075,0.0,14.2175660284363,28.4351320568726,20.363997528209158,48.79912958508176,0.4
TRIP_01388,EC_A-2_012,A-2_EC012,359.45320851633585,0.0,21.0539909830506,33.638372068525186,11.36162793147481,45.0,0.4
TRIP_15425,EC_A-8_000,A-8_EC000,359.9783646236123,0.0,2.777391174618117,6.249130142890763,49.165678137126,55.414808280016764,0.4
TRIP_24483,EC_A-66_013,A-66_EC013,360.15040036014386,0.0,14.468203250314463,31.347773709014668,15.459858245246549,46.80763195426122,0.4
TRIP_11220,EC_AP-68_003,AP-68_EC003,361.66672638459414,0.0,18.05712826897388,36.08748117797718,16.77872742961806,52.86620860759524,0.4
TRIP_11132,EC_AP-68_004,AP-68_EC004,361.85602305881287,0.0,13.490419215435157,26.980838430870314,29.473566673425893,56.45440510429621,0.4
TRIP_18521,EC_A-2_017,A-2_EC017,362.07179792828964,0.0,21.05710642857701,33.64356447773588,11.356435522264121,45.0,0.4
TRIP_04516,EC_A-3_013,A-3_EC013,362.203817393051,0.0,13.50626683555055,28.29069506437412,24.48930493562588,52.78,0.4
TRIP_11769,EC_A-7_025,A-7_EC025,362.9728615657082,0.0,10.300529793971368,19.65480085497449,35.545199145025514,55.2,0.4
TRIP_11852,EC_A-7_025,A-7_EC025,363.7116814762347,0.0,17.277670837600553,36.30051280925878,17.059487190741223,53.36,0.4
TRIP_24813,EC_A-67_002,A-67_EC002,364.0125820424015,0.0,29.38547375425768,24.487894795214736,21.534308239886457,46.02220303510119,0.4
TRIP_12037,EC_A-7_025,A-7_EC025,364.96693139749436,0.0,10.454817777906005,19.98909148683287,35.21090851316713,55.2,0.4
TRIP_04505,EC_A-3_012,A-3_EC012,365.0243642957554,0.0,2.6623684732107464,5.990329064724179,50.492556280537514,56.48288534526169,0.4
TRIP_24800,EC_A-67_002,A-67_EC002,365.722884026043,0.0,14.892435453044182,12.41036287753682,24.752720104230185,37.163082981767005,0.4
TRIP_17625,EC_A-1_014,A-1_EC014,366.0527541037301,0.0,4.161772929008201,14.627265388032512,53.62273461196749,68.25,0.4
TRIP_12023,EC_A-7_025,A-7_EC025,366.16011125804715,0.0,10.749311177890133,21.40013619676442,48.669863803235586,70.07000000000001,0.4
TRIP_09579,EC_A-67_002,A-67_EC002,366.4019931831164,0.0,21.37483080489128,17.812359004076065,28.56134218726598,46.37370119134204,0.4
TRIP_17576,EC_A-1_014,A-1_EC014,366.63508458241245,0.0,3.3866719634998868,11.456947499499023,56.958107204481394,68.41505470398042,0.4
TRIP_23709,EC_AP-9_002,AP-9_EC002,366.67360672661727,0.0,12.618565892526751,26.288678942764065,17.78201119339353,44.070690136157594,0.4
TRIP_10479,EC_A-68_015,A-68_EC015,366.9194878171769,0.0,42.80604508011662,35.67170423343051,25.298543536005546,60.97024776943606,0.4
TRIP_22641,EC_AP-8_010,AP-8_EC010,367.86018285880834,0.0,12.965379359813113,25.930758719626226,33.496382127952245,59.42714084757847,0.4
TRIP_10845,EC_A-68_004,A-68_EC004,368.244753379413,0.0,9.645646582195237,21.702704809939284,37.236912046665516,58.9396168566048,0.4
TRIP_20076,EC_A-4_023,A-4_EC023,368.9158565571574,0.0,5.923382480571544,3.470703689485802,42.4292963105142,45.9,0.4
TRIP_21834,EC_AP-6_015,AP-6_EC015,369.1141687299913,0.0,12.364702113661227,26.79018791293266,16.12156199022145,42.91174990315411,0.4
TRIP_10613,EC_A-68_004,A-68_EC004,369.184772145925,0.0,14.674704403365547,29.349408806731095,18.396756788279358,47.74616559501045,0.4
TRIP_09637,EC_A-67_002,A-67_EC002,370.67677444004215,0.0,41.269511940748636,34.39125995062386,20.46422189943133,54.85548185005519,0.4
TRIP_10078,EC_A-67_009,A-67_EC009,370.7445260275482,0.0,27.124807669476333,22.60400639123028,31.26308892261212,53.8670953138424,0.4
TRIP_04877,EC_A-3_012,A-3_EC012,371.19708769871625,0.0,12.899411183543878,23.911725592894207,34.58827440710579,58.5,0.4
TRIP_03170,EC_A-23_001,A-23_EC001,371.4097601259297,0.0,12.649205784646432,28.467146031212238,16.710196728690008,45.177342759902245,0.4
TRIP_18249,EC_A-2_021,A-2_EC021,371.5898992621494,0.0,9.63553625629249,14.607614190595008,30.392385809404992,45.0,0.4
TRIP_10477,EC_A-68_004,A-68_EC004,372.0291709537281,0.0,5.920958677424728,13.322157024205637,47.682316731983974,61.00447375618961,0.4
TRIP_21012,EC_AP-6_014,AP-6_EC014,372.4647571817358,0.0,3.9940253194863,8.65372152555365,34.81464889610439,43.46837042165804,0.4
TRIP_00913,EC_A-1_014,A-1_EC014,372.5507147401975,0.0,18.07542064344095,34.26374451268835,24.23625548731165,58.5,0.4
TRIP_13805,EC_AP-46_000,AP-46_EC000,372.88864716385245,10.16666480034121,15.19566558842554,12.663054657021284,48.57396413076017,61.23701878778145,0.4
TRIP_06569,EC_A-45_008,A-45_EC008,373.18353350505464,0.0,19.037468361677558,42.834303813774504,18.386773502279965,61.22107731605447,0.4
TRIP_10597,EC_A-68_015,A-68_EC015,374.31390236920265,0.0,33.77689206082454,26.666764889396788,19.23323511060321,45.9,0.4
TRIP_09179,EC_A-66_015,A-66_EC015,374.3857530390088,0.0,15.114696845664804,28.34229691713606,30.15770308286394,58.5,0.4
TRIP_17890,EC_AP-68_003,AP-68_EC003,374.4160519433842,0.0,17.871812598358837,33.85652842252412,24.64347157747588,58.5,0.4
TRIP_23965,EC_A-7S_022,A-7S_EC022,374.7671579531931,0.0,9.489766788767874,39.54069495319947,19.56659752393218,59.10729247713165,0.4
TRIP_12755,EC_AP-7_035,AP-7_EC035,374.7921895275239,0.0,15.636001923623823,36.376549659557895,31.873450340442105,68.25,0.4
TRIP_21899,EC_A-68_004,A-68_EC004,375.38200495849316,0.0,2.869223158513418,6.45575210665519,36.676001098840516,43.131753205495706,0.4
