agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_19038,MAD,SEV,286.18509647747373,286.18509647747373,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_19909,SEV,MAD,300.53789541934486,300.53789541934486,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_07862,VLD,MAD,301.94182002431154,301.94182002431154,stranded,0,0.0,0.0,0.0,190.0,2,41.41200605619625,41.41200605619625,0.0,no_reachable_station
TRIP_00028,MAD,BIL,303.21315582064534,303.21315582064534,stranded,0,0.0,0.0,0.0,412.69345743329603,20,55.2,55.2,0.0,no_reachable_station
TRIP_00439,MAD,BIL,305.7459329331814,305.7459329331814,stranded,0,0.0,0.0,0.0,410.0,7,52.78,52.78,0.0,no_reachable_station
TRIP_19878,SEV,MAD,306.08918544590597,306.08918544590597,stranded,0,0.0,0.0,0.0,540.0,3,76.36,76.36,0.0,no_reachable_station
TRIP_05057,MAD,SEV,307.11837406936496,307.11837406936496,stranded,0,0.0,0.0,0.0,540.0,3,57.6,57.6,0.0,no_reachable_station
TRIP_05106,MAD,SEV,307.3856177753838,307.3856177753838,stranded,0,0.0,0.0,0.0,540.0,3,76.36,76.36,0.0,no_reachable_station
TRIP_19013,MAD,SEV,310.16671510945366,310.16671510945366,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_21031,MAD,VLD,310.9549488633943,310.9549488633943,stranded,0,0.0,0.0,0.0,190.0,2,41.56573595389209,41.56573595389209,0.0,no_reachable_station
TRIP_19713,SEV,MAD,311.467866384748,311.467866384748,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_08816,BUR,MAD,312.6046637716853,312.6046637716853,stranded,0,0.0,0.0,0.0,240.0,2,64.6726545279168,64.6726545279168,0.0,no_reachable_station
TRIP_04949,MAD,SEV,313.84188917139403,313.84188917139403,stranded,0,0.0,0.0,0.0,540.0,3,45.0,45.0,0.0,no_reachable_station
TRIP_19574,SEV,MAD,314.23700777484123,314.23700777484123,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_06056,SEV,MAD,314.8260265349499,314.8260265349499,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_02002,MAD,BCN,315.15155935500417,315.15155935500417,stranded,0,0.0,0.0,0.0,662.3716680115232,34,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_20090,SEV,MAD,317.24100010212027,317.24100010212027,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05180,MAD,SEV,318.0047984337733,318.0047984337733,stranded,0,0.0,0.0,0.0,540.0,8,45.0,45.0,0.0,no_reachable_station
TRIP_05685,SEV,MAD,318.54782848948594,318.54782848948594,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_17105,MAD,BIL,318.6028216010319,318.6028216010319,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_17282,MAD,BIL,318.6855564896518,318.6855564896518,stranded,0,0.0,0.0,0.0,410.0,7,58.5,58.5,0.0,no_reachable_station
TRIP_00496,MAD,BIL,321.52194453298756,321.52194453298756,stranded,0,0.0,0.0,0.0,410.0,7,57.6,57.6,0.0,no_reachable_station
TRIP_00125,MAD,BIL,321.63004316651114,321.63004316651114,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.9,45.9,0.0,no_reachable_station
TRIP_05731,SEV,MAD,323.4183987420036,323.4183987420036,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_08410,MAD,BUR,324.8441556019615,324.8441556019615,stranded,0,0.0,0.0,0.0,240.0,2,64.12212369377916,64.12212369377916,0.0,no_reachable_station
TRIP_05413,MAD,SEV,324.9228995367634,324.9228995367634,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_00398,MAD,BIL,325.6289228788881,325.6289228788881,stranded,0,0.0,0.0,0.0,412.69345743329603,20,68.25,68.25,0.0,no_reachable_station
TRIP_00570,MAD,BIL,325.9402215226141,325.9402215226141,stranded,0,0.0,0.0,0.0,410.0,7,57.6,57.6,0.0,no_reachable_station
TRIP_08826,BUR,MAD,327.6795529458898,327.6795529458898,stranded,0,0.0,0.0,0.0,240.0,2,58.5,58.5,0.0,no_reachable_station
TRIP_08521,BUR,MAD,328.13524830271706,328.13524830271706,stranded,0,0.0,0.0,0.0,240.0,2,45.0,45.0,0.0,no_reachable_station
TRIP_06247,SEV,MAD,329.38791474189617,329.38791474189617,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_05951,SEV,MAD,329.9498275016086,329.9498275016086,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_04990,MAD,SEV,330.4114402788812,330.4114402788812,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_06186,SEV,MAD,330.60790057236244,330.60790057236244,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_06105,SEV,MAD,332.1566931817125,332.1566931817125,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_16995,MAD,BIL,332.6266659262665,332.6266659262665,stranded,0,0.0,0.0,0.0,410.3984967449162,10,58.5,58.5,0.0,no_reachable_station
TRIP_05818,SEV,MAD,334.08190598098156,334.08190598098156,stranded,0,0.0,0.0,0.0,540.0,3,57.6,57.6,0.0,no_reachable_station
TRIP_18916,MAD,SEV,334.5257017976738,334.5257017976738,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05275,MAD,SEV,334.5751680769681,334.5751680769681,stranded,0,0.0,0.0,0.0,540.0,8,45.0,45.0,0.0,no_reachable_station
TRIP_00405,MAD,BIL,334.73201706963545,334.73201706963545,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
