agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur
TRIP_00170,ALI,VAL,294.7665692039448,403.87092807641477,completed,1,0.0,14.104358872469936,35.26089718117484,165.0,2,57.39991938160675,58.86668072867175,0.0
TRIP_00179,MUR,VAL,244.2208339134982,411.0228836818888,completed,1,0.0,21.80204976839058,54.50512442097646,250.0,3,69.88940509384706,75.84207197368532,0.0
TRIP_00056,ZAR,BCN,235.4420557896281,414.6285433157789,completed,1,0.0,19.1864875261508,47.966218815377,270.0,4,67.92584911435213,56.37129089344187,0.0
TRIP_00031,MAD,ZAR,267.1274458323697,457.0052656526334,completed,2,0.0,24.877819820263685,55.97509459559329,300.0,3,58.5,47.27025070255391,0.0
TRIP_00044,ZAR,MAD,260.06209725839,462.1678528875907,completed,2,0.0,37.1057556292007,92.76438907300175,300.0,3,45.38822326997879,71.44402349486228,0.0
TRIP_00155,VLD,MAD,356.53605059187043,485.0919702482303,completed,1,0.0,18.555919656359908,41.75081922680979,190.0,2,46.80539063087665,49.99530931485908,0.0
TRIP_00159,VLD,MAD,373.1683546585179,506.3787884409744,completed,1,0.0,23.21043378245652,30.94724504327536,190.0,2,39.2982926793268,34.997245043275356,0.0
TRIP_00161,VAL,ALI,413.5204136276612,508.5204136276612,completed,0,0.0,0.0,0.0,165.0,2,56.36319539456251,23.81100109932556,0.0
TRIP_00173,ALI,VAL,398.3227466639037,509.7241136484988,completed,1,0.0,16.401366984595153,41.003417461487885,165.0,2,41.595892404996476,53.11646612152447,0.0
TRIP_00163,VAL,ALI,368.5874197982431,514.1107649724163,completed,1,0.0,50.523345174173194,42.10278764514433,165.0,2,42.84802715619669,53.254042684262636,0.0
TRIP_00193,BCN,ZAR,334.11081077353157,514.628330881383,completed,2,0.0,20.51752010785148,46.164420242665834,270.0,4,56.66846578427151,50.10293584672207,0.0
TRIP_00061,BCN,ZAR,330.5255256509533,523.1165538612458,completed,2,0.0,32.59102821029262,73.32981347315838,270.0,4,30.921519889719956,47.068037040288665,0.0
TRIP_00194,BCN,ZAR,335.2483053656256,525.6228971287718,completed,2,0.0,30.374591763146174,75.93647940786545,270.0,4,50.27881632044367,70.15949550368683,0.0
TRIP_00160,VAL,ALI,377.40689040569987,526.6306848462875,completed,1,0.0,54.22379444058768,45.186495367156404,165.0,2,41.70323858126158,52.1164953671564,0.0
TRIP_00064,BCN,ZAR,350.7409087428467,530.8623527140285,completed,2,0.0,20.12144397118171,50.30360992795427,270.0,4,56.406302062434555,56.81369078003079,0.0
TRIP_00027,MAD,ZAR,344.4170505900272,532.8597895172176,completed,1,0.0,23.44273892719037,58.60684731797592,300.0,3,70.02418559746562,67.6159671746382,0.0
TRIP_00023,MAD,ZAR,352.41962715744154,545.8905547973649,completed,2,0.0,28.470927639923374,71.17731909980843,300.0,3,75.9811521326427,71.79121138132322,0.0
TRIP_00098,VAL,BCN,314.9328087050962,548.8835345160196,completed,2,0.0,43.950725810923416,47.746761780650836,320.0,4,40.5,33.14028946964768,0.0
TRIP_00032,MAD,ZAR,352.553991903894,549.0302036628665,completed,2,0.0,31.476211758972564,78.69052939743142,300.0,3,36.651714856058014,56.796346131147125,0.0
TRIP_00166,VAL,ALI,418.53043831105845,552.0308846740023,completed,1,0.5803266613578444,37.92011970158602,31.600099751321682,165.0,2,58.093487483358544,59.2223826554497,0.0
TRIP_00043,ZAR,MAD,361.852336491168,561.7049470120174,completed,2,3.144272653926066,31.70833786692343,79.27084466730858,300.0,3,37.796013910804284,55.39729916673057,0.0
TRIP_00157,VLD,MAD,440.7521593227963,571.0051214044593,completed,1,0.0,20.252962081663025,50.63240520415756,190.0,2,65.38306998967411,72.69290161424219,0.0
TRIP_00192,BCN,ZAR,388.6306981742383,575.935245913409,completed,2,0.0,27.304547739170623,68.26136934792656,270.0,4,61.43686888529028,76.20520168954116,0.0
TRIP_00030,MAD,ZAR,386.9878723300901,578.2054697635677,completed,2,0.0,26.217597433477604,58.98959422532461,300.0,3,54.32087581808603,44.69123570145916,0.0
TRIP_00176,MUR,VAL,401.138301803023,578.3212513721528,completed,2,0.0,32.18294956912974,51.498159460733504,250.0,3,59.30351605940036,55.334802125869615,0.0
TRIP_00134,SEV,MAL,439.64545741431243,581.4903081832549,completed,1,0.0,11.84485076894244,26.650914230120488,200.0,3,36.87245380523124,25.65241871766307,0.0
TRIP_00138,MAL,SEV,450.7196002590213,600.0414491221212,completed,1,0.0,19.32184886309993,48.304622157749826,200.0,3,48.60004726312643,57.976238724992506,0.0
TRIP_00046,ZAR,MAD,423.09218972579544,620.0910917553034,completed,2,0.0,31.99890202950791,79.99725507376976,300.0,3,39.136829589321614,54.78289389467443,0.0
TRIP_00034,ZAR,MAD,425.6746329890523,623.6528392937876,completed,2,0.0,32.97820630473515,82.44551576183787,300.0,3,39.56718458315748,56.80079958890667,0.0
TRIP_00025,MAD,ZAR,439.7214686438604,633.084228191379,completed,2,3.511878639804877,24.850880907713744,55.91448204235592,300.0,3,57.7371024236159,48.716761997838624,0.0
TRIP_00060,BCN,ZAR,461.8777437834395,642.6041355182931,completed,2,0.0,20.726391734853713,46.63438140342085,270.0,4,58.5,47.1911539306578,0.0
TRIP_00139,MAL,SEV,490.66193022767214,645.6376356333897,completed,2,0.0,24.9757054057175,33.30094054095666,200.0,3,39.90277789621904,32.169522600078814,0.0
TRIP_00188,COR,MAD,321.01728436507767,646.3996678226981,completed,3,0.0,40.38238345762052,88.97326600545261,470.0,4,58.5,46.99271630215964,0.0
TRIP_00040,ZAR,MAD,456.49266487752885,658.9517318351349,completed,2,14.15211139280234,23.306955564803715,52.44065002080836,300.0,3,58.5,50.359553300839046,0.0
TRIP_00053,ZAR,BCN,469.57205899804205,659.7280722078622,completed,2,0.0,30.156013209820095,67.8510297220952,270.0,4,49.442954143240414,49.65590356681365,0.0
TRIP_00057,ZAR,BCN,498.2852803789127,667.8923003947241,completed,1,0.0,9.607020015811381,21.61579503557561,270.0,4,58.10343768370892,26.84234761123363,0.0
TRIP_00184,MAD,COR,345.04145730312155,669.4391696040359,completed,3,0.0,39.39771230091442,86.7577559028639,470.0,4,58.5,48.9793002935205,0.0
TRIP_00096,BCN,VAL,432.3485849657375,670.696633303741,completed,1,0.0,48.348048338003494,40.290040281669576,320.0,4,56.93801358416488,31.948187307684996,0.0
TRIP_00063,BCN,ZAR,505.43032720097096,682.7858374592475,completed,1,0.0,17.35551025827657,43.38877564569143,270.0,4,60.638005493074225,55.30024689319852,0.0
TRIP_00069,BCN,ZAR,512.4323836253859,690.7542355785083,completed,1,0.0,18.321851953122398,45.80462988280599,270.0,4,61.495878200609454,54.144509512367854,0.0
TRIP_00164,VAL,ALI,549.2203566748847,694.6316079176282,completed,1,0.0,50.411251242743575,42.009376035619646,165.0,2,67.75232572843986,75.31005201727305,0.0
TRIP_00146,MAD,BIL,342.566401400148,702.1311835342244,completed,3,0.0,69.56478213407641,85.20733895278924,480.0,5,58.5,47.454467054727665,0.0
TRIP_00180,MAD,COR,378.9906598866933,706.0673348764541,completed,3,7.891006394508622,34.185668595252125,83.22868761716259,470.0,4,69.12428316633765,56.53057382101342,0.0
TRIP_00052,ZAR,BCN,524.9230963653685,709.3626715405685,completed,1,0.0,24.439575175200083,32.58610023360011,270.0,4,40.5,32.58610023360011,0.0
TRIP_00145,MAD,BIL,404.85908653258105,729.0854862231444,completed,2,0.0,34.22639969056331,85.56599922640828,480.0,5,84.64281329755171,75.6025179871061,0.0
TRIP_00185,MAD,COR,399.674389809372,729.4254920420007,completed,3,0.0,44.75110223262877,111.87775558157193,470.0,4,71.6582506613824,77.58622980526536,0.0
TRIP_00083,VAL,MAD,407.95512795859435,730.0628948657397,completed,2,0.0,32.10776690714539,80.26941726786347,480.0,5,69.3,55.75494890194942,0.0
TRIP_00089,VAL,MAD,430.151746086597,744.3856566291156,completed,1,0.0,24.233910542518604,32.311880723358136,480.0,5,40.5,32.311880723358136,0.0
TRIP_00095,BCN,VAL,521.3676020317572,749.957150349143,completed,2,0.0,38.58954831738582,42.546593903307446,320.0,4,58.5,32.33232097277788,0.0
TRIP_00079,MAD,VAL,411.02687644334236,755.8021404381976,completed,3,0.0,54.775263994855166,102.89508806038145,480.0,5,46.74839332789442,58.02949510523343,0.0
TRIP_00086,VAL,MAD,393.1379500644357,761.3842340727899,completed,2,0.0,78.24628400835415,81.45397772847429,480.0,5,43.10039714899505,27.94569676586348,0.0
TRIP_00099,VAL,BCN,526.8657306552686,762.8019574881828,completed,2,0.0,45.93622683291416,49.82911671851341,320.0,4,40.26906291742559,34.2810114773018,0.0
TRIP_00077,MAD,VAL,428.63338100144085,765.2091673114164,completed,3,0.0,46.575786309975655,83.5448921436131,480.0,5,57.183746952883865,50.89622076460237,0.0
TRIP_00118,SEV,MAD,359.65000346602824,771.460781112417,completed,2,0.0,46.81077764638874,61.10791858228176,610.0,5,40.5,31.87346421624403,0.0
TRIP_00181,MAD,COR,444.2619648237779,773.8987852632151,completed,3,0.0,44.63682043943729,109.35656722762548,470.0,4,39.825970548064426,53.32932311357654,0.0
TRIP_00001,MAD,BCN,398.7668387148626,774.2716494119206,completed,2,0.0,50.50481069705811,66.03329598317426,570.0,6,40.5,33.0807600726758,0.0
TRIP_00014,BCN,MAD,399.58590476666063,774.5385349626525,completed,4,0.0,49.952630195991816,108.61922439259449,570.0,6,58.5,49.204227074509696,0.0
TRIP_00104,MAD,SEV,385.4304618266417,775.4537855065539,completed,1,0.0,25.02332367991224,33.36443157321632,610.0,5,40.5,33.36443157321632,0.0
TRIP_00144,MAD,BIL,479.096506119552,793.2853187932722,completed,2,0.0,24.188812673720143,60.47203168430036,480.0,5,69.23013844833118,53.591378061328726,0.0
TRIP_00110,MAD,SEV,389.07037292047477,793.6715910751682,completed,3,0.0,39.6012181546934,99.0030453867335,610.0,5,69.3,59.13040721732167,0.0
TRIP_00195,BCN,ZAR,606.1432161106985,797.0705311795458,completed,2,0.0,30.9273150688473,77.31828767211825,270.0,4,39.45898726223443,58.09412050406107,0.0
TRIP_00026,MAD,ZAR,621.0381921908796,809.0710763649241,completed,2,0.0,23.03288417404456,57.58221043511141,300.0,3,59.16581143493467,57.88713911478555,0.0
TRIP_00019,BCN,MAD,430.3366711097137,813.0228105871585,completed,4,0.0,57.68613947744494,126.01962027586401,570.0,6,57.962761069952776,50.19407719156479,0.0
TRIP_00115,SEV,MAD,391.0804161471317,814.2051291940128,completed,4,0.0,58.124713046881055,127.00641080709528,610.0,5,44.988616562421456,46.41316841603444,0.0
TRIP_00111,MAD,SEV,405.02696630352995,816.1164499639737,completed,3,2.8801493164713747,43.20933434397237,107.9368518019655,610.0,5,69.3,58.6944374118329,0.0
TRIP_00085,VAL,MAD,446.75175328302305,817.5166371168224,completed,2,0.0,80.76488383379933,100.04422162293093,480.0,5,55.9758259823912,75.80825480645798,0.0
TRIP_00003,MAD,BCN,448.6796336334845,818.7905170520368,completed,3,0.0,45.11088341855219,99.41974510338429,570.0,6,36.14219779619632,26.68831440397546,0.0
TRIP_00004,MAD,BCN,457.18618154253176,819.1478722585634,completed,3,0.0,36.96169071603164,90.16677414837616,570.0,6,69.3,36.841686073900405,0.0
TRIP_00009,BCN,MAD,476.65964723398844,846.7610744249148,completed,4,0.0,45.10142719092639,110.32829829531761,570.0,6,58.90147292106418,56.90680708008509,0.0
TRIP_00022,MAD,ZAR,653.6638111472067,861.5995506237227,completed,2,0.0,42.935739476516005,57.24765263535468,300.0,3,40.5,33.72541830762406,0.0
TRIP_00006,MAD,BCN,462.36789686258055,868.3955504388747,completed,3,10.550446448323328,70.47720712797087,91.3567062781547,570.0,6,37.60418272590681,32.80208998748932,0.0
TRIP_00128,MAL,MAD,338.79512800326717,917.9079190883938,completed,6,0.0,84.11279108512669,181.70539284476087,810.0,7,29.762876268351324,44.33432283276959,0.0
TRIP_00112,SEV,MAD,506.3556851919137,921.2197779134436,completed,4,0.0,49.86409272152993,120.18926406188935,610.0,5,69.3,52.49797021054094,0.0
TRIP_00072,MAD,VAL,578.9133492996177,925.4096911592637,completed,2,0.0,56.49634185964598,70.43817250832161,480.0,5,90.0,67.17233629290271,0.0
TRIP_00152,MAD,VLD,778.3692442196849,936.0625506324434,completed,1,0.0,47.69330641275847,39.74442201063206,190.0,2,49.21946360292128,45.59442201063206,0.0
TRIP_00108,MAD,SEV,538.0179120852107,947.6489424873537,completed,4,0.0,44.631030402142954,109.13458979811071,610.0,5,68.93333518893269,57.66311459672367,0.0
TRIP_00007,MAD,BCN,593.7811511617512,953.7986444819061,completed,3,0.0,35.017493320154976,76.90213163091056,570.0,6,58.5,31.17960149159459,0.0
TRIP_00127,MAL,MAD,397.1641233404447,959.2294187757703,completed,3,0.0,67.06529543532577,164.76001278186283,810.0,7,60.25165476284011,72.00914610565175,0.0
TRIP_00114,SEV,MAD,566.7403470721367,961.0707646760663,completed,2,0.0,29.330417603929615,37.8373294618193,610.0,5,37.6197315209998,34.9570609828191,0.0
TRIP_00154,MAD,VLD,823.1647528958932,968.9996808643025,completed,1,0.0,35.83492796840929,29.86243997367441,190.0,2,40.5,30.701397134833112,0.0
TRIP_00132,MAL,MAD,416.21252900737005,974.0210843862151,completed,4,0.0,62.80855537884503,154.11816264066096,810.0,7,90.0,75.15242260424523,0.0
TRIP_00133,MAL,MAD,431.7073296653027,1002.9718185367383,completed,5,0.0,76.26448887143565,165.93380963814957,810.0,7,57.639660126681946,49.67644114188332,0.0
TRIP_00054,ZAR,BCN,825.2767520732423,1005.6661095337341,completed,1,0.0,20.389357460491855,50.97339365122964,270.0,4,73.04725956865536,74.87319846401189,0.0
TRIP_00049,ZAR,MAD,829.03062364604,1014.3405423024774,completed,2,0.0,20.30991865643741,45.69731697698417,300.0,3,56.80189164476128,47.91211089762464,0.0
TRIP_00174,VAL,MUR,852.1982638583306,1040.8771393609736,completed,1,0.0,43.678875502643095,36.39906291886925,250.0,3,54.99171686496368,41.858927048406215,0.0
TRIP_00011,BCN,MAD,654.0549998931795,1046.8655320330736,completed,4,13.915816418304644,53.89471572158955,130.2658215620384,570.0,6,69.3,58.2936821333706,0.0
TRIP_00075,MAD,VAL,709.1140522511681,1047.7556277802219,completed,3,0.0,48.64157552905376,98.22636626476194,480.0,5,69.3,56.998440830325784,0.0
TRIP_00175,MUR,VAL,859.193240630836,1053.8322730891803,completed,2,0.0,49.63903245834435,52.5306669499051,250.0,3,40.5,35.13538972314161,0.0
TRIP_00028,MAD,ZAR,861.6514650974299,1055.6608834233552,completed,2,0.0,29.009418325925374,65.27119123333209,300.0,3,55.809822138491,49.34493628985339,0.0
