station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
STA_MAD_N,MAD,Madrid Norte HPC,150.0,8,0.39,60,1976.3458821636696,0.0,923.2738392589164,0,0.08014529854678093
STA_MAD_S,MAD,Madrid Sur HPC,150.0,6,0.39,0,0.0,0.0,0.0,0,0.0
STA_BCN_S,BCN,Barcelona Sud HPC,150.0,8,0.41,12,417.1368360991075,0.0,239.0314979626817,0,0.02074926197592723
STA_ZAR_E,ZAR,Zaragoza Est HPC,150.0,4,0.38,48,1763.0265272086615,0.0,770.7047360526485,0,0.13380290556469593
STA_ZAR_W,ZAR,Zaragoza Oste HPC,150.0,4,0.38,0,0.0,0.0,0.0,0,0.0
STA_VAL_N,VAL,Valencia Nord HPC,150.0,6,0.4,20,762.7627085855983,0.0,355.080560374083,0,0.04109728708033368
STA_SEV_N,SEV,Sevilla Norte HPC,150.0,6,0.38,15,445.8725702345346,0.0,212.50624440947496,0,0.024595630139985527
STA_BIL_W,BIL,Bilbao Oeste HPC,150.0,4,0.43,6,200.65074444127575,0.0,85.1148178193865,0,0.01477687809364349
STA_MAL_E,MAL,Málaga Este HPC,150.0,4,0.4,3,94.66715532424107,0.0,46.63292446554303,0,0.008095993830823442
STA_ALI_N,ALI,Alicante Nord HPC,50.0,2,0.42,10,314.8737060606704,1.7756844477760296,379.4161892082883,1,0.131741732363989
STA_MUR_N,MUR,Murcia Norte HPC,50.0,2,0.42,0,0.0,0.0,0.0,0,0.0
STA_COR_E,COR,Córdoba Este HPC,150.0,4,0.37,29,910.7481509571645,0.0,401.46389922950334,0,0.06969859361623322
STA_BUR_S,BUR,Burgos Sur HPC,150.0,4,0.39,9,244.77637434890633,0.0,108.65113357248859,0,0.018863044023001492
STA_VIT_E,VIT,Vitoria Este HPC,50.0,2,0.43,2,53.752432530546,0.0,64.50291903665521,0,0.022396846887727504
STA_PMP_W,PMP,Pamplona Oeste HPC,50.0,2,0.41,2,47.37322392023274,0.0,56.847868704279286,0,0.019738843300096974
STA_LLE_E,LLE,Lleida Est HPC,150.0,4,0.38,0,0.0,0.0,0.0,0,0.0
STA_TAR_N,TAR,Tarragona Nord HPC,150.0,4,0.38,34,876.410490317588,0.0,383.2591615071412,0,0.06653804887276757
STA_CAS_S,CAS,Castellón Sud HPC,50.0,2,0.4,8,226.4401575000231,0.0,276.4314148064793,0,0.09598313014113866
STA_ALB_W,ALB,Albacete Oeste HPC,50.0,2,0.41,15,432.01816877173127,1.818629657014526,528.3940490771272,1,0.18347015592955807
STA_VLD_S,VLD,Valladolid Sur HPC,50.0,2,0.4,11,415.3690228255886,49.805256442745986,509.7389893243909,1,0.1769927046265246
STA_WP_MS,WPT_MAD_SEV,A-4 Waypoint HPC,150.0,2,0.37,34,1125.2887303175362,31.821827302868087,491.4833985931054,2,0.17065395784482826
STA_WP_MB,WPT_MAD_BIL,A-1 Waypoint HPC,150.0,2,0.39,0,0.0,0.0,0.0,0,0.0
STA_A2_CTR,WPT_A2_CTR,A-2 Centro HPC,150.0,2,0.39,48,1276.7604192883578,30.61535729429096,584.8616571755382,2,0.20307696429706187
STA_A4_CTR,WPT_A4_CTR,A-4 Centro HPC,150.0,2,0.38,32,861.7054998216308,11.834272020862727,384.9138240316472,1,0.13365063334432195
STA_A3_MID,WPT_A3_MID,A-3 Tarancón HPC,150.0,2,0.39,6,127.78617161623617,0.0,74.04921672543676,0,0.0257115335852211
STA_A3_VAL,WPT_MAD_VAL,A-3 Cuenca HPC,150.0,2,0.39,12,411.53322553494974,0.0,197.01287714735128,0,0.06840724900949698
STA_A1_MID,WPT_A1_MID,A-1 Lerma HPC,150.0,2,0.4,0,0.0,0.0,0.0,0,0.0
STA_SEV_MAL,WPT_SEV_MAL,AP-4 Estepona HPC,150.0,2,0.38,5,153.69182687105092,0.0,76.2771479259896,0,0.026485120807635276
