agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur
TRIP_00170,ALI,VAL,294.7665692039448,404.1775726136328,completed,1,0.0,14.411003409687975,36.02750852421994,165.0,2,56.63330803856165,58.86668072867175,0.0
TRIP_00179,MUR,VAL,244.2208339134982,411.0228836818888,completed,1,0.0,21.80204976839058,54.50512442097646,250.0,3,69.88940509384706,75.84207197368532,0.0
TRIP_00056,ZAR,BCN,235.4420557896281,414.6285433157789,completed,1,0.0,19.1864875261508,47.966218815377,270.0,4,67.92584911435213,56.37129089344187,0.0
TRIP_00044,ZAR,MAD,260.06209725839,451.7374402732056,completed,2,0.0,26.67534301481561,66.68835753703902,300.0,3,71.46425480594152,71.44402349486228,0.0
TRIP_00031,MAD,ZAR,267.1274458323697,457.0052656526334,completed,2,0.0,24.877819820263685,55.97509459559329,300.0,3,58.5,47.27025070255391,0.0
TRIP_00155,VLD,MAD,356.53605059187043,485.4534085520815,completed,1,0.0,18.917357960211056,42.56405541047488,190.0,2,45.99215444721156,49.99530931485908,0.0
TRIP_00159,VLD,MAD,373.1683546585179,506.3787884409744,completed,1,0.0,23.21043378245652,30.94724504327536,190.0,2,39.2982926793268,34.997245043275356,0.0
TRIP_00161,VAL,ALI,413.5204136276612,508.5204136276612,completed,0,0.0,0.0,0.0,165.0,2,52.469493889991696,19.917299594754745,0.0
TRIP_00173,ALI,VAL,398.3227466639037,509.68544160311114,completed,1,0.0,16.362694939207497,40.90673734801874,165.0,2,41.69257251846562,53.11646612152447,0.0
TRIP_00061,BCN,ZAR,330.5255256509533,510.85945159001034,completed,2,0.0,20.33392593905704,45.751333362878334,270.0,4,58.5,47.068037040288665,0.0
TRIP_00193,BCN,ZAR,334.11081077353157,513.8143156743926,completed,2,0.0,19.703504900861045,44.33288602693735,270.0,4,58.5,50.10293584672207,0.0
TRIP_00163,VAL,ALI,368.5874197982431,515.3061227588345,completed,1,0.0,51.718702960591386,43.09891913382615,165.0,2,41.851895667514874,53.254042684262636,0.0
TRIP_00194,BCN,ZAR,335.2483053656256,518.1003281766541,completed,1,0.0,22.85202281102852,57.13005702757129,270.0,4,69.08523870073782,70.15949550368683,0.0
TRIP_00027,MAD,ZAR,344.4170505900272,523.1848356423945,completed,1,0.0,13.767785052367321,34.419462630918304,300.0,3,64.15280320900843,37.55720009912339,0.0
TRIP_00160,VAL,ALI,377.40689040569987,526.0624632375493,completed,1,0.0,53.65557283184938,44.712977359874486,165.0,2,42.1767565885435,52.1164953671564,0.0
TRIP_00064,BCN,ZAR,350.7409087428467,531.5431232876181,completed,2,0.0,20.802214544771296,52.005536361928236,270.0,4,54.70437562846059,56.81369078003079,0.0
TRIP_00032,MAD,ZAR,352.553991903894,545.4113867926018,completed,2,5.630843738500573,22.226551150207246,55.566377875518114,300.0,3,59.77586637797131,56.796346131147125,0.0
TRIP_00023,MAD,ZAR,352.41962715744154,546.4976035985266,completed,2,0.0,29.077976441084964,72.6949411027124,300.0,3,74.46353012973873,71.79121138132322,0.0
TRIP_00098,VAL,BCN,314.9328087050962,549.5165987477111,completed,2,0.0,44.58379004261487,48.274315307060384,320.0,4,39.97244647359045,33.14028946964768,0.0
TRIP_00043,ZAR,MAD,361.852336491168,551.8559891472908,completed,2,3.751321455087691,21.252331201035112,53.130828002587776,300.0,3,63.93603057552509,55.39729916673057,0.0
TRIP_00166,VAL,ALI,418.53043831105845,552.7405903375293,completed,1,1.7756844477760296,37.43446757869484,31.19538964891237,165.0,2,58.498197585767855,59.2223826554497,0.0
TRIP_00157,VLD,MAD,440.7521593227963,570.8090297775701,completed,1,0.0,20.056870454773897,50.142176136934744,190.0,2,65.87329905689693,72.69290161424219,0.0
TRIP_00192,BCN,ZAR,388.6306981742383,571.4219438074629,completed,1,0.0,22.791245633224555,56.978114083061385,270.0,4,72.72012415015546,76.20520168954116,0.0
TRIP_00030,MAD,ZAR,386.9878723300901,576.3480812382726,completed,2,0.0,24.360208908182507,54.81047004341064,300.0,3,58.5,44.69123570145916,0.0
