station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
STA_MAD_N,MAD,Madrid Norte HPC,150.0,8,0.23399999999999999,63,2045.0170958785866,0.0,955.2649392133213,0,0.08292230375115636
STA_MAD_S,MAD,Madrid Sur HPC,150.0,6,0.39,0,0.0,0.0,0.0,0,0.0
STA_BCN_S,BCN,Barcelona Sud HPC,150.0,8,0.24599999999999997,11,361.0415500424992,0.0,216.59338354003836,0,0.018801508987850553
STA_ZAR_E,ZAR,Zaragoza Est HPC,150.0,4,0.22799999999999998,48,1693.0870004881233,0.0,742.5507507285533,0,0.12891506089037386
STA_ZAR_W,ZAR,Zaragoza Oste HPC,150.0,4,0.22799999999999998,0,0.0,0.0,0.0,0,0.0
STA_VAL_N,VAL,Valencia Nord HPC,150.0,6,0.4,21,788.3199394160825,0.0,365.35413031649784,0,0.04228635767552058
STA_SEV_N,SEV,Sevilla Norte HPC,150.0,6,0.38,16,476.56901755571914,0.0,224.94809523509855,0,0.026035659170729
STA_BIL_W,BIL,Bilbao Oeste HPC,150.0,4,0.43,6,202.05022403496724,0.0,97.51572607344588,0,0.016929813554417687
STA_MAL_E,MAL,Málaga Este HPC,150.0,4,0.4,4,156.67783693954277,0.0,71.43719711166372,0,0.012402291165219397
STA_ALI_N,ALI,Alicante Nord HPC,50.0,2,0.42,11,342.7877205287155,0.5803266613578444,412.91300656994247,1,0.14337257172567447
STA_MUR_N,MUR,Murcia Norte HPC,50.0,2,0.42,0,0.0,0.0,0.0,0,0.0
STA_COR_E,COR,Córdoba Este HPC,150.0,4,0.37,28,855.5592263179459,0.0,378.77506481390935,0,0.06575955986352593
STA_BUR_S,BUR,Burgos Sur HPC,150.0,4,0.39,8,209.64786105479212,0.0,90.98552342227107,0,0.015796097816366504
STA_VIT_E,VIT,Vitoria Este HPC,50.0,2,0.43,3,107.3705139600603,0.0,131.1091328811046,0,0.04552400447260577
STA_PMP_W,PMP,Pamplona Oeste HPC,50.0,2,0.41,1,20.69140112686845,0.0,24.82968135224214,0,0.008621417136195188
STA_LLE_E,LLE,Lleida Est HPC,150.0,4,0.22799999999999998,0,0.0,0.0,0.0,0,0.0
STA_TAR_N,TAR,Tarragona Nord HPC,150.0,4,0.38,42,1353.480716094699,0.0,584.7726601453625,0,0.10152303127523654
STA_CAS_S,CAS,Castellón Sud HPC,50.0,2,0.4,7,209.5932309359434,0.0,256.2151029295837,0,0.08896357740610544
STA_ALB_W,ALB,Albacete Oeste HPC,50.0,2,0.41,15,448.54878295869753,0.16561494715665503,548.2307861014867,1,0.190357911840794
STA_VLD_S,VLD,Valladolid Sur HPC,50.0,2,0.4,12,435.4039997015922,56.58874745875892,532.2210153100388,2,0.184798963649319
STA_WP_MS,WPT_MAD_SEV,A-4 Waypoint HPC,150.0,2,0.37,35,1111.9608395723542,10.771155710979997,486.00900844388957,1,0.1687531279319061
STA_WP_MB,WPT_MAD_BIL,A-1 Waypoint HPC,150.0,2,0.39,0,0.0,0.0,0.0,0,0.0
STA_A2_CTR,WPT_A2_CTR,A-2 Centro HPC,150.0,2,0.39,48,1510.569346858803,56.2354049637799,680.7795955468596,2,0.23638180400932624
STA_A4_CTR,WPT_A4_CTR,A-4 Centro HPC,150.0,2,0.38,32,970.812778673644,5.495828190271823,417.7964149729964,1,0.14506819964340154
STA_A3_MID,WPT_A3_MID,A-3 Tarancón HPC,150.0,2,0.39,6,130.8736279931999,0.0,76.36480900815955,0,0.026515558683388733
STA_A3_VAL,WPT_MAD_VAL,A-3 Cuenca HPC,150.0,2,0.39,12,410.63247458501553,0.0,196.6525767673776,0,0.068282144710895
STA_A1_MID,WPT_A1_MID,A-1 Lerma HPC,150.0,2,0.4,0,0.0,0.0,0.0,0,0.0
STA_SEV_MAL,WPT_SEV_MAL,AP-4 Estepona HPC,150.0,2,0.38,6,217.2502432498146,0.0,106.69965858030922,0,0.037048492562607366
