station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_00,AP-2_EC00,AP-2 existing cluster 0,350.0,102,0.4,84,3162.269230632222,0.0,1430.859589694797,0,0.004870845553154947
EC_AP-2_01,AP-2_EC01,AP-2 existing cluster 1,150.0,119,0.4,10,395.3714043066948,0.0,174.92004245370092,0,0.0005103876122015083
EC_AP-2_02,AP-2_EC02,AP-2 existing cluster 2,150.0,56,0.4,192,6749.619537189621,0.0,2966.1587389088686,0,0.0183913612283536
EC_AP-2_03,AP-2_EC03,AP-2 existing cluster 3,172.0,118,0.4,6,191.07166461443308,0.0,92.66842358318817,0,0.00027268250818970153
EC_AP-2_04,AP-2_EC04,AP-2 existing cluster 4,150.0,56,0.4,121,4398.298309437262,0.0,2050.6416369689096,0,0.012714791895888576
EC_AP-2_05,AP-2_EC05,AP-2 existing cluster 5,360.0,105,0.4,3,132.85279557426117,0.0,55.74410446952423,0,0.00018433896980662775
EC_AP-2_06,AP-2_EC06,AP-2 existing cluster 6,300.0,76,0.4,51,1628.5718174170802,0.0,876.6385491684208,0,0.004005110330630578
EC_AP-2_07,AP-2_EC07,AP-2 existing cluster 7,320.0,101,0.4,48,1522.6099047393247,0.0,847.0181688354683,0,0.002911916146986621
EC_AP-2_08,AP-2_EC08,AP-2 existing cluster 8,350.0,144,0.4,3375,104931.62947456258,0.0,45357.04456546865,0,0.10936787366287772
EC_AP-2_09,AP-2_EC09,AP-2 existing cluster 9,300.0,72,0.4,2495,93748.89420754567,6522.30594904712,36024.642713986585,86,0.173729951359889
EC_AP-2_10,AP-2_EC10,AP-2 existing cluster 10,250.0,94,0.4,1348,44042.64755100368,0.0,21535.361630637657,0,0.07954846938031049
EC_AP-2_11,AP-2_EC11,AP-2 existing cluster 11,350.0,68,0.4,1197,41831.1951243697,0.0,13751.39815302093,0,0.07021751507874249
EC_AP-2_12,AP-2_EC12,AP-2 existing cluster 12,350.0,88,0.4,837,27611.80909097362,0.0,11912.602218322238,0,0.047003638803354786
EC_AP-2_13,AP-2_EC13,AP-2 existing cluster 13,350.0,89,0.4,108,4099.680637926199,0.0,1911.3617771847357,0,0.0074569357724123585
EC_AP-2_14,AP-2_EC14,AP-2 existing cluster 14,300.0,91,0.4,569,21858.294688865153,0.0,10394.592345382385,0,0.03966190607975574
EC_AP-2_15,AP-2_EC15,AP-2 existing cluster 15,320.0,98,0.4,61,2358.8872065523133,0.0,1111.8037163049457,0,0.00393921384745233
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,444,22073.8564425975,512272.0428044017,9867.997700697424,3732,0.8565970226299847
EC_A-2_00,A-2_EC00,A-2 existing cluster 0,350.0,102,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_01,A-2_EC01,A-2 existing cluster 1,150.0,119,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_02,A-2_EC02,A-2 existing cluster 2,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_03,A-2_EC03,A-2 existing cluster 3,172.0,118,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_04,A-2_EC04,A-2 existing cluster 4,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_05,A-2_EC05,A-2 existing cluster 5,360.0,105,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_06,A-2_EC06,A-2 existing cluster 6,300.0,76,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_07,A-2_EC07,A-2 existing cluster 7,320.0,101,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_08,A-2_EC08,A-2 existing cluster 8,350.0,144,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_09,A-2_EC09,A-2 existing cluster 9,300.0,72,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_10,A-2_EC10,A-2 existing cluster 10,250.0,94,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_11,A-2_EC11,A-2 existing cluster 11,350.0,68,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_12,A-2_EC12,A-2 existing cluster 12,350.0,88,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_13,A-2_EC13,A-2 existing cluster 13,350.0,89,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_14,A-2_EC14,A-2 existing cluster 14,300.0,91,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_15,A-2_EC15,A-2 existing cluster 15,320.0,98,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_00,AP-7_EC00,AP-7 existing cluster 0,320.0,141,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_01,AP-7_EC01,AP-7 existing cluster 1,350.0,170,0.4,2210,98415.51693976446,0.0,36432.75482233833,0,0.07441330641817469
EC_AP-7_02,AP-7_EC02,AP-7 existing cluster 2,150.0,158,0.4,621,19044.698886106362,0.0,9162.54657321692,0,0.020135694825107506
EC_AP-7_03,AP-7_EC03,AP-7 existing cluster 3,360.0,186,0.4,198,6208.18348418948,0.0,2983.9440413705534,0,0.005570385381889474
EC_AP-7_04,AP-7_EC04,AP-7 existing cluster 4,1000.0,170,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_05,AP-7_EC05,AP-7 existing cluster 5,300.0,202,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_06,AP-7_EC06,AP-7 existing cluster 6,250.0,144,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_07,AP-7_EC07,AP-7 existing cluster 7,250.0,143,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_08,AP-7_EC08,AP-7 existing cluster 8,150.0,158,0.4,0,0.0,0.0,0.0,0,0.0
