station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_00,AP-2_EC00,AP-2 existing cluster 0,350.0,102,0.4,84,3162.269230632222,0.0,1430.859589694797,0,0.004870845553154947
EC_AP-2_01,AP-2_EC01,AP-2 existing cluster 1,150.0,119,0.4,11,442.9852086786979,0.0,193.96556420250218,0,0.0005659592793023523
EC_AP-2_02,AP-2_EC02,AP-2 existing cluster 2,150.0,56,0.4,188,6552.9831067809,0.0,2878.926333358085,0,0.017850485697904792
EC_AP-2_03,AP-2_EC03,AP-2 existing cluster 3,172.0,118,0.4,7,238.7810749349012,0.0,109.31124113683985,0,0.0003216550174695146
EC_AP-2_04,AP-2_EC04,AP-2 existing cluster 4,150.0,56,0.4,748,27781.302246553405,0.0,12907.086219160436,0,0.08002905641840548
EC_AP-2_05,AP-2_EC05,AP-2 existing cluster 5,360.0,105,0.4,20,983.0552402120527,0.0,368.7516632709006,0,0.0012194168758958353
EC_AP-2_06,AP-2_EC06,AP-2 existing cluster 6,300.0,76,0.4,61,2105.184667269746,0.0,1010.9951453792995,0,0.004618947118874723
EC_AP-2_07,AP-2_EC07,AP-2 existing cluster 7,320.0,101,0.4,62,2241.286694203157,0.0,1105.114755121229,0,0.003799211891918417
EC_AP-2_08,AP-2_EC08,AP-2 existing cluster 8,350.0,144,0.4,3847,117563.03304712918,0.0,49413.08905948415,0,0.11914807354235182
EC_AP-2_09,AP-2_EC09,AP-2 existing cluster 9,300.0,72,0.4,2601,91476.55625235682,4219.7967630376315,35276.96093379819,65,0.1701242328983323
EC_AP-2_10,AP-2_EC10,AP-2 existing cluster 10,250.0,94,0.4,1577,55122.222363687426,0.0,25016.599602089394,0,0.09240765219447915
EC_AP-2_11,AP-2_EC11,AP-2 existing cluster 11,350.0,68,0.4,1334,51759.30473412997,0.0,18111.940890293754,0,0.09248335830419604
EC_AP-2_12,AP-2_EC12,AP-2 existing cluster 12,350.0,88,0.4,1485,52014.236612199944,0.0,22159.39981354876,0,0.08743450052694429
EC_AP-2_13,AP-2_EC13,AP-2 existing cluster 13,350.0,89,0.4,114,4358.725676074479,0.0,2029.439087748019,0,0.007917599437219175
EC_AP-2_14,AP-2_EC14,AP-2 existing cluster 14,300.0,91,0.4,569,21858.294688865153,0.0,10394.592345382385,0,0.03966190607975574
EC_AP-2_15,AP-2_EC15,AP-2 existing cluster 15,320.0,98,0.4,61,2358.8872065523133,0.0,1111.8037163049457,0,0.00393921384745233
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,465,21935.17628644729,535697.6111418928,9852.608223640096,3483,0.8552611305243139
EC_A-2_00,A-2_EC00,A-2 existing cluster 0,350.0,102,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_01,A-2_EC01,A-2 existing cluster 1,150.0,119,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_02,A-2_EC02,A-2 existing cluster 2,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_03,A-2_EC03,A-2 existing cluster 3,172.0,118,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_04,A-2_EC04,A-2 existing cluster 4,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_05,A-2_EC05,A-2 existing cluster 5,360.0,105,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_06,A-2_EC06,A-2 existing cluster 6,300.0,76,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_07,A-2_EC07,A-2 existing cluster 7,320.0,101,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_08,A-2_EC08,A-2 existing cluster 8,350.0,144,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_09,A-2_EC09,A-2 existing cluster 9,300.0,72,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_10,A-2_EC10,A-2 existing cluster 10,250.0,94,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_11,A-2_EC11,A-2 existing cluster 11,350.0,68,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_12,A-2_EC12,A-2 existing cluster 12,350.0,88,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_13,A-2_EC13,A-2 existing cluster 13,350.0,89,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_14,A-2_EC14,A-2 existing cluster 14,300.0,91,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_15,A-2_EC15,A-2 existing cluster 15,320.0,98,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_00,AP-7_EC00,AP-7 existing cluster 0,320.0,141,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_01,AP-7_EC01,AP-7 existing cluster 1,350.0,170,0.4,1899,81585.88146864345,0.0,30428.22321606575,0,0.06214914872562449
EC_AP-7_02,AP-7_EC02,AP-7 existing cluster 2,150.0,158,0.4,653,20820.404534660178,0.0,9852.125203753756,0,0.021651119030752803
EC_AP-7_03,AP-7_EC03,AP-7 existing cluster 3,360.0,186,0.4,424,15561.103413334298,0.0,6922.682004724905,0,0.012923166824829945
EC_AP-7_04,AP-7_EC04,AP-7 existing cluster 4,1000.0,170,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_05,AP-7_EC05,AP-7 existing cluster 5,300.0,202,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_06,AP-7_EC06,AP-7 existing cluster 6,250.0,144,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_07,AP-7_EC07,AP-7 existing cluster 7,250.0,143,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_08,AP-7_EC08,AP-7 existing cluster 8,150.0,158,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_09,AP-7_EC09,AP-7 existing cluster 9,320.0,136,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_10,AP-7_EC10,AP-7 existing cluster 10,250.0,198,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_11,AP-7_EC11,AP-7 existing cluster 11,240.0,165,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_12,AP-7_EC12,AP-7 existing cluster 12,200.0,246,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_13,AP-7_EC13,AP-7 existing cluster 13,350.0,182,0.4,3853,105824.67067412497,0.0,42248.77783765985,0,0.0806028270712375
EC_AP-7_14,AP-7_EC14,AP-7 existing cluster 14,150.0,132,0.4,1752,55834.0601434,0.0,24707.305389260888,0,0.06499185971501707
EC_AP-7_15,AP-7_EC15,AP-7 existing cluster 15,350.0,156,0.4,176,6459.461712857265,0.0,2822.443026463157,0,0.006282147049641998
EC_A-7_00,A-7_EC00,A-7 existing cluster 0,320.0,141,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_01,A-7_EC01,A-7 existing cluster 1,350.0,170,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_02,A-7_EC02,A-7 existing cluster 2,150.0,158,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_03,A-7_EC03,A-7 existing cluster 3,360.0,186,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_04,A-7_EC04,A-7 existing cluster 4,1000.0,170,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_05,A-7_EC05,A-7 existing cluster 5,300.0,202,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_06,A-7_EC06,A-7 existing cluster 6,250.0,144,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_07,A-7_EC07,A-7 existing cluster 7,250.0,143,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_08,A-7_EC08,A-7 existing cluster 8,150.0,158,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_09,A-7_EC09,A-7 existing cluster 9,320.0,136,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-7_10,A-7_EC10,A-7 existing cluster 10,250.0,198,0.4,0,0.0,0.0,0.0,0,0.0
