agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur
TRIP_35119,MUR,MAL,240.1569732801289,240.1569732801289,stranded,0,0.0,0.0,0.0,355.3814786779781,8,36.56991171731519,36.56991171731519,0.0
TRIP_21210,VLD,MAD,249.16467862660477,249.16467862660477,stranded,0,0.0,0.0,0.0,190.0,2,35.79488063383411,35.79488063383411,0.0
TRIP_36788,MUR,MAL,257.9023285843197,257.9023285843197,stranded,0,0.0,0.0,0.0,355.3814786779781,8,31.997734306559288,31.997734306559288,0.0
TRIP_20678,VLD,MAD,262.66995995170737,262.66995995170737,stranded,0,0.0,0.0,0.0,190.0,2,36.243185260769756,36.243185260769756,0.0
TRIP_34831,MUR,MAL,282.1147600350824,282.1147600350824,stranded,0,0.0,0.0,0.0,355.3814786779781,8,35.213582135170554,35.213582135170554,0.0
TRIP_38023,MUR,MAL,292.1916196144179,292.1916196144179,stranded,0,0.0,0.0,0.0,355.3814786779781,8,34.19888206273512,34.19888206273512,0.0
TRIP_37721,MUR,MAL,299.099480508713,299.099480508713,stranded,0,0.0,0.0,0.0,355.3814786779781,8,37.97585253851399,37.97585253851399,0.0
TRIP_36758,MUR,MAL,301.91119579019943,301.91119579019943,stranded,0,0.0,0.0,0.0,355.3814786779781,8,36.30000907714533,36.30000907714533,0.0
TRIP_37541,MUR,MAL,303.0241064556831,303.0241064556831,stranded,0,0.0,0.0,0.0,355.3814786779781,8,38.541307863443315,38.541307863443315,0.0
TRIP_34672,MUR,MAL,303.6754666776599,303.6754666776599,stranded,0,0.0,0.0,0.0,355.3814786779781,8,34.33491410887913,34.33491410887913,0.0
TRIP_34984,MUR,MAL,303.76001795512474,303.76001795512474,stranded,0,0.0,0.0,0.0,355.3814786779781,8,35.56332377417641,35.56332377417641,0.0
TRIP_18479,MAL,COR,191.89121845972176,303.8841827848367,completed,0,0.0,0.0,0.0,186.65494054185825,15,51.36375314455668,10.160117501561274,0.0
TRIP_18479,MAL,COR,191.89121845972176,303.8841827848367,completed,0,0.0,0.0,0.0,186.65494054185825,15,51.36375314455668,27.915842443362585,0.0
TRIP_18479,MAL,COR,191.89121845972176,303.8841827848367,completed,0,0.0,0.0,0.0,186.65494054185825,15,51.36375314455668,22.099466835960165,0.0
TRIP_24350,VLD,SEV,304.7832317533129,304.7832317533129,stranded,0,0.0,0.0,0.0,595.0,8,18.42047840336438,18.42047840336438,0.0
TRIP_19914,MAD,VLD,308.7566883726029,308.7566883726029,stranded,0,0.0,0.0,0.0,190.0,2,42.64303685500899,42.64303685500899,0.0
TRIP_34926,MUR,MAL,308.82808922312506,308.82808922312506,stranded,0,0.0,0.0,0.0,355.3814786779781,8,39.60995660642955,39.60995660642955,0.0
TRIP_45470,VIG,ACO,231.5281359722401,309.730519958273,completed,0,0.0,0.0,0.0,156.40476797206586,20,37.117259837675725,23.296436398059193,0.0
TRIP_45470,VIG,ACO,231.5281359722401,309.730519958273,completed,0,0.0,0.0,0.0,156.40476797206586,20,37.117259837675725,5.901076398356075,0.0
TRIP_24988,VLD,SEV,310.23114605344244,310.23114605344244,stranded,0,0.0,0.0,0.0,595.0,8,18.579349958082357,18.579349958082357,0.0
TRIP_20030,VLD,MAD,314.7233152445733,314.7233152445733,stranded,0,0.0,0.0,0.0,190.0,2,34.47114981432172,34.47114981432172,0.0
TRIP_21069,VLD,MAD,315.3936168266685,315.3936168266685,stranded,0,0.0,0.0,0.0,190.0,2,33.02347758338718,33.02347758338718,0.0
TRIP_20585,VLD,MAD,319.76764425356487,319.76764425356487,stranded,0,0.0,0.0,0.0,190.0,2,37.124544880772696,37.124544880772696,0.0
TRIP_49377,VLD,SEV,320.47855678519227,320.47855678519227,stranded,0,0.0,0.0,0.0,595.0,8,17.128603677549307,17.128603677549307,0.0
TRIP_18852,MAD,VLD,321.3692328374481,321.3692328374481,stranded,0,0.0,0.0,0.0,190.0,2,33.42555781855691,33.42555781855691,0.0
TRIP_20828,VLD,MAD,323.4770836744729,323.4770836744729,stranded,0,0.0,0.0,0.0,190.0,2,38.30120963831439,38.30120963831439,0.0
TRIP_34938,MUR,MAL,324.8315176839221,324.8315176839221,stranded,0,0.0,0.0,0.0,355.3814786779781,8,31.867143619410513,31.867143619410513,0.0
TRIP_45057,ACO,VIG,247.66591965254062,325.86830363857354,completed,0,0.0,0.0,0.0,156.40476797206586,20,46.38744743775111,16.784721079345626,0.0
TRIP_34706,MUR,MAL,326.70148424573165,326.70148424573165,stranded,0,0.0,0.0,0.0,355.3814786779781,8,31.150421666013802,31.150421666013802,0.0
TRIP_37404,MUR,MAL,328.44961452988133,328.44961452988133,stranded,0,0.0,0.0,0.0,355.3814786779781,8,30.47672445543484,30.47672445543484,0.0
