station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_00,AP-2_EC00,AP-2 existing cluster 0,350.0,102,0.4,52,2066.844207443005,0.0,840.4026910682558,0,0.0028608479407279948
EC_AP-2_01,AP-2_EC01,AP-2 existing cluster 1,150.0,119,0.4,13,542.4568494320164,0.0,230.6533258401524,0,0.0006730080702618826
EC_AP-2_02,AP-2_EC02,AP-2 existing cluster 2,150.0,56,0.4,237,10153.790056777563,0.0,4210.660980346725,0,0.02610776897536412
EC_AP-2_03,AP-2_EC03,AP-2 existing cluster 3,172.0,118,0.4,3,111.27165800140217,0.0,49.27106340906964,0,0.0001449831197300778
EC_AP-2_04,AP-2_EC04,AP-2 existing cluster 4,150.0,56,0.4,7905,288712.35350378253,6667909.034690541,135747.93599203887,5325,0.8416910713792093
EC_AP-2_05,AP-2_EC05,AP-2 existing cluster 5,360.0,105,0.4,82,4102.498794804029,0.0,1498.8983367889853,0,0.00495667439414347
EC_AP-2_06,AP-2_EC06,AP-2 existing cluster 6,300.0,76,0.4,45,1814.0157539734137,0.0,682.2160431922574,0,0.003116849612537726
EC_AP-2_07,AP-2_EC07,AP-2 existing cluster 7,320.0,101,0.4,106,4794.494537281921,0.0,1839.2945127254764,0,0.006323207208214646
EC_AP-2_08,AP-2_EC08,AP-2 existing cluster 8,350.0,144,0.4,20708,806294.4466651112,18221251.008994743,341167.1379660762,18576,0.8226445263456699
EC_AP-2_09,AP-2_EC09,AP-2 existing cluster 9,300.0,72,0.4,11092,470079.8556470907,10335773.835628046,165983.82161354346,15404,0.8004621026887706
EC_AP-2_10,AP-2_EC10,AP-2 existing cluster 10,250.0,94,0.4,12046,491576.25131531304,9294604.214091213,221069.05840125433,6978,0.8165966991772101
EC_AP-2_11,AP-2_EC11,AP-2 existing cluster 11,350.0,68,0.4,10415,439681.78406452097,6662051.277937444,162829.67586201365,4198,0.8314423808313606
EC_AP-2_12,AP-2_EC12,AP-2 existing cluster 12,350.0,88,0.4,14142,511384.6417599812,7686665.46038496,214744.90239822882,5658,0.8473204797909912
