station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_00,AP-2_EC00,AP-2 existing cluster 0,350.0,102,0.4,61,2420.7793167524837,0.0,980.9328335894774,0,0.0033392321404870553
EC_AP-2_01,AP-2_EC01,AP-2 existing cluster 1,150.0,119,0.4,13,542.4568494320164,0.0,230.6533258401524,0,0.0006730080702618826
EC_AP-2_02,AP-2_EC02,AP-2 existing cluster 2,150.0,56,0.4,266,11458.344267798819,0.0,4741.75361041542,0,0.029400754032833702
EC_AP-2_03,AP-2_EC03,AP-2 existing cluster 3,172.0,118,0.4,3,111.27165800140217,0.0,49.27106340906964,0,0.0001449831197300778
EC_AP-2_04,AP-2_EC04,AP-2 existing cluster 4,150.0,56,0.4,7902,288606.83536611835,6665404.74855812,135686.5772591602,5328,0.841310622886658
EC_AP-2_05,AP-2_EC05,AP-2 existing cluster 5,360.0,105,0.4,84,4199.851755992475,0.0,1533.1107538387503,0,0.005069810693911212
EC_AP-2_06,AP-2_EC06,AP-2 existing cluster 6,300.0,76,0.4,51,2052.7770207981634,0.0,772.641339600048,0,0.0035299768804826757
EC_AP-2_07,AP-2_EC07,AP-2 existing cluster 7,320.0,101,0.4,119,5388.41436105812,0.0,2049.4018760891386,0,0.007045523501406555
EC_AP-2_08,AP-2_EC08,AP-2 existing cluster 8,350.0,144,0.4,20817,807050.8920342447,18384271.88227436,341165.8535253849,18918,0.8226414292182314
EC_AP-2_09,AP-2_EC09,AP-2 existing cluster 9,300.0,80,0.4,12318,526525.6035407558,10882651.489991555,185410.66521889647,14131,0.8047337900125715
EC_AP-2_10,AP-2_EC10,AP-2 existing cluster 10,250.0,94,0.4,12044,491724.3692991827,9299494.866135782,221191.97781375953,6998,0.8170507454704474
EC_AP-2_11,AP-2_EC11,AP-2 existing cluster 11,350.0,68,0.4,10416,439674.6541510495,7007441.2576726675,162840.11407627512,4478,0.8314956805365356
EC_AP-2_12,AP-2_EC12,AP-2 existing cluster 12,350.0,88,0.4,14147,511703.8062867344,7708883.88176535,214758.39025470504,5662,0.8473736989216581
EC_AP-2_13,AP-2_EC13,AP-2 existing cluster 13,350.0,89,0.4,588,22802.401830976287,0.0,10706.205183363578,0,0.041768902868927815
EC_AP-2_14,AP-2_EC14,AP-2 existing cluster 14,300.0,91,0.4,1781,69542.83386735388,0.0,33559.23485148833,0,0.12804958352979368
EC_AP-2_15,AP-2_EC15,AP-2 existing cluster 15,320.0,98,0.4,227,8870.835881637737,0.0,4217.899528006212,0,0.014944371910452848
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,12,0.4,1235,61656.257958457136,1424892.6373931947,27632.75789935342,36975,0.7995589669951799
EC_A-2_00,A-2_EC00,A-2 existing cluster 0,350.0,102,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_01,A-2_EC01,A-2 existing cluster 1,150.0,119,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_02,A-2_EC02,A-2 existing cluster 2,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_03,A-2_EC03,A-2 existing cluster 3,172.0,118,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_04,A-2_EC04,A-2 existing cluster 4,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_05,A-2_EC05,A-2 existing cluster 5,360.0,105,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_06,A-2_EC06,A-2 existing cluster 6,300.0,76,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_07,A-2_EC07,A-2 existing cluster 7,320.0,101,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_08,A-2_EC08,A-2 existing cluster 8,350.0,144,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_09,A-2_EC09,A-2 existing cluster 9,300.0,72,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_10,A-2_EC10,A-2 existing cluster 10,250.0,94,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_11,A-2_EC11,A-2 existing cluster 11,350.0,68,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_12,A-2_EC12,A-2 existing cluster 12,350.0,88,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_13,A-2_EC13,A-2 existing cluster 13,350.0,89,0.4,0,0.0,0.0,0.0,0,0.0
