station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_00,AP-2_EC00,AP-2 existing cluster 0,350.0,102,0.4,15,692.786244023712,0.0,183.23219494882693,0,0.0006237479403214425
EC_AP-2_01,AP-2_EC01,AP-2 existing cluster 1,150.0,119,0.4,10,451.96359756168533,0.0,184.06240385222247,0,0.000537063503303637
EC_AP-2_02,AP-2_EC02,AP-2 existing cluster 2,150.0,56,0.4,174,8090.093204594771,0.0,3292.3791156326183,0,0.020414057016571296
EC_AP-2_03,AP-2_EC03,AP-2 existing cluster 3,172.0,118,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_04,AP-2_EC04,AP-2 existing cluster 4,150.0,56,0.4,7971,290545.09685784386,9055693.766152877,136837.1095311219,18169,0.8484443795332459
EC_AP-2_05,AP-2_EC05,AP-2 existing cluster 5,360.0,105,0.4,60,2952.515584462082,0.0,1265.7796200256814,0,0.004185779166751592
EC_AP-2_06,AP-2_EC06,AP-2 existing cluster 6,300.0,76,0.4,8,350.2578533688691,0.0,126.75472825137231,0,0.0005791060318502024
EC_AP-2_07,AP-2_EC07,AP-2 existing cluster 7,320.0,101,0.4,39,1826.646162750055,0.0,696.609783526267,0,0.0023948356144329864
EC_AP-2_08,AP-2_EC08,AP-2 existing cluster 8,350.0,144,0.4,19728,810527.2089881622,21812904.077792738,343853.9748139155,52081,0.8291232031585539
EC_AP-2_09,AP-2_EC09,AP-2 existing cluster 9,300.0,72,0.4,10260,505257.8728186445,11087740.633142117,167575.36555397592,33019,0.8081373724632327
EC_AP-2_10,AP-2_EC10,AP-2 existing cluster 10,250.0,94,0.4,11456,491210.5079101638,12456435.143838793,222440.4732197818,21928,0.8216625045056951
EC_AP-2_11,AP-2_EC11,AP-2 existing cluster 11,350.0,68,0.4,8850,418584.29651632166,9338039.747770524,164063.78417032014,12876,0.8377439959677295
EC_AP-2_12,AP-2_EC12,AP-2 existing cluster 12,350.0,88,0.4,14110,522346.888912821,15033724.131506993,216490.80371576676,20990,0.8542092949643575
EC_AP-2_13,AP-2_EC13,AP-2 existing cluster 13,350.0,89,0.4,326,13118.056937025382,0.0,6078.932847893367,0,0.023716186204328055
EC_AP-2_14,AP-2_EC14,AP-2 existing cluster 14,300.0,91,0.4,835,32708.13011277669,0.0,15871.648469021842,0,0.060560319249930716
EC_AP-2_15,AP-2_EC15,AP-2 existing cluster 15,320.0,98,0.4,111,4340.37676998677,0.0,2064.7927023246907,0,0.007315733780912311
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,456,22763.644584466165,541223.5285781621,10177.259385219419,71079,0.8834426549669634
EC_A-2_00,A-2_EC00,A-2 existing cluster 0,350.0,102,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_01,A-2_EC01,A-2 existing cluster 1,150.0,119,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_02,A-2_EC02,A-2 existing cluster 2,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_03,A-2_EC03,A-2 existing cluster 3,172.0,118,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_04,A-2_EC04,A-2 existing cluster 4,150.0,56,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_05,A-2_EC05,A-2 existing cluster 5,360.0,105,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_06,A-2_EC06,A-2 existing cluster 6,300.0,76,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_07,A-2_EC07,A-2 existing cluster 7,320.0,101,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_08,A-2_EC08,A-2 existing cluster 8,350.0,144,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_09,A-2_EC09,A-2 existing cluster 9,300.0,72,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_10,A-2_EC10,A-2 existing cluster 10,250.0,94,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_11,A-2_EC11,A-2 existing cluster 11,350.0,68,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_12,A-2_EC12,A-2 existing cluster 12,350.0,88,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_13,A-2_EC13,A-2 existing cluster 13,350.0,89,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_14,A-2_EC14,A-2 existing cluster 14,300.0,91,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_15,A-2_EC15,A-2 existing cluster 15,320.0,98,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_00,AP-7_EC00,AP-7 existing cluster 0,320.0,141,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_01,AP-7_EC01,AP-7 existing cluster 1,350.0,170,0.4,23923,1066007.4924222124,25453886.87986657,399748.59216957586,43146,0.8164799676666173
EC_AP-7_02,AP-7_EC02,AP-7 existing cluster 2,150.0,158,0.4,14940,546726.1572104198,4701234.905616061,256861.90557266405,4827,0.5644820358049052
