station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_000,AP-2_EC000,AP-2 existing cluster 0,15.0,3,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_001,AP-2_EC001,AP-2 existing cluster 1,22.0,2,0.4,66,1801.2024223372557,68617.81335926682,4940.216019032609,166,0.8576763921931614
EC_AP-2_002,AP-2_EC002,AP-2 existing cluster 2,60.0,2,0.4,2,103.63873172888005,0.0,109.13800083187007,0,0.01894756958886633
EC_AP-2_003,AP-2_EC003,AP-2 existing cluster 3,60.0,2,0.4,7,292.3843579676357,0.0,307.95556045514604,0,0.05346450702346285
EC_AP-2_004,AP-2_EC004,AP-2 existing cluster 4,22.0,2,0.4,4,173.35521041956565,0.0,500.3909726253852,0,0.0868734327474627
EC_AP-2_005,AP-2_EC005,AP-2 existing cluster 5,22.0,2,0.4,54,1762.0923092388566,53040.93424707016,4840.514028993197,115,0.84036701892243
EC_AP-2_006,AP-2_EC006,AP-2 existing cluster 6,22.0,2,0.4,4,190.61191896213705,33.951665320544635,545.0627709694083,1,0.09462895329330007
EC_AP-2_007,AP-2_EC007,AP-2 existing cluster 7,22.0,2,0.4,36,1695.5727707089795,37585.08843072686,4872.608337109168,362,0.8459389474147861
EC_AP-2_008,AP-2_EC008,AP-2 existing cluster 8,50.0,3,0.4,153,6085.47872320243,155330.8679032053,7539.395681966404,335,0.8726152409683338
EC_AP-2_009,AP-2_EC009,AP-2 existing cluster 9,50.0,3,0.4,200,6165.019495729685,189238.30587400688,7420.2324550506455,298,0.8588232008160469
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,479,21549.605227225762,459838.5811561461,9698.750708695696,1354,0.841905443463168
EC_A-2_000,A-2_EC000,A-2 existing cluster 0,350.0,37,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_001,A-2_EC001,A-2 existing cluster 1,150.0,46,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_002,A-2_EC002,A-2 existing cluster 2,50.0,27,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_003,A-2_EC003,A-2 existing cluster 3,150.0,34,0.4,3,136.25037466820206,0.0,59.624672060561615,0,0.0006089120921217485
EC_A-2_004,A-2_EC004,A-2 existing cluster 4,50.0,67,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_005,A-2_EC005,A-2 existing cluster 5,150.0,22,0.4,2,75.10619442906207,0.0,41.43447219870545,0,0.0006539531597017905
EC_A-2_006,A-2_EC006,A-2 existing cluster 6,150.0,24,0.4,4,161.02335796566757,0.0,79.53426264398465,0,0.001150669309085426
EC_A-2_007,A-2_EC007,A-2 existing cluster 7,50.0,22,0.4,4,186.85615185915154,0.0,236.1801171740131,0,0.003727590233175712
EC_A-2_008,A-2_EC008,A-2 existing cluster 8,150.0,35,0.4,1,51.14536632873627,0.0,21.543528591295175,0,0.00021372548205649976
EC_A-2_009,A-2_EC009,A-2 existing cluster 9,150.0,64,0.4,1,43.68830026925038,0.0,22.787698521721964,0,0.0001236311768756617
EC_A-2_010,A-2_EC010,A-2 existing cluster 10,172.0,37,0.4,1,43.75997753201811,0.0,22.823537153105832,0,0.0002141848456560232
EC_A-2_011,A-2_EC011,A-2 existing cluster 11,150.0,17,0.4,95,4054.16886447004,0.0,1903.8150202128172,0,0.038885110706961136
EC_A-2_012,A-2_EC012,A-2 existing cluster 12,150.0,17,0.4,18,786.0721460266599,0.0,380.26762549367004,0,0.007766904115475287
EC_A-2_013,A-2_EC013,A-2 existing cluster 13,300.0,21,0.4,19,905.2832174985232,0.0,387.14425360122686,0,0.006401194669332455
EC_A-2_014,A-2_EC014,A-2 existing cluster 14,150.0,40,0.4,1,33.73936396757339,0.0,21.11458612247952,0,0.00018328633786874582
EC_A-2_015,A-2_EC015,A-2 existing cluster 15,200.0,32,0.4,5,238.71495729088295,0.0,95.30213138390407,0,0.0010340943075510425
EC_A-2_016,A-2_EC016,A-2 existing cluster 16,320.0,49,0.4,10,457.0774615244957,0.0,187.7001372694848,0,0.001330074668859728
EC_A-2_017,A-2_EC017,A-2 existing cluster 17,120.0,34,0.4,5,220.69312431126798,0.0,115.65401177488815,0,0.001181107146393874
EC_A-2_018,A-2_EC018,A-2 existing cluster 18,360.0,34,0.4,8,330.5906298988286,0.0,145.94051087468878,0,0.0014904055440634067
EC_A-2_019,A-2_EC019,A-2 existing cluster 19,50.0,31,0.4,1,51.02889236863539,0.0,64.49081702176446,0,0.0007223433806201216
