agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_18470,MAD,BCN,227.8368276895826,227.8368276895826,stranded,0,0.0,0.0,0.0,661.1641872284706,29,57.6,57.6,0.0,no_reachable_station
TRIP_08743,BUR,MAD,243.8105558175425,243.8105558175425,stranded,0,0.0,0.0,0.0,240.0,2,56.931709540335845,56.931709540335845,0.0,no_reachable_station
TRIP_08743,BUR,MAD,243.8105558175425,243.8105558175425,stranded,0,0.0,0.0,0.0,240.0,2,45.9,45.9,0.0,no_reachable_station
TRIP_08743,BUR,MAD,243.8105558175425,243.8105558175425,stranded,0,0.0,0.0,0.0,240.0,2,53.36,53.36,0.0,no_reachable_station
TRIP_21640,VLD,MAD,270.83443826103974,270.83443826103974,stranded,0,0.0,0.0,0.0,190.0,2,42.415487690492384,42.415487690492384,0.0,no_reachable_station
TRIP_17128,MAD,BIL,300.64144062657004,300.64144062657004,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_17128,MAD,BIL,300.64144062657004,300.64144062657004,stranded,0,0.0,0.0,0.0,410.0,7,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_17128,MAD,BIL,300.64144062657004,300.64144062657004,stranded,0,0.0,0.0,0.0,410.0,7,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_00268,MAD,BIL,301.6240007265377,301.6240007265377,stranded,0,0.0,0.0,0.0,410.0,7,57.6,57.6,0.0,no_reachable_station
TRIP_05648,SEV,MAD,302.3170159674805,302.3170159674805,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05027,MAD,SEV,303.13304256051634,303.13304256051634,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05027,MAD,SEV,303.13304256051634,303.13304256051634,stranded,0,0.0,0.0,0.0,540.0,8,68.25,68.25,0.0,no_reachable_station
TRIP_05027,MAD,SEV,303.13304256051634,303.13304256051634,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05027,MAD,SEV,303.13304256051634,303.13304256051634,stranded,0,0.0,0.0,0.0,540.0,8,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05027,MAD,SEV,303.13304256051634,303.13304256051634,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_19502,SEV,MAD,303.4272833231217,303.4272833231217,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_19502,SEV,MAD,303.4272833231217,303.4272833231217,stranded,0,0.0,0.0,0.0,540.0,3,55.2,55.2,0.0,no_reachable_station
TRIP_00211,MAD,BIL,306.19322380778266,306.19322380778266,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_00211,MAD,BIL,306.19322380778266,306.19322380778266,stranded,0,0.0,0.0,0.0,412.69345743329603,20,53.36,53.36,0.0,no_reachable_station
TRIP_19742,SEV,MAD,306.33369997510005,306.33369997510005,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_00590,MAD,BIL,308.00664578069825,308.00664578069825,stranded,0,0.0,0.0,0.0,410.0,7,58.5,58.5,0.0,no_reachable_station
TRIP_00590,MAD,BIL,308.00664578069825,308.00664578069825,stranded,0,0.0,0.0,0.0,412.69345743329603,20,68.25,68.25,0.0,no_reachable_station
TRIP_00590,MAD,BIL,308.00664578069825,308.00664578069825,stranded,0,0.0,0.0,0.0,412.69345743329603,20,57.6,57.6,0.0,no_reachable_station
TRIP_06031,SEV,MAD,308.420876650072,308.420876650072,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_00628,MAD,BIL,308.4794414186533,308.4794414186533,stranded,0,0.0,0.0,0.0,412.69345743329603,20,52.78,52.78,0.0,no_reachable_station
TRIP_16810,MAD,BIL,308.67665188906125,308.67665188906125,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_05583,MAD,SEV,309.87415199289603,309.87415199289603,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_19729,SEV,MAD,311.2655594534893,311.2655594534893,stranded,0,0.0,0.0,0.0,540.0,3,45.9,45.9,0.0,no_reachable_station
TRIP_19729,SEV,MAD,311.2655594534893,311.2655594534893,stranded,0,0.0,0.0,0.0,540.0,3,55.2,55.2,0.0,no_reachable_station
TRIP_19729,SEV,MAD,311.2655594534893,311.2655594534893,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_19729,SEV,MAD,311.2655594534893,311.2655594534893,stranded,0,0.0,0.0,0.0,540.0,3,55.2,55.2,0.0,no_reachable_station
TRIP_00252,MAD,BIL,312.11716023120704,312.11716023120704,stranded,0,0.0,0.0,0.0,410.0,7,55.2,55.2,0.0,no_reachable_station
TRIP_00252,MAD,BIL,312.11716023120704,312.11716023120704,stranded,0,0.0,0.0,0.0,410.0,7,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_00252,MAD,BIL,312.11716023120704,312.11716023120704,stranded,0,0.0,0.0,0.0,410.3984967449162,10,65.13225605036703,65.13225605036703,0.0,no_reachable_station
TRIP_19389,SEV,MAD,312.1828727025616,312.1828727025616,stranded,0,0.0,0.0,0.0,540.0,3,55.2,55.2,0.0,no_reachable_station
TRIP_19389,SEV,MAD,312.1828727025616,312.1828727025616,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_17033,MAD,BIL,315.09906363666954,315.09906363666954,stranded,0,0.0,0.0,0.0,410.3984967449162,10,65.54752070078311,65.54752070078311,0.0,no_reachable_station
TRIP_17033,MAD,BIL,315.09906363666954,315.09906363666954,stranded,0,0.0,0.0,0.0,410.0,7,76.36,76.36,0.0,no_reachable_station
TRIP_17033,MAD,BIL,315.09906363666954,315.09906363666954,stranded,0,0.0,0.0,0.0,410.0,7,45.0,45.0,0.0,no_reachable_station
TRIP_17033,MAD,BIL,315.09906363666954,315.09906363666954,stranded,0,0.0,0.0,0.0,412.69345743329603,20,66.7334398538738,66.7334398538738,0.0,no_reachable_station
TRIP_06197,SEV,MAD,316.6707200888538,316.6707200888538,stranded,0,0.0,0.0,0.0,540.0,3,76.36,76.36,0.0,no_reachable_station
TRIP_05374,MAD,SEV,317.01479034313763,317.01479034313763,stranded,0,0.0,0.0,0.0,540.0,8,55.2,55.2,0.0,no_reachable_station
TRIP_05374,MAD,SEV,317.01479034313763,317.01479034313763,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05945,SEV,MAD,317.51898495383534,317.51898495383534,stranded,0,0.0,0.0,0.0,540.0,3,70.84,70.84,0.0,no_reachable_station
TRIP_05945,SEV,MAD,317.51898495383534,317.51898495383534,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_05945,SEV,MAD,317.51898495383534,317.51898495383534,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05714,SEV,MAD,317.8441090246612,317.8441090246612,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_05714,SEV,MAD,317.8441090246612,317.8441090246612,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_05714,SEV,MAD,317.8441090246612,317.8441090246612,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_08763,BUR,MAD,318.21575503779616,318.21575503779616,stranded,0,0.0,0.0,0.0,240.0,2,52.78,52.78,0.0,no_reachable_station
TRIP_15222,MUR,MAL,318.39068938323817,318.39068938323817,stranded,0,0.0,0.0,0.0,355.3814786779781,8,37.66512522503389,37.66512522503389,0.0,no_reachable_station
TRIP_05659,SEV,MAD,322.3542341820237,322.3542341820237,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_05659,SEV,MAD,322.3542341820237,322.3542341820237,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_08339,MAD,BUR,323.7915147301502,323.7915147301502,stranded,0,0.0,0.0,0.0,240.0,2,61.13144596419596,61.13144596419596,0.0,no_reachable_station
TRIP_08339,MAD,BUR,323.7915147301502,323.7915147301502,stranded,0,0.0,0.0,0.0,240.0,2,58.5,58.5,0.0,no_reachable_station
TRIP_08339,MAD,BUR,323.7915147301502,323.7915147301502,stranded,0,0.0,0.0,0.0,240.0,2,55.2,55.2,0.0,no_reachable_station
TRIP_08339,MAD,BUR,323.7915147301502,323.7915147301502,stranded,0,0.0,0.0,0.0,240.0,2,57.41969878941436,57.41969878941436,0.0,no_reachable_station
TRIP_08339,MAD,BUR,323.7915147301502,323.7915147301502,stranded,0,0.0,0.0,0.0,240.0,2,55.2,55.2,0.0,no_reachable_station
TRIP_06035,SEV,MAD,323.9714006527198,323.9714006527198,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_06035,SEV,MAD,323.9714006527198,323.9714006527198,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_08468,BUR,MAD,324.02199499301025,324.02199499301025,stranded,0,0.0,0.0,0.0,240.0,2,55.2,55.2,0.0,no_reachable_station
TRIP_08468,BUR,MAD,324.02199499301025,324.02199499301025,stranded,0,0.0,0.0,0.0,240.0,2,55.2,55.2,0.0,no_reachable_station
TRIP_19787,SEV,MAD,325.1400377786391,325.1400377786391,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_19787,SEV,MAD,325.1400377786391,325.1400377786391,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_19787,SEV,MAD,325.1400377786391,325.1400377786391,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_19787,SEV,MAD,325.1400377786391,325.1400377786391,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
