station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_000,AP-2_EC000,AP-2 existing cluster 0,15.0,3,0.4,6,300.25007822452295,0.0,1201.0003128980918,0,0.13900466584468654
EC_AP-2_001,AP-2_EC001,AP-2 existing cluster 1,22.0,2,0.4,23,772.9630605358957,1138.0516116093058,2175.6635949257334,9,0.37771937411905093
EC_AP-2_002,AP-2_EC002,AP-2 existing cluster 2,60.0,2,0.4,3,115.11562028654402,0.0,115.11562028654402,0,0.01998535074419167
EC_AP-2_003,AP-2_EC003,AP-2 existing cluster 3,60.0,2,0.4,3,91.1566960976539,0.0,92.6083090008797,0,0.016077831423763837
EC_AP-2_004,AP-2_EC004,AP-2 existing cluster 4,22.0,2,0.4,3,121.23316464285398,0.0,351.94001316046104,0,0.06110069672924671
EC_AP-2_005,AP-2_EC005,AP-2 existing cluster 5,22.0,2,0.4,18,752.0432468036369,713.5756640718104,2143.466500739467,6,0.37212960082282415
EC_AP-2_006,AP-2_EC006,AP-2 existing cluster 6,22.0,2,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-2_007,AP-2_EC007,AP-2 existing cluster 7,22.0,2,0.4,38,1673.7082597234291,36937.522602408564,4768.072465599903,143,0.8277903586110943
EC_AP-2_008,AP-2_EC008,AP-2 existing cluster 8,50.0,3,0.4,58,2536.392652073051,4387.734917093454,3181.883880203775,16,0.36827359724580727
EC_AP-2_009,AP-2_EC009,AP-2 existing cluster 9,50.0,3,0.4,71,2527.7727993182993,3855.3134802395853,3110.061830161739,21,0.3599608599724235
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,467,20957.773874497507,337200.4498532316,9537.102745900978,500,0.8278735022483488
EC_A-2_000,A-2_EC000,A-2 existing cluster 0,350.0,37,0.4,1,38.351158333519166,0.0,17.04495925934185,0,0.00015995644950583568
EC_A-2_001,A-2_EC001,A-2 existing cluster 1,150.0,46,0.4,3,113.75784930864089,0.0,47.221082962131284,0,0.00035643933395328566
EC_A-2_002,A-2_EC002,A-2 existing cluster 2,50.0,27,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_003,A-2_EC003,A-2 existing cluster 3,150.0,34,0.4,2,90.6178486713382,0.0,41.51273894436737,0,0.00042394545490571255
EC_A-2_004,A-2_EC004,A-2 existing cluster 4,50.0,67,0.4,1,51.11278890990086,0.0,64.59149287128302,0,0.00033474032375250325
EC_A-2_005,A-2_EC005,A-2 existing cluster 5,150.0,22,0.4,2,89.60910098148622,0.0,38.639266909446754,0,0.0006098369146061672
EC_A-2_006,A-2_EC006,A-2 existing cluster 6,150.0,24,0.4,2,104.43775362401507,0.0,48.89305845821859,0,0.0007073648503793198
EC_A-2_007,A-2_EC007,A-2 existing cluster 7,50.0,22,0.4,1,41.36186679318417,0.0,49.63531002353723,0,0.0007833855748664336
EC_A-2_008,A-2_EC008,A-2 existing cluster 8,150.0,35,0.4,1,31.63907878971706,0.0,13.559605195593027,0,0.0001345198928134229
EC_A-2_009,A-2_EC009,A-2 existing cluster 9,150.0,64,0.4,1,38.309638664211434,0.0,15.323855465684575,0,8.313723668448663e-05
EC_A-2_010,A-2_EC010,A-2 existing cluster 10,172.0,37,0.4,0,0.0,0.0,0.0,0,0.0
