agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_00590,MAD,BIL,308.00664578069825,308.00664578069825,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.9,45.9,0.0,no_reachable_station
TRIP_17121,MAD,BIL,342.8786712341245,342.8786712341245,stranded,0,0.0,0.0,0.0,412.69345743329603,20,53.36,53.36,0.0,no_reachable_station
TRIP_08743,BUR,MAD,243.8105558175425,346.66769867468537,completed,0,0.0,0.0,0.0,240.0,2,64.30470564169428,7.636000000000003,0.0,
TRIP_01715,MAD,BCN,355.15531038766835,355.15531038766835,stranded,0,0.0,0.0,0.0,662.3716680115232,34,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_00012,MAD,BIL,355.8097673030316,355.8097673030316,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_20293,MAL,GRN,303.72534189886255,359.6031184751389,completed,0,0.0,0.0,0.0,130.3814786779781,4,49.689074324295625,17.57981467431697,0.0,
TRIP_16778,MUR,SEV,361.0989793222499,361.0989793222499,stranded,0,0.0,0.0,0.0,480.0225453671432,19,39.23096478624774,39.23096478624774,0.0,no_reachable_station
TRIP_16915,MAD,BIL,362.27510644468606,362.27510644468606,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_22496,SSB,BIL,307.46718740491525,364.5640869927386,completed,1,0.0,14.730048293299557,29.460096586599114,98.85598635388892,14,48.73115330747134,55.00819367690658,0.0,
TRIP_17101,MAD,BIL,366.4578747564401,366.4578747564401,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.0,45.0,0.0,no_reachable_station
TRIP_22837,ACO,VIG,301.2279356690942,368.66300303877495,completed,0,0.0,0.0,0.0,157.34849052925497,19,65.33259547436595,28.22893261087482,0.0,
TRIP_22368,BIL,SSB,318.40470365971214,373.53002738113486,completed,1,0.0,4.2721007186883515,9.61222661704879,101.7064460054687,18,49.63308625679183,37.857002668443876,0.0,
TRIP_22707,ACO,VIG,311.7124000490977,379.14746741877843,completed,0,0.0,0.0,0.0,157.34849052925497,19,40.639046789510125,8.504490144055723,0.0,
TRIP_00397,MAD,BIL,380.18995644073607,380.18995644073607,stranded,0,0.0,0.0,0.0,412.69345743329603,20,52.78,52.78,0.0,no_reachable_station
TRIP_23255,VIG,ACO,319.27903183026945,386.71409919995017,completed,0,0.0,0.0,0.0,157.34849052925497,19,51.29021770358818,12.225538841056917,0.0,
TRIP_00575,MAD,BIL,393.2293125718092,393.2293125718092,stranded,0,0.0,0.0,0.0,410.3984967449162,10,57.6,57.6,0.0,no_reachable_station
TRIP_18083,ZAR,PMP,319.28472717342476,393.74792596431644,completed,0,0.0,0.0,0.0,173.74746384541393,18,46.88001634488012,8.249818716354362,0.0,
TRIP_15528,BIL,PMP,303.9393464043449,396.06260054592,completed,1,0.0,9.756402847051273,19.512805694102546,178.8559863538889,15,46.476275605267226,30.101575233509188,0.0,
TRIP_16764,MUR,SEV,397.7787737562614,397.7787737562614,stranded,0,0.0,0.0,0.0,480.0225453671432,19,38.61289206109135,38.61289206109135,0.0,no_reachable_station
TRIP_22314,BIL,SSB,355.4394743234559,397.8063256179797,completed,0,0.0,0.0,0.0,98.85598635388892,14,54.495898451790275,32.091465909264556,0.0,
TRIP_20632,GRN,MAL,341.96405577485336,397.8418323511297,completed,0,0.0,0.0,0.0,130.3814786779781,4,59.048115752643874,29.00389799814898,0.0,
TRIP_10219,STD,PAL,300.9536525013251,399.1643433577659,completed,0,0.0,0.0,0.0,196.42138171288164,18,52.219912057732415,11.887970910852538,0.0,
TRIP_10202,STD,PAL,301.5418701704007,399.75256102684153,completed,0,0.0,0.0,0.0,196.42138171288164,18,52.026170068656604,16.45838676656119,0.0,
TRIP_06548,COR,MAL,309.05498559056315,402.3824558614923,completed,0,0.0,0.0,0.0,186.65494054185825,15,51.53440234810497,18.133869356238442,0.0,
TRIP_15298,BIL,PMP,307.93652824098587,403.39297003625717,completed,1,0.0,13.089590500747487,26.179181001494975,178.8559863538889,15,43.042753032580144,31.84641517220853,0.0,
TRIP_17261,MAD,BIL,403.8515611613661,403.8515611613661,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_23438,VIG,ACO,321.2225872068121,404.3764483168425,completed,1,0.0,15.718793740349698,32.747486959061874,157.34849052925497,19,46.77073852515386,46.56074048534643,0.0,
TRIP_15377,BIL,PMP,309.39161509626416,407.2762191322041,completed,1,0.0,15.517752741416105,31.03550548283221,178.8559863538889,15,45.09601730497998,38.44216592255929,0.0,
TRIP_07608,MAD,VLD,313.2508650558843,408.2508650558843,completed,0,0.0,0.0,0.0,190.0,2,39.621565964290184,4.5,0.0,
TRIP_17068,MAD,BIL,408.982073416147,408.982073416147,stranded,0,0.0,0.0,0.0,412.69345743329603,20,69.24919988743967,69.24919988743967,0.0,no_reachable_station
TRIP_07433,MAD,VLD,314.58700895446276,409.58700895446276,completed,0,0.0,0.0,0.0,190.0,2,39.82076050600359,4.5,0.0,
TRIP_22518,SSB,BIL,352.7369722302782,409.9168830653021,completed,1,0.0,14.81305954050011,29.62611908100022,98.85598635388892,14,46.670718390433024,53.28954721322552,0.0,
TRIP_23080,ACO,VIG,306.25511151947376,410.7316939753912,completed,1,0.0,37.04151508623676,30.867929238530632,157.34849052925497,19,34.549938481979346,31.566744557344514,0.0,
TRIP_24853,STD,PAL,312.73400024989695,410.94469110633776,completed,0,0.0,0.0,0.0,196.42138171288164,18,55.19933002804538,19.518955058665853,0.0,
TRIP_16143,PMP,BIL,330.41421903902756,412.7810703335514,completed,0,0.0,0.0,0.0,178.8559863538889,15,50.910756297900406,14.411315948224548,0.0,
