station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_000,AP-2_EC000,AP-2 existing cluster 0,15.0,3,0.4,3,139.48140569921293,0.0,569.0688786108053,0,0.06586445354291728
EC_AP-2_001,AP-2_EC001,AP-2 existing cluster 1,22.0,2,0.4,22,764.82509665421,1126.334607693004,2152.753942070487,10,0.37374200383168177
EC_AP-2_002,AP-2_EC002,AP-2 existing cluster 2,60.0,2,0.4,3,111.58893586994131,0.0,111.59149833971546,0,0.01937352401731171
EC_AP-2_003,AP-2_EC003,AP-2 existing cluster 3,60.0,2,0.4,7,296.7743255554801,0.0,313.45555376370635,0,0.05441936697286569
EC_AP-2_004,AP-2_EC004,AP-2 existing cluster 4,22.0,2,0.4,2,82.7403825534937,0.0,240.18111804751086,0,0.0416981107721373
EC_AP-2_005,AP-2_EC005,AP-2 existing cluster 5,22.0,2,0.4,20,784.8818543967517,1193.6201088204718,2211.0687936118934,9,0.38386611000206483
EC_AP-2_006,AP-2_EC006,AP-2 existing cluster 6,22.0,2,0.4,1,41.279010639215954,0.0,119.84188455776209,0,0.020805882735722585
EC_AP-2_007,AP-2_EC007,AP-2 existing cluster 7,22.0,2,0.4,35,1672.8517107703362,34350.830099562445,4807.487550290476,229,0.8346332552587632
EC_AP-2_008,AP-2_EC008,AP-2 existing cluster 8,50.0,3,0.4,92,4453.315281145374,41792.72869838908,5604.255914535862,52,0.648640730849058
EC_AP-2_009,AP-2_EC009,AP-2 existing cluster 9,50.0,3,0.4,81,2758.500027929629,3902.807793549183,3403.581736620392,30,0.3939330713681009
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,4,0.4,465,21226.484875679536,395284.851861156,9625.718264427924,713,0.835565821564924
EC_A-2_000,A-2_EC000,A-2 existing cluster 0,350.0,37,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_001,A-2_EC001,A-2 existing cluster 1,150.0,46,0.4,54,725.2062534678596,0.0,371.6944426734794,0,0.0028056645733203454
EC_A-2_002,A-2_EC002,A-2 existing cluster 2,50.0,27,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_003,A-2_EC003,A-2 existing cluster 3,150.0,34,0.4,2,75.29575256195898,0.0,42.71205578311383,0,0.00043619338013800894
EC_A-2_004,A-2_EC004,A-2 existing cluster 4,50.0,67,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_005,A-2_EC005,A-2 existing cluster 5,150.0,22,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_006,A-2_EC006,A-2 existing cluster 6,150.0,24,0.4,1,43.64729722376138,0.0,22.76719699897746,0,0.0003293865306565026
EC_A-2_007,A-2_EC007,A-2 existing cluster 7,50.0,22,0.4,1,50.78497945964094,0.0,64.19812153097112,0,0.0010132279282034583
EC_A-2_008,A-2_EC008,A-2 existing cluster 8,150.0,35,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_009,A-2_EC009,A-2 existing cluster 9,150.0,64,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_010,A-2_EC010,A-2 existing cluster 10,172.0,37,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_011,A-2_EC011,A-2 existing cluster 11,150.0,17,0.4,87,3030.242227743071,0.0,1423.8047164529921,0,0.029080978685722878
