agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_00590,MAD,BIL,308.00664578069825,308.00664578069825,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.9,45.9,0.0,no_reachable_station
TRIP_17121,MAD,BIL,342.8786712341245,342.8786712341245,stranded,0,0.0,0.0,0.0,412.69345743329603,20,53.36,53.36,0.0,no_reachable_station
TRIP_08743,BUR,MAD,243.8105558175425,346.66769867468537,completed,0,0.0,0.0,0.0,240.0,2,64.30470564169428,7.636000000000003,0.0,
TRIP_01715,MAD,BCN,355.15531038766835,355.15531038766835,stranded,0,0.0,0.0,0.0,662.3716680115232,34,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_00012,MAD,BIL,355.8097673030316,355.8097673030316,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_20293,MAL,GRN,303.72534189886255,359.6031184751389,completed,0,0.0,0.0,0.0,130.3814786779781,4,46.77680310251835,14.667543452539697,0.0,
TRIP_16915,MAD,BIL,362.27510644468606,362.27510644468606,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_22496,SSB,BIL,307.46718740491525,363.34455996173597,completed,1,0.0,13.51052126229687,27.02104252459374,98.85598635388892,14,51.170207369476714,55.00819367690658,0.0,
TRIP_17101,MAD,BIL,366.4578747564401,366.4578747564401,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.0,45.0,0.0,no_reachable_station
TRIP_22837,ACO,VIG,301.2279356690942,368.66300303877495,completed,0,0.0,0.0,0.0,157.34849052925497,19,63.73588239495825,26.63221953146713,0.0,
TRIP_22368,BIL,SSB,318.40470365971214,374.1321337938271,completed,1,0.0,4.874207131380603,10.966966045606355,101.7064460054687,18,48.27834682823426,37.857002668443876,0.0,
TRIP_22707,ACO,VIG,311.7124000490977,379.14746741877843,completed,0,0.0,0.0,0.0,157.34849052925497,19,40.31216384326189,8.17760719780749,0.0,
TRIP_00397,MAD,BIL,380.18995644073607,380.18995644073607,stranded,0,0.0,0.0,0.0,412.69345743329603,20,52.78,52.78,0.0,no_reachable_station
TRIP_23558,VIG,ACO,316.1066670658056,383.5417344354863,completed,0,0.0,0.0,0.0,157.34849052925497,19,51.97249597222765,14.051110540153644,0.0,
TRIP_23255,VIG,ACO,319.27903183026945,386.71409919995017,completed,0,0.0,0.0,0.0,157.34849052925497,19,49.225364193495686,10.16068533096442,0.0,
TRIP_00575,MAD,BIL,393.2293125718092,393.2293125718092,stranded,0,0.0,0.0,0.0,410.3984967449162,10,57.6,57.6,0.0,no_reachable_station
TRIP_22314,BIL,SSB,355.4394743234559,397.8063256179797,completed,0,0.0,0.0,0.0,98.85598635388892,14,47.646624253355704,25.24219171082999,0.0,
TRIP_20632,GRN,MAL,341.96405577485336,397.8418323511297,completed,0,0.0,0.0,0.0,130.3814786779781,4,53.565452743704526,23.52123498920963,0.0,
TRIP_20371,GRN,MAL,307.81042398567956,398.13793516529915,completed,1,0.0,34.44973460334325,28.70811216945271,130.3814786779781,4,53.06573704485533,52.414219896873924,0.0,
TRIP_15528,BIL,PMP,303.9393464043449,399.2696546785749,completed,1,0.0,12.963456979706184,25.926913959412367,178.8559863538889,15,40.062167339957405,30.101575233509188,0.0,
TRIP_10202,STD,PAL,301.5418701704007,399.75256102684153,completed,0,0.0,0.0,0.0,196.42138171288164,18,49.882799581189296,14.315016279093882,0.0,
TRIP_06548,COR,MAL,309.05498559056315,402.3824558614923,completed,0,0.0,0.0,0.0,186.65494054185825,15,51.15042238817948,17.749889396312952,0.0,
TRIP_15298,BIL,PMP,307.93652824098587,403.48008985267495,completed,1,0.0,13.176710317165274,26.353420634330547,178.8559863538889,15,42.86851339974457,31.84641517220853,0.0,
TRIP_17261,MAD,BIL,403.8515611613661,403.8515611613661,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_07608,MAD,VLD,313.2508650558843,408.2508650558843,completed,0,0.0,0.0,0.0,190.0,2,39.621565964290184,4.5,0.0,
TRIP_15377,BIL,PMP,309.39161509626416,409.0058060086974,completed,1,0.0,17.247339617909404,34.49467923581881,178.8559863538889,15,41.63684355199339,38.44216592255929,0.0,
TRIP_23696,VIG,ACO,341.84851597215186,409.2835833418326,completed,0,0.0,0.0,0.0,157.34849052925497,19,56.948403542219324,21.949097848148995,0.0,
TRIP_22518,SSB,BIL,352.7369722302782,409.37288669885197,completed,1,0.0,14.269063174049968,28.538126348099937,98.85598635388892,14,47.758711123333306,53.28954721322552,0.0,
TRIP_07433,MAD,VLD,314.58700895446276,409.58700895446276,completed,0,0.0,0.0,0.0,190.0,2,39.82076050600359,4.5,0.0,
TRIP_24853,STD,PAL,312.73400024989695,410.94469110633776,completed,0,0.0,0.0,0.0,196.42138171288164,18,52.938452899303066,17.258077929923537,0.0,
TRIP_20525,GRN,MAL,310.3729174888087,411.4611254240482,completed,1,0.0,45.21043135896314,37.675359465802615,130.3814786779781,4,44.23867918803414,51.12788133964756,0.0,
TRIP_16143,PMP,BIL,330.41421903902756,412.7810703335514,completed,0,0.0,0.0,0.0,178.8559863538889,15,47.71974221185616,11.2203018621803,0.0,
TRIP_15732,PMP,BIL,330.8804132267178,413.2472645212416,completed,0,0.0,0.0,0.0,178.8559863538889,15,57.604911157015756,16.347606414485014,0.0,
TRIP_15411,BIL,PMP,319.2646355488576,413.62446487703585,completed,1,0.0,3.5066063254439177,5.844343875739863,181.7064460054687,19,32.21393460387099,6.534736214325431,0.0,
TRIP_17109,MAD,BIL,414.1546809076324,414.1546809076324,stranded,0,0.0,0.0,0.0,410.3984967449162,10,68.25,68.25,0.0,no_reachable_station
