agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_17128,MAD,BIL,300.64144062657004,300.64144062657004,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_00211,MAD,BIL,306.19322380778266,306.19322380778266,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_00211,MAD,BIL,306.19322380778266,306.19322380778266,stranded,0,0.0,0.0,0.0,412.69345743329603,20,53.36,53.36,0.0,no_reachable_station
TRIP_00590,MAD,BIL,308.00664578069825,308.00664578069825,stranded,0,0.0,0.0,0.0,412.69345743329603,20,68.25,68.25,0.0,no_reachable_station
TRIP_00590,MAD,BIL,308.00664578069825,308.00664578069825,stranded,0,0.0,0.0,0.0,412.69345743329603,20,57.6,57.6,0.0,no_reachable_station
TRIP_00628,MAD,BIL,308.4794414186533,308.4794414186533,stranded,0,0.0,0.0,0.0,412.69345743329603,20,52.78,52.78,0.0,no_reachable_station
TRIP_16810,MAD,BIL,308.67665188906125,308.67665188906125,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_00252,MAD,BIL,312.11716023120704,312.11716023120704,stranded,0,0.0,0.0,0.0,410.3984967449162,10,65.13225605036703,65.13225605036703,0.0,no_reachable_station
TRIP_17033,MAD,BIL,315.09906363666954,315.09906363666954,stranded,0,0.0,0.0,0.0,410.3984967449162,10,65.54752070078311,65.54752070078311,0.0,no_reachable_station
TRIP_17033,MAD,BIL,315.09906363666954,315.09906363666954,stranded,0,0.0,0.0,0.0,412.69345743329603,20,66.7334398538738,66.7334398538738,0.0,no_reachable_station
TRIP_02061,BCN,MAD,331.18393879190035,331.18393879190035,stranded,0,0.0,0.0,0.0,656.6221031146413,16,22.96206445937593,22.96206445937593,0.0,no_reachable_station
TRIP_00598,MAD,BIL,337.69303103945276,337.69303103945276,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_01937,MAD,BCN,348.5051490092811,348.5051490092811,stranded,0,0.0,0.0,0.0,662.3716680115232,34,58.5,58.5,0.0,no_reachable_station
TRIP_16597,MUR,SEV,351.54481471948066,351.54481471948066,stranded,0,0.0,0.0,0.0,480.0225453671432,19,36.36086515725525,36.36086515725525,0.0,no_reachable_station
TRIP_00012,MAD,BIL,355.8097673030316,355.8097673030316,stranded,0,0.0,0.0,0.0,410.3984967449162,10,45.0,45.0,0.0,no_reachable_station
TRIP_00098,MAD,BIL,356.53605059187043,356.53605059187043,stranded,0,0.0,0.0,0.0,412.69345743329603,20,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_20293,MAL,GRN,303.72534189886255,359.6031184751389,completed,0,0.0,0.0,0.0,130.3814786779781,4,40.062591839283336,19.39477015033557,0.0,
TRIP_16985,MAD,BIL,362.72602521746256,362.72602521746256,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_16607,MUR,SEV,362.94762667312534,362.94762667312534,stranded,0,0.0,0.0,0.0,480.0225453671432,19,37.50559879606369,37.50559879606369,0.0,no_reachable_station
TRIP_08743,BUR,MAD,243.8105558175425,364.69867568131167,completed,0,0.0,0.0,0.0,241.77623972753838,15,53.36,12.634565427611136,0.0,
TRIP_01379,MAD,BCN,368.7927676580528,368.7927676580528,stranded,0,0.0,0.0,0.0,662.3716680115232,34,76.36,76.36,0.0,no_reachable_station
TRIP_22368,BIL,SSB,318.40470365971214,369.2579266624465,completed,0,0.0,0.0,0.0,101.7064460054687,18,47.97238507910557,29.1744173079085,0.0,
TRIP_18464,MAD,BCN,369.66487290273807,369.66487290273807,stranded,0,0.0,0.0,0.0,662.3716680115232,34,68.25,68.25,0.0,no_reachable_station
TRIP_17008,MAD,BIL,370.96149596340433,370.96149596340433,stranded,0,0.0,0.0,0.0,410.3984967449162,10,57.6,57.6,0.0,no_reachable_station
TRIP_22368,BIL,SSB,318.40470365971214,371.5369087668645,completed,1,0.0,2.278982104418006,9.495758768408358,101.7064460054687,18,47.97238507910557,39.62957444172277,0.0,
TRIP_20285,MAL,GRN,316.0739493645288,371.95172594080515,completed,0,0.0,0.0,0.0,130.3814786779781,4,44.28061635399814,20.045252975517847,0.0,
TRIP_00147,MAD,BIL,373.2570765224785,373.2570765224785,stranded,0,0.0,0.0,0.0,410.3984967449162,10,45.9,45.9,0.0,no_reachable_station
TRIP_22368,BIL,SSB,318.40470365971214,373.4771201464781,completed,1,0.0,12.705565192242169,25.411130384484338,98.85598635388892,14,47.97238507910557,56.143435597733706,0.0,
TRIP_23080,ACO,VIG,306.25511151947376,373.6901788891545,completed,0,0.0,0.0,0.0,157.34849052925497,19,50.98885158028653,8.182447583404283,0.0,
TRIP_16914,MAD,BIL,373.98314627987264,373.98314627987264,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.9,45.9,0.0,no_reachable_station
TRIP_16914,MAD,BIL,373.98314627987264,373.98314627987264,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_08743,BUR,MAD,243.8105558175425,377.3631628101617,completed,1,0.0,12.664487128850059,28.49509603991263,241.77623972753838,15,53.36,36.906560035220075,0.0,
TRIP_08743,BUR,MAD,243.8105558175425,377.5933866673669,completed,2,0.0,12.894710986055234,30.08765896746221,241.77623972753838,15,53.36,31.475186858211202,0.0,
TRIP_24588,HUE,SEV,317.49252504409634,379.74409520014166,completed,0,0.0,0.0,0.0,93.37735523406795,10,44.828877098078934,29.349430414622642,0.0,
TRIP_00397,MAD,BIL,380.18995644073607,380.18995644073607,stranded,0,0.0,0.0,0.0,410.3984967449162,10,53.36,53.36,0.0,no_reachable_station
TRIP_00041,MAD,BIL,382.8097301936452,382.8097301936452,stranded,0,0.0,0.0,0.0,412.69345743329603,20,57.6,57.6,0.0,no_reachable_station
TRIP_00041,MAD,BIL,382.8097301936452,382.8097301936452,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_20311,GRN,MAL,327.52091496321293,383.3986915394893,completed,0,0.0,0.0,0.0,130.3814786779781,4,33.33556179737083,6.587351278151363,0.0,
TRIP_23558,VIG,ACO,316.1066670658056,383.5417344354863,completed,0,0.0,0.0,0.0,157.34849052925497,19,40.780275488179335,6.034150978010871,0.0,
TRIP_21640,VLD,MAD,270.83443826103974,383.56802497657975,completed,2,0.0,17.159274844227255,37.17842882915905,191.1486237426255,14,42.415487690492384,42.473431404959264,0.0,
TRIP_00541,MAD,BIL,385.5285746535857,385.5285746535857,stranded,0,0.0,0.0,0.0,410.3984967449162,10,53.36,53.36,0.0,no_reachable_station
TRIP_00541,MAD,BIL,385.5285746535857,385.5285746535857,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.0,45.0,0.0,no_reachable_station
TRIP_00541,MAD,BIL,385.5285746535857,385.5285746535857,stranded,0,0.0,0.0,0.0,410.3984967449162,10,58.5,58.5,0.0,no_reachable_station
TRIP_00541,MAD,BIL,385.5285746535857,385.5285746535857,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.9,45.9,0.0,no_reachable_station
TRIP_23438,VIG,ACO,321.2225872068121,388.65765457649275,completed,0,0.0,0.0,0.0,157.34849052925497,19,41.04198635957886,16.614699732867486,0.0,
TRIP_15528,BIL,PMP,303.9393464043449,394.79256940707927,completed,0,0.0,0.0,0.0,181.7064460054687,19,50.675424164410124,18.1736535546881,0.0,
TRIP_22817,ACO,VIG,328.0257988867657,395.46086625644637,completed,0,0.0,0.0,0.0,157.34849052925497,19,50.13068220967781,14.66133397623694,0.0,
TRIP_16839,MAD,BIL,396.4365378360364,396.4365378360364,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_16839,MAD,BIL,396.4365378360364,396.4365378360364,stranded,0,0.0,0.0,0.0,412.69345743329603,20,66.51456539865465,66.51456539865465,0.0,no_reachable_station
TRIP_15528,BIL,PMP,303.9393464043449,398.664355341358,completed,1,0.0,3.8717859342787273,8.711518352127136,181.7064460054687,19,50.675424164410124,10.905592195920669,0.0,
TRIP_15298,BIL,PMP,307.93652824098587,398.7897512437202,completed,0,0.0,0.0,0.0,181.7064460054687,19,48.24375789651001,12.913477505176573,0.0,
TRIP_23438,VIG,ACO,321.2225872068121,399.11659650687136,completed,1,0.0,10.45894193037858,21.789462354955376,157.34849052925497,19,41.04198635957886,26.230272337757775,0.0,
TRIP_24595,HUE,SEV,337.02977945449965,399.28134961054496,completed,0,0.0,0.0,0.0,93.37735523406795,10,45.2674714957279,29.55571921801339,0.0,
TRIP_16933,MAD,BIL,399.31054436856414,399.31054436856414,stranded,0,0.0,0.0,0.0,410.3984967449162,10,68.25,68.25,0.0,no_reachable_station
TRIP_16933,MAD,BIL,399.31054436856414,399.31054436856414,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.0,45.0,0.0,no_reachable_station
TRIP_23438,VIG,ACO,321.2225872068121,399.81278623143766,completed,1,0.0,11.155131654944842,23.239857614468423,157.34849052925497,19,41.04198635957886,31.30508616134133,0.0,
TRIP_15227,BIL,PMP,318.01286038116905,400.3797116756929,completed,0,0.0,0.0,0.0,178.8559863538889,15,28.172303457075454,12.528904134114143,0.0,
TRIP_19994,MAL,GRN,337.02898959047695,400.4522460629011,completed,1,0.0,7.545479896147828,6.287899913456524,130.3814786779781,4,41.68448863172075,8.629936596681532,0.0,
TRIP_23255,VIG,ACO,319.27903183026945,401.40360371402915,completed,1,0.0,14.689504514078997,30.603134404331247,157.34849052925497,19,45.77915792347468,37.88624541826886,0.0,
TRIP_23255,VIG,ACO,319.27903183026945,401.5063600327416,completed,1,0.0,14.79226083279143,30.81721006831548,157.34849052925497,19,45.77915792347468,41.0143940883796,0.0,
TRIP_15298,BIL,PMP,307.93652824098587,401.6553884031583,completed,1,0.0,11.35200886764865,22.7040177352973,178.8559863538889,15,48.24375789651001,30.67678570918273,0.0,
TRIP_15528,BIL,PMP,303.9393464043449,401.9434732347409,completed,1,0.0,15.637275535872135,31.27455107174427,178.8559863538889,15,50.675424164410124,40.901313859092326,0.0,
TRIP_23438,VIG,ACO,321.2225872068121,402.0788931281171,completed,1,0.0,13.421238551624324,27.96091364921734,157.34849052925497,19,41.04198635957886,40.09247701601583,0.0,
TRIP_15528,BIL,PMP,303.9393464043449,402.674202050802,completed,1,0.0,16.368004351933298,32.736008703866595,178.8559863538889,15,50.675424164410124,34.9057915383283,0.0,
TRIP_18264,MAD,BCN,403.2203507490463,403.2203507490463,stranded,0,0.0,0.0,0.0,662.3716680115232,34,58.5,58.5,0.0,no_reachable_station
TRIP_15377,BIL,PMP,309.39161509626416,403.80651788769086,completed,1,0.0,12.048051496902898,24.096102993805797,178.8559863538889,15,48.95778932475408,32.62194027281693,0.0,
TRIP_17261,MAD,BIL,403.8515611613661,403.8515611613661,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.9,45.9,0.0,no_reachable_station
TRIP_20371,GRN,MAL,307.81042398567956,404.44748754027245,completed,1,0.0,40.75928697831656,33.96607248193047,130.3814786779781,4,39.91615905750523,44.515298503763844,0.0,
TRIP_23438,VIG,ACO,321.2225872068121,404.586239730074,completed,1,0.0,15.928585153581198,33.18455240329416,157.34849052925497,19,41.04198635957886,38.83729322811269,0.0,
TRIP_17053,MAD,BIL,405.93787188806664,405.93787188806664,stranded,0,0.0,0.0,0.0,410.3984967449162,10,63.860006429185646,63.860006429185646,0.0,no_reachable_station
TRIP_17053,MAD,BIL,405.93787188806664,405.93787188806664,stranded,0,0.0,0.0,0.0,410.3984967449162,10,57.6,57.6,0.0,no_reachable_station
TRIP_15377,BIL,PMP,309.39161509626416,406.11084261941494,completed,1,0.0,14.352376228626959,28.704752457253917,178.8559863538889,15,48.95778932475408,38.720491508098874,0.0,
TRIP_22578,ACO,VIG,339.1065093952727,406.54157676495345,completed,0,0.0,0.0,0.0,157.34849052925497,19,44.29085237222614,16.364496585128244,0.0,
TRIP_22578,ACO,VIG,339.1065093952727,406.54157676495345,completed,0,0.0,0.0,0.0,157.34849052925497,19,44.29085237222614,28.17084545230851,0.0,
TRIP_22578,ACO,VIG,339.1065093952727,406.54157676495345,completed,0,0.0,0.0,0.0,157.34849052925497,19,44.29085237222614,10.1090559780149,0.0,
TRIP_22615,ACO,VIG,322.6270862350449,406.94534873658205,completed,1,0.0,16.88319513185643,35.17332319136756,157.34849052925497,19,56.816977065105576,33.072347456569986,0.0,
TRIP_20466,GRN,MAL,351.4231114089539,407.30088798523025,completed,0,0.0,0.0,0.0,130.3814786779781,4,42.12183362962305,8.579997456573842,0.0,
TRIP_07608,MAD,VLD,313.2508650558843,407.5255877898037,completed,1,0.0,11.283933589772014,25.388850576987032,193.64517466967726,18,42.313486618372195,9.283627145497775,0.0,
TRIP_07737,VLD,MAD,312.9005431083551,407.9005431083551,completed,0,0.0,0.0,0.0,190.0,2,39.30860757005711,6.825000000000003,0.0,
TRIP_17068,MAD,BIL,408.982073416147,408.982073416147,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_01691,MAD,BCN,409.2153034587723,409.2153034587723,stranded,0,0.0,0.0,0.0,662.3716680115232,34,58.5,58.5,0.0,no_reachable_station
TRIP_22314,BIL,SSB,355.4394743234559,409.26116493825634,completed,1,0.0,2.968467612066078,12.368615050275324,101.7064460054687,18,41.514743242719746,35.70528141540822,0.0,
TRIP_22781,ACO,VIG,343.8216247017464,411.2566920714271,completed,0,0.0,0.0,0.0,157.34849052925497,19,40.50868577487931,8.514217371141676,0.0,
TRIP_08835,BUR,MAD,308.47399064598574,411.33113350312857,completed,0,0.0,0.0,0.0,240.0,2,63.93062872048621,6.825000000000003,0.0,
TRIP_22314,BIL,SSB,355.4394743234559,411.6802272328457,completed,1,0.0,13.87390161486597,27.74780322973194,98.85598635388892,14,41.514743242719746,46.4762696251882,0.0,
TRIP_02195,BCN,MAD,412.02570114298464,412.02570114298464,stranded,0,0.0,0.0,0.0,655.4146223315888,10,34.2277226085324,34.2277226085324,0.0,no_reachable_station
TRIP_20901,MAD,VLD,319.41846913455186,413.10115562926876,completed,1,0.0,10.691897350569521,24.05676903878142,193.64517466967726,18,38.49451762945835,22.10231361524421,0.0,
TRIP_00511,MAD,BIL,413.48404746367436,413.48404746367436,stranded,0,0.0,0.0,0.0,410.3984967449162,10,53.36,53.36,0.0,no_reachable_station
TRIP_15227,BIL,PMP,318.01286038116905,413.6023179993643,completed,1,0.0,4.736234615460916,9.472469230921831,181.7064460054687,19,28.172303457075454,15.072846098524188,0.0,
TRIP_15569,BIL,PMP,321.20188744339436,413.6159014346755,completed,1,0.0,10.047162696757296,20.09432539351459,178.8559863538889,15,36.607472949490706,30.370257807167846,0.0,
TRIP_15227,BIL,PMP,318.01286038116905,413.81478271366973,completed,1,0.0,13.435071037976872,26.870142075953744,178.8559863538889,15,28.172303457075454,46.058241243912406,0.0,
TRIP_17109,MAD,BIL,414.1546809076324,414.1546809076324,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_17109,MAD,BIL,414.1546809076324,414.1546809076324,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_15411,BIL,PMP,319.2646355488576,414.43646161494,completed,1,0.0,12.804974771558573,25.609949543117146,178.8559863538889,15,55.37757407654104,43.29958374223199,0.0,
TRIP_15411,BIL,PMP,319.2646355488576,414.7523443891073,completed,1,0.0,4.63448583751536,9.26897167503072,181.7064460054687,19,55.37757407654104,10.500418193800861,0.0,
TRIP_00258,MAD,BIL,414.96479340803353,414.96479340803353,stranded,0,0.0,0.0,0.0,412.69345743329603,20,68.64310233984426,68.64310233984426,0.0,no_reachable_station
TRIP_00258,MAD,BIL,414.96479340803353,414.96479340803353,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_23240,VIG,ACO,347.81587751947615,415.2509448891568,completed,0,0.0,0.0,0.0,157.34849052925497,19,45.51163609387457,9.67332760863679,0.0,
TRIP_15569,BIL,PMP,321.20188744339436,415.4593508927867,completed,1,0.0,3.4042404466579987,7.659541004980497,181.7064460054687,19,36.607472949490706,9.591669014319557,0.0,
TRIP_20371,GRN,MAL,307.81042398567956,415.55165559257284,completed,1,0.0,51.86345503061693,43.21954585884744,130.3814786779781,4,39.91615905750523,46.470293510779484,0.0,
TRIP_15227,BIL,PMP,318.01286038116905,415.6647528874868,completed,1,0.0,6.798669503583422,15.297006383062701,181.7064460054687,19,28.172303457075454,9.473798016945139,0.0,
TRIP_15411,BIL,PMP,319.2646355488576,415.8592063923783,completed,1,0.0,14.2277195489969,28.4554390979938,178.8559863538889,15,55.37757407654104,37.32698378974781,0.0,
TRIP_00042,MAD,BIL,416.0797187644448,416.0797187644448,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.9,45.9,0.0,no_reachable_station
TRIP_00042,MAD,BIL,416.0797187644448,416.0797187644448,stranded,0,0.0,0.0,0.0,412.69345743329603,20,68.25,68.25,0.0,no_reachable_station
TRIP_06827,MAL,COR,322.7740291687394,416.1014994396685,completed,0,0.0,0.0,0.0,186.65494054185825,15,32.12838011431989,15.947728305692166,0.0,
TRIP_16911,MAD,BIL,416.4906024004643,416.4906024004643,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_20707,MAD,VLD,334.05910354289364,417.04989268704105,completed,0,0.0,0.0,0.0,193.64517466967726,18,39.84579255380227,8.170615703226495,0.0,
TRIP_15691,BIL,PMP,327.203678443701,418.05690144643535,completed,0,0.0,0.0,0.0,181.7064460054687,19,51.994605190160705,15.108308668873356,0.0,
TRIP_15569,BIL,PMP,321.20188744339436,418.1695432056712,completed,1,0.0,14.600804467752992,29.201608935505984,178.8559863538889,15,36.607472949490706,30.31995301005937,0.0,
TRIP_20127,MAL,GRN,362.6642802509734,418.5420568272497,completed,0,0.0,0.0,0.0,130.3814786779781,4,42.852545816557615,15.404703335840956,0.0,
TRIP_07529,MAD,VLD,314.6108285176964,418.96216499412964,completed,1,0.0,8.777024605120506,32.18242355210852,191.1486237426255,14,54.28406451235892,49.81076230649444,0.0,
TRIP_07070,MAL,COR,325.9238842586734,419.2513545296025,completed,0,0.0,0.0,0.0,186.65494054185825,15,56.48236691029399,20.34612365215044,0.0,
TRIP_18231,MAD,BCN,419.26626072786695,419.26626072786695,stranded,0,0.0,0.0,0.0,662.3716680115232,34,58.5,58.5,0.0,no_reachable_station
