station_id,node_id,name,max_power_kw,num_connectors,price_per_kwh,total_sessions,total_energy_kwh,total_wait_min,total_charge_min,peak_queue,utilization_rate
EC_AP-2_000,AP-2_EC000,AP-2 existing cluster 0,15.0,3,0.4,19,817.2505543128661,469.08571107235025,3396.135541052082,3,0.3930712431773243
EC_AP-2_001,AP-2_EC001,AP-2 existing cluster 1,22.0,2,0.4,19,786.935554435766,696.6601331781098,2242.796732364539,4,0.3893744327021769
EC_AP-2_002,AP-2_EC002,AP-2 existing cluster 2,60.0,2,0.4,47,1802.1100236192558,819.2112726152756,1885.4276454072858,4,0.3273311884387649
EC_AP-2_003,AP-2_EC003,AP-2 existing cluster 3,60.0,2,0.4,47,1832.4701167111996,909.3357259887078,1933.896200600078,4,0.3357458681597357
EC_AP-2_004,AP-2_EC004,AP-2 existing cluster 4,22.0,2,0.4,24,867.8003480979372,1027.2698330318376,2459.221826673052,16,0.4269482337974049
EC_AP-2_005,AP-2_EC005,AP-2 existing cluster 5,22.0,2,0.4,17,800.1367588260874,397.14398273985466,2280.157534789447,2,0.39586068312316786
EC_AP-2_006,AP-2_EC006,AP-2 existing cluster 6,22.0,2,0.4,19,802.4191901571837,401.46489542978475,2308.2556063741695,3,0.4007388205510711
EC_AP-2_007,AP-2_EC007,AP-2 existing cluster 7,22.0,2,0.4,31,1416.3052176169097,14609.060659170511,4061.818767037554,19,0.7051768692773531
EC_AP-2_008,AP-2_EC008,AP-2 existing cluster 8,50.0,3,0.4,62,3093.7728297891717,11668.736451993118,3880.579344176385,20,0.4491411277981927
EC_AP-2_009,AP-2_EC009,AP-2 existing cluster 9,50.0,3,0.4,71,2721.3070409492084,1360.6128030973491,3460.70017715129,6,0.40054400198510304
STA_0003,STA_0003,Proposed AP-2 (STA_0003),150.0,6,0.4,333,12976.260284154863,2792.9061134910244,5963.265030654564,14,0.34509635594065763
EC_A-2_000,A-2_EC000,A-2 existing cluster 0,350.0,37,0.4,15,593.1023104320677,0.0,189.94888955736795,0,0.0017825533929933179
EC_A-2_001,A-2_EC001,A-2 existing cluster 1,150.0,46,0.4,161,3936.8723722519658,0.0,1723.617267523468,0,0.01301039604108898
EC_A-2_002,A-2_EC002,A-2 existing cluster 2,50.0,27,0.4,3,116.42837225385101,0.0,139.7140467046212,0,0.001796734139719923
EC_A-2_003,A-2_EC003,A-2 existing cluster 3,150.0,34,0.4,3,134.33191707704796,0.0,54.81814889061984,0,0.0005598258669385196
EC_A-2_004,A-2_EC004,A-2 existing cluster 4,50.0,67,0.4,9,343.89823473556015,0.0,412.67788168267214,0,0.0021386706140271152
EC_A-2_005,A-2_EC005,A-2 existing cluster 5,150.0,22,0.4,13,500.5818513986876,0.0,213.2388083766945,0,0.0033655114958442943
EC_A-2_006,A-2_EC006,A-2 existing cluster 6,150.0,24,0.4,5,194.9525433018647,0.0,83.42860716080735,0,0.0012070110989700136
EC_A-2_007,A-2_EC007,A-2 existing cluster 7,50.0,22,0.4,59,2274.1633947705604,0.0,2731.227999881709,0,0.043106502523385555
EC_A-2_008,A-2_EC008,A-2 existing cluster 8,150.0,35,0.4,8,290.7068742843176,0.0,127.21834852791292,0,0.0012620867909515171
EC_A-2_009,A-2_EC009,A-2 existing cluster 9,150.0,64,0.4,15,592.4517265111244,0.0,245.2622511849164,0,0.001330632873182055
EC_A-2_010,A-2_EC010,A-2 existing cluster 10,172.0,37,0.4,4,149.9956821065961,0.0,52.32407515346376,0,0.0004910292337975202
EC_A-2_011,A-2_EC011,A-2 existing cluster 11,150.0,17,0.4,304,9105.192671387118,0.0,4384.009107580183,0,0.08954266968096779
EC_A-2_012,A-2_EC012,A-2 existing cluster 12,150.0,17,0.4,37,1327.2024669203656,0.0,625.9914704016808,0,0.012785773496766356
EC_A-2_013,A-2_EC013,A-2 existing cluster 13,300.0,21,0.4,6,309.702365945588,0.0,104.03414871114607,0,0.0017201413477372035
EC_A-2_014,A-2_EC014,A-2 existing cluster 14,150.0,40,0.4,81,2947.4197029201796,0.0,1224.244001701245,0,0.010627118070323308
EC_A-2_015,A-2_EC015,A-2 existing cluster 15,200.0,32,0.4,8,337.8389953604657,0.0,125.1986239673481,0,0.0013584920135345931
EC_A-2_016,A-2_EC016,A-2 existing cluster 16,320.0,49,0.4,281,9420.955751059062,0.0,4306.227098406595,0,0.030514647806169186
EC_A-2_017,A-2_EC017,A-2 existing cluster 17,120.0,34,0.4,33,1266.276971907136,0.0,650.6407644038577,0,0.0066446156495492004
EC_A-2_018,A-2_EC018,A-2 existing cluster 18,360.0,34,0.4,16,663.4650198406639,0.0,244.35712718921076,0,0.002495477197602234
EC_A-2_019,A-2_EC019,A-2 existing cluster 19,50.0,31,0.4,20,746.0724954560835,0.0,895.2869945473002,0,0.010027856121721553
EC_A-2_020,A-2_EC020,A-2 existing cluster 20,150.0,45,0.4,7,252.75553303181115,0.0,106.33182640074735,0,0.0008204616234625567
EC_A-2_021,A-2_EC021,A-2 existing cluster 21,300.0,36,0.4,387,12817.672205984156,0.0,5203.033551157414,0,0.05018357977582382
EC_A-2_022,A-2_EC022,A-2 existing cluster 22,350.0,71,0.4,1850,49337.92457071475,0.0,20106.412773370732,0,0.09832948343784591
EC_A-2_023,A-2_EC023,A-2 existing cluster 23,300.0,34,0.4,641,23854.73602451094,0.0,9990.438679888955,0,0.10202653880605551
EC_A-2_024,A-2_EC024,A-2 existing cluster 24,300.0,22,0.4,50,1896.820662307348,0.0,606.8501430741724,0,0.009577811601549437
EC_A-2_025,A-2_EC025,A-2 existing cluster 25,300.0,43,0.4,56,1936.3397947442838,0.0,790.021522661688,0,0.006379372760511046
EC_A-2_026,A-2_EC026,A-2 existing cluster 26,150.0,37,0.4,833,16358.257692470905,0.0,8070.117601507255,0,0.07573308559973024
EC_A-2_027,A-2_EC027,A-2 existing cluster 27,250.0,37,0.4,1279,32160.332253735363,0.0,12428.250045994815,0,0.11663147565685825
EC_A-2_028,A-2_EC028,A-2 existing cluster 28,350.0,28,0.4,255,8917.828407514487,0.0,3614.5231900533995,0,0.04482295622586061
EC_A-2_029,A-2_EC029,A-2 existing cluster 29,300.0,25,0.4,311,5287.015959513735,0.0,2255.7033176984023,0,0.031329212745811144
EC_A-2_030,A-2_EC030,A-2 existing cluster 30,150.0,40,0.4,0,0.0,0.0,0.0,0,0.0
EC_A-2_031,A-2_EC031,A-2 existing cluster 31,350.0,32,0.4,12,364.61112199052377,0.0,170.7201302382217,0,0.0018524319687307045
EC_A-2_032,A-2_EC032,A-2 existing cluster 32,240.0,33,0.4,250,7959.597777724271,0.0,3020.9367461096135,0,0.031785950611422704
EC_A-2_033,A-2_EC033,A-2 existing cluster 33,150.0,27,0.4,36,1082.6957514099922,0.0,512.5625376350149,0,0.006591596420203381
EC_A-2_034,A-2_EC034,A-2 existing cluster 34,60.0,31,0.4,24,802.990923520038,0.0,804.4425364232637,0,0.009010333069256986
EC_A-2_035,A-2_EC035,A-2 existing cluster 35,350.0,31,0.4,4,120.81678603699669,0.0,49.88070492069981,0,0.0005586996518895588
EC_A-2_036,A-2_EC036,A-2 existing cluster 36,60.0,31,0.4,15,512.7042418016081,0.0,512.7042418016082,0,0.00574265503810045
EC_A-2_037,A-2_EC037,A-2 existing cluster 37,80.0,32,0.4,18,565.6056635548622,0.0,424.20424766614667,0,0.004602910673460793
EC_A-2_038,A-2_EC038,A-2 existing cluster 38,50.0,51,0.4,217,6789.492309841896,0.0,8147.39120627072,0,0.055469711371668846
EC_A-2_039,A-2_EC039,A-2 existing cluster 39,320.0,29,0.4,25,782.011233602729,0.0,353.6761866888861,0,0.004234628672041261
EC_A-2_040,A-2_EC040,A-2 existing cluster 40,300.0,49,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_000,AP-7_EC000,AP-7 existing cluster 0,150.0,27,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_001,AP-7_EC001,AP-7 existing cluster 1,250.0,43,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_002,AP-7_EC002,AP-7 existing cluster 2,60.0,32,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_003,AP-7_EC003,AP-7 existing cluster 3,250.0,28,0.4,0,0.0,0.0,0.0,0,0.0
EC_AP-7_004,AP-7_EC004,AP-7 existing cluster 4,320.0,28,0.4,154,4547.233898755523,0.0,1559.5046763684377,0,0.019339095689092728
EC_AP-7_005,AP-7_EC005,AP-7 existing cluster 5,100.0,35,0.4,5,167.04546775785238,0.0,100.22728065471142,0,0.000994318260463407
EC_AP-7_006,AP-7_EC006,AP-7 existing cluster 6,150.0,25,0.4,3,90.11134773384498,0.0,41.83377430507062,0,0.0005810246431259808
EC_AP-7_007,AP-7_EC007,AP-7 existing cluster 7,320.0,23,0.4,4,141.24040671924513,0.0,66.3445945419108,0,0.0010015790238815036
EC_AP-7_008,AP-7_EC008,AP-7 existing cluster 8,100.0,35,0.4,9,298.70569226650576,0.0,179.22341535990347,0,0.0017780100730149153
EC_AP-7_009,AP-7_EC009,AP-7 existing cluster 9,180.0,38,0.4,3,101.78516333166883,0.0,44.64485102059416,0,0.00040793906268817763
EC_AP-7_010,AP-7_EC010,AP-7 existing cluster 10,50.0,28,0.4,4,133.90176561644924,0.0,160.6821187397391,0,0.0019925857978638282
EC_AP-7_011,AP-7_EC011,AP-7 existing cluster 11,250.0,37,0.4,11,365.76026988229813,0.0,165.59157757354154,0,0.0015539750147667186
EC_AP-7_012,AP-7_EC012,AP-7 existing cluster 12,150.0,47,0.4,6,203.82620599709372,0.0,87.8931483086578,0,0.0006493288143370109
EC_AP-7_013,AP-7_EC013,AP-7 existing cluster 13,50.0,33,0.4,66,2341.757053492276,0.0,2810.1084641907314,0,0.029567639564296415
EC_AP-7_014,AP-7_EC014,AP-7 existing cluster 14,60.0,56,0.4,83,3072.3907808442264,0.0,3072.390781222815,0,0.019050042046272413
