od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
CDZ→JER,226,226,0.0,0.34513274336283184,100.0
OVI→GIJ,218,218,0.0,0.11467889908256881,100.0
BIL→VIT,215,215,0.0,0.40930232558139534,100.0
GIJ→OVI,213,213,0.0,0.11737089201877934,100.0
JER→CDZ,211,211,0.0,0.2985781990521327,100.0
VIT→BIL,202,202,0.356753919423148,0.4603960396039604,100.0
SEV→HUE,129,129,0.0,0.6976744186046512,100.0
HUE→SEV,123,123,0.0,0.6910569105691057,100.0
MAL→COR,120,120,2.406429467505611,1.0166666666666666,100.0
COR→MAL,117,117,0.8351901794535586,0.9829059829059829,100.0
STD→PAL,116,116,0.7490469558804831,1.2155172413793103,100.0
MUR→ALI,107,107,0.0,0.7009345794392523,100.0
ALG→MAL,103,103,0.0,0.8349514563106796,100.0
MUR→CAR,100,100,0.0,0.32,100.0
ALI→MUR,99,99,0.0,0.6464646464646465,100.0
PAL→STD,93,93,0.599918645562822,1.118279569892473,100.0
CAR→MUR,90,90,0.0,0.3,100.0
MAL→ALG,83,83,0.0,0.891566265060241,100.0
MAL→GRN,81,81,0.5017575048692788,2.049382716049383,100.0
ALI→ALB,80,80,0.0,1.075,100.0
SCQ→ACO,78,78,0.0,0.5512820512820513,100.0
BUR→VIT,77,77,0.12472111221654222,0.8441558441558441,100.0
ALB→VAL,75,75,0.0,1.5466666666666666,100.0
OUR→VIG,73,73,0.0,0.7671232876712328,100.0
GRN→MAL,72,72,0.0,0.875,100.0
VAL→ALB,71,71,0.0,1.0422535211267605,100.0
VIG→OUR,69,69,0.0,0.8840579710144928,100.0
ACO→SCQ,67,67,0.0,0.5373134328358209,100.0
VIT→BUR,65,65,0.0,0.8769230769230769,100.0
MAD→ALB,63,55,0.27277658633724894,26.095238095238095,87.3
TAR→BCN,63,63,0.0,0.746031746031746,100.0
SEG→MAD,62,62,0.0,0.8225806451612904,100.0
MAD→GUA,61,61,0.0,0.36065573770491804,100.0
SCQ→VIG,60,60,0.0,0.7166666666666667,100.0
ALB→ALI,60,60,0.0,1.0833333333333333,100.0
BIL→SSB,60,60,0.0,0.45,100.0
SEG→VLD,58,58,0.0,1.8103448275862069,100.0
LEO→VLD,58,58,0.0,0.8448275862068966,100.0
GRN→JAE,57,57,0.0,0.5964912280701754,100.0
VLD→SEG,57,57,0.06429069395470745,0.8947368421052632,100.0
BCN→TAR,57,57,1.4724435047992421,0.6842105263157895,100.0
MAD→SEG,56,56,7.813101245210125,0.75,100.0
JAE→GRN,54,54,0.6361945149532575,0.48148148148148145,100.0
VIT→LOG,54,54,0.0,0.7777777777777778,100.0
BUR→BIL,53,53,0.7889295487057848,1.0188679245283019,100.0
GUA→MAD,51,51,0.0,0.5490196078431373,100.0
ZAR→LOG,51,51,0.0,1.0784313725490196,100.0
BAD→MER,49,49,0.0,0.5102040816326531,100.0
SCQ→LUG,48,48,0.0,0.8541666666666666,100.0
VIG→SCQ,47,47,0.0,0.6595744680851063,100.0
SSB→BIL,46,46,0.0,0.7608695652173914,100.0
BIL→BUR,46,46,0.0,1.0869565217391304,100.0
MER→BAD,46,46,0.0,0.30434782608695654,100.0
LOG→VIT,45,45,0.0,1.4222222222222223,100.0
ALB→MAD,44,44,0.0,1.6363636363636365,100.0
LOG→ZAR,41,41,0.0,1.5121951219512195,100.0
LUG→SCQ,41,41,0.0,0.6829268292682927,100.0
BCN→GIR,40,40,0.0,0.8,100.0
VLD→LEO,39,39,0.0,0.7948717948717948,100.0
TAR→LLE,39,39,0.0,0.7948717948717948,100.0
ALM→GRN,38,38,0.0,0.868421052631579,100.0
BIL→LOG,38,38,0.0,1.105263157894737,100.0
SAL→VLD,38,38,0.0,0.8157894736842105,100.0
LLE→TAR,38,38,0.0,0.631578947368421,100.0
LOG→PMP,38,38,0.020419220203339854,0.6842105263157895,100.0
SAL→AVL,38,38,0.0,0.4473684210526316,100.0
VAL→MAD,37,37,1.2225995635899196,2.864864864864865,100.0
LOG→BIL,36,36,0.0,0.9166666666666666,100.0
ZAR→HUS,36,36,0.0,0.4722222222222222,100.0
