agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_01900,JER,CDZ,300.1187696909356,315.3328153386559,completed,0,0.0,0.0,0.0,35.49943984468075,5,49.097953184235074,40.80835245143808,0.0,
TRIP_03795,GIJ,OVI,303.5945585393649,318.0034268383457,completed,0,0.0,0.0,0.0,28.817736597961584,11,50.203441096339894,44.28618684265469,0.0,
TRIP_08555,OVI,GIJ,306.688473729821,321.0973420288018,completed,0,0.0,0.0,0.0,28.817736597961584,11,53.35349764543699,48.13521131818048,0.0,
TRIP_06119,JER,CDZ,309.72847293103507,324.94251857875537,completed,0,0.0,0.0,0.0,35.49943984468075,5,40.640546365421365,32.442427049879974,0.0,
TRIP_00473,MAD,GUA,301.26903239840186,329.9530317598322,completed,0,0.0,0.0,0.0,57.36799872286067,23,37.55157187858451,27.14140974173492,0.0,
TRIP_05305,GIJ,OVI,317.22182843232986,331.63069673131065,completed,0,0.0,0.0,0.0,28.817736597961584,11,46.68908973477515,40.79547564204901,0.0,
TRIP_02000,CDZ,JER,302.98874410788704,332.72356257828073,completed,1,0.0,12.234818470393693,26.50877335251967,35.0,3,26.910074228381937,46.52804766466983,0.0,
TRIP_00476,MAD,GUA,305.85386594054575,334.53786530197607,completed,0,0.0,0.0,0.0,57.36799872286067,23,67.99911677580843,56.19245859049195,0.0,
TRIP_02591,JER,CDZ,319.1367027959406,336.6367027959406,completed,0,0.0,0.0,0.0,35.0,3,35.46405287293134,29.105039504489135,0.0,
TRIP_08497,GIJ,OVI,322.3083736087526,336.7172419077334,completed,0,0.0,0.0,0.0,28.817736597961584,11,50.31819102101069,45.16146835834276,0.0,
TRIP_02436,CDZ,JER,324.06789136265473,341.56789136265473,completed,0,0.0,0.0,0.0,35.0,3,44.29299564889024,36.95478511415892,0.0,
TRIP_01416,MUR,CAR,314.6413837146708,344.27409042283244,completed,1,0.0,8.06055094137135,27.540215716352108,50.335030122510716,6,37.694684497141836,53.139502746177904,0.0,
TRIP_00739,TAR,BCN,303.9682319799333,344.7894740785969,completed,0,0.0,0.0,0.0,95.2495648968818,9,47.85375633108234,25.143892233305515,0.0,
TRIP_00306,BIL,VIT,312.2060114359185,347.2528917257617,completed,1,0.0,9.332594575557433,18.665189151114866,60.0,6,40.34703970019173,45.315792327084544,0.0,
TRIP_06385,MAD,SEG,307.48427797013335,349.34080659346904,completed,0,0.0,0.0,0.0,97.66523345444992,16,47.62307800003948,24.989762331064703,0.0,
TRIP_02592,JER,CDZ,335.41661047191974,350.63065611964004,completed,0,0.0,0.0,0.0,35.49943984468075,5,42.18828027333006,34.899995360927726,0.0,
TRIP_08025,MER,BAD,319.4203605630046,351.9203605630046,completed,0,0.0,0.0,0.0,65.0,3,49.99587901583904,36.74745572535706,0.0,
TRIP_02114,JAE,GRN,312.35835580095346,353.0497648392892,completed,0,0.0,0.0,0.0,81.38281807667153,8,44.477748943597234,27.399550474731797,0.0,
TRIP_01906,JER,CDZ,321.00132600586835,356.27504716022196,completed,1,0.0,17.7737211543536,44.434302885883994,35.0,3,16.787329902067107,54.13269697259098,0.0,
TRIP_04603,MUR,CAR,318.54782848948594,356.3407738064314,completed,1,0.0,12.621899126034705,10.518249271695588,50.342092381821544,6,34.03207796088606,34.58704905412337,0.0,
TRIP_01818,SEV,JER,301.3909244318742,356.3492569709282,completed,1,0.0,9.784894342352729,24.462235855881822,90.34687639340245,6,49.69328898278982,55.12351819449171,0.0,
TRIP_00228,VIT,BIL,330.9442862382212,357.64212653324114,completed,0,0.0,0.0,0.0,62.29496068837983,12,42.06348591456142,28.044403003477818,0.0,
TRIP_01424,CAR,MUR,336.8363998116973,358.4085555784876,completed,0,0.0,0.0,0.0,50.335030122510716,6,41.26312971670406,29.749260194662014,0.0,
TRIP_05273,GIJ,OVI,345.82758745760515,360.23645575658594,completed,0,0.0,0.0,0.0,28.817736597961584,11,47.96085629467869,42.82670810673915,0.0,
TRIP_08541,OVI,GIJ,338.6652864144164,360.7224290893354,completed,1,0.0,7.648274375938157,16.571261147866007,28.817736597961584,11,28.53850612314989,39.63158382157242,0.0,
TRIP_05628,VIT,BIL,335.75325886393813,362.4510991589581,completed,0,0.0,0.0,0.0,62.29496068837983,12,41.80575842977386,27.39835092217284,0.0,
TRIP_04611,MUR,CAR,338.2234666970176,363.3945128879284,completed,0,0.0,0.0,0.0,50.342092381821544,6,43.58763989771915,33.319869004016375,0.0,
TRIP_09489,ZAR,TAL,363.5749556899679,363.5749556899679,stranded,0,0.0,0.0,0.0,454.87194173739243,13,55.2,55.2,0.0,no_reachable_station
TRIP_08142,BAD,CAC,300.09003198889195,365.07222758620526,completed,0,0.0,0.0,0.0,97.47329339597002,5,55.33528595039738,38.16832784006088,0.0,
TRIP_03534,GIJ,OVI,350.8843438163856,365.2932121153664,completed,0,0.0,0.0,0.0,28.817736597961584,11,43.96110648640508,38.686007597632404,0.0,
TRIP_04193,VIT,BIL,334.5751680769681,365.3251680769681,completed,0,0.0,0.0,0.0,61.5,6,34.496927767647996,23.064155288073152,0.0,
TRIP_03132,LUG,SCQ,317.28345597481706,365.4879196288885,completed,0,0.0,0.0,0.0,96.40892730814286,13,65.1246354616085,44.88446368476758,0.0,
TRIP_03423,VLD,SAL,307.6588778467372,365.9088778467372,completed,0,0.0,0.0,0.0,116.5,11,48.11253070382191,24.04625302523138,0.0,
TRIP_04974,ALI,MUR,314.8260265349499,366.2338513315134,completed,1,0.0,14.838943438669611,24.731572397782685,85.32738983508568,7,47.435952731437744,53.195081389757696,0.0,
TRIP_08287,SCQ,ACO,310.9428605754836,369.0466162137326,completed,1,0.0,29.521436944535008,24.60119745377917,66.69207695199914,10,33.372324082678375,44.01981355263124,0.0,
TRIP_02477,CDZ,JER,351.5667714682023,369.0667714682023,completed,0,0.0,0.0,0.0,35.0,3,31.72990761468168,25.202127439783652,0.0,
TRIP_05783,MAD,GUA,340.8966343496112,369.5806337110415,completed,0,0.0,0.0,0.0,57.36799872286067,23,56.259173718359705,44.0884131044416,0.0,
TRIP_03229,LEO,PON,303.4179883349952,371.59325356416747,completed,1,0.0,13.175265229172279,29.64434676563763,110.0,4,47.24006590898148,56.27782104279661,0.0,
TRIP_03410,SAL,VLD,313.84866107147786,372.09866107147786,completed,0,0.0,0.0,0.0,116.5,11,51.3661519006882,27.986755934487906,0.0,
TRIP_04098,VIT,LOG,318.0047984337733,372.7403931403653,completed,1,0.0,13.966169558985884,32.58772897096706,95.12865867774755,4,43.57647225974907,54.74289059240445,0.0,
TRIP_01866,SEV,CDZ,319.0122533229495,373.0203262842487,completed,0,0.0,0.0,0.0,126.01883690969817,12,47.95708420119914,21.87676137870089,0.0,
TRIP_02103,JAE,GRN,332.4705751686903,373.1619842070261,completed,0,0.0,0.0,0.0,81.38281807667153,8,36.72140467696106,20.56575658149275,0.0,
TRIP_06686,VIT,LOG,319.93238592323235,373.8049038253654,completed,1,0.0,13.10309275452694,29.481958697685613,95.12865867774755,4,48.78512095112424,54.95583253616817,0.0,
TRIP_03790,GIJ,OVI,360.1592148438885,374.5680831428693,completed,0,0.0,0.0,0.0,28.817736597961584,11,54.05302531200922,48.19226603167692,0.0,
TRIP_05023,MUR,ALI,332.1566931817125,374.6566931817125,completed,0,0.0,0.0,0.0,85.0,5,54.97776673102534,38.756692705758866,0.0,
TRIP_00252,BIL,VIT,352.1708237678446,377.8851094821303,completed,0,0.0,0.0,0.0,60.0,6,59.56256025949708,46.21721828527242,0.0,
TRIP_03494,VLD,BUR,318.503367304026,378.8935742363738,completed,0,0.0,0.0,0.0,120.78041386469555,9,30.218272365432053,8.809385260098217,0.0,
TRIP_05306,GIJ,OVI,364.5439096032728,378.9527779022536,completed,0,0.0,0.0,0.0,28.817736597961584,11,56.06617238013449,49.82789281135947,0.0,
TRIP_08271,ACO,SCQ,350.955701841639,379.53802053535287,completed,0,0.0,0.0,0.0,66.69207695199914,10,56.58065397529422,40.19642849296912,0.0,
TRIP_06109,JER,CDZ,364.7210009509998,379.9350465987201,completed,0,0.0,0.0,0.0,35.49943984468075,5,32.41859928339732,24.869839966411735,0.0,
TRIP_01819,SEV,JER,341.20291676972994,379.99694408330885,completed,0,0.0,0.0,0.0,90.51939706501742,8,36.649378921801414,16.960958182865177,0.0,
TRIP_01884,JER,CDZ,362.95411289183323,380.45411289183323,completed,0,0.0,0.0,0.0,35.0,2,46.257759835277945,39.050812102524134,0.0,
TRIP_01439,CAR,MUR,339.7178040937196,383.03832809281045,completed,1,0.0,21.748368232300557,21.748368232300557,50.335030122510716,6,43.015775632391026,54.28640451402658,0.0,
TRIP_01851,JER,SEV,346.4532945394335,385.2473218530124,completed,0,0.0,0.0,0.0,90.51939706501742,8,38.506531933211285,19.33736568429993,0.0,
TRIP_06439,SEG,MAD,312.8617344733444,385.3760701035482,completed,1,0.0,30.657807006868072,11.241195902518292,97.66523345444992,16,44.64482740697006,34.594755590740874,0.0,
TRIP_07361,BUR,VIT,318.4417181698004,385.57732610202714,completed,1,0.0,12.135607932226694,24.27121586445339,110.0,5,43.64683442681819,46.75531262171305,0.0,
TRIP_03575,GIJ,OVI,371.50273164140685,385.91159994038765,completed,0,0.0,0.0,0.0,28.817736597961584,11,40.574404175672726,35.01826555359766,0.0,
TRIP_05104,BIL,SSB,330.60790057236244,386.1703840739316,completed,1,0.0,13.195632207045325,26.39126441409065,98.85598635388892,14,37.49966511165026,43.17524607428942,0.0,
