iteration,location_id,route,is_tent,cap,n_before,peak_queue,sessions,n_after
0,STA_0001,N-322,True,8,4,0,1,4
0,STA_0002,N-433,True,8,4,0,0,4
0,STA_0003,AP-2,True,8,4,27,232,5
0,STA_0004,A-23,True,8,4,12,372,4
0,STA_0005,N-435,False,8,2,0,15,2
0,STA_0006,N-621,False,8,2,0,3,2
0,STA_0007,N-502,False,8,2,0,41,2
0,STA_0008,AP-9,True,12,4,0,11,4
1,STA_0001,N-322,True,8,4,0,1,4
1,STA_0002,N-433,True,8,4,0,0,4
1,STA_0003,AP-2,True,8,5,27,291,6
1,STA_0004,A-23,True,8,4,12,372,4
1,STA_0005,N-435,False,8,2,0,15,2
1,STA_0006,N-621,False,8,2,0,3,2
1,STA_0007,N-502,False,8,2,0,41,2
1,STA_0008,AP-9,True,12,4,0,11,4
2,STA_0001,N-322,True,8,4,0,1,4
2,STA_0002,N-433,True,8,4,0,0,4
2,STA_0003,AP-2,True,8,6,14,333,6
2,STA_0004,A-23,True,8,4,12,372,4
2,STA_0005,N-435,False,8,2,0,15,2
2,STA_0006,N-621,False,8,2,0,3,2
2,STA_0007,N-502,False,8,2,0,41,2
2,STA_0008,AP-9,True,12,4,0,11,4
